Top pages,Clicks,Impressions,CTR,Position
https://sportscardsnearme.ca/store/west-s-sports-cards-collectibles-edmonton/,2,128,1.56%,20.46
https://sportscardsnearme.ca/ontario/vaughan/,2,110,1.82%,13.78
https://sportscardsnearme.ca/prince-edward-island/charlottetown/,2,108,1.85%,7.86
https://sportscardsnearme.ca/ontario/greater-sudbury/,2,88,2.27%,14.62
https://sportscardsnearme.ca/store/cards-coins-and-collectibles-corner-brook/,2,85,2.35%,6.87
https://sportscardsnearme.ca/store/stettler-game-corner-stettler/,2,73,2.74%,5.32
https://sportscardsnearme.ca/store/nether-world-st-john-s/,2,67,2.99%,7.07
https://sportscardsnearme.ca/store/dolly-s-cards-collectibles-waterloo-waterloo/,2,66,3.03%,5.27
https://sportscardsnearme.ca/new-brunswick/fredericton/,2,58,3.45%,8.67
https://sportscardsnearme.ca/store/rainbow-s-end-book-and-discs-wolfville/,2,55,3.64%,8.16
https://sportscardsnearme.ca/sell/saskatoon/,2,52,3.85%,7.13
https://sportscardsnearme.ca/store/backmandy-collectibles-charlottetown/,2,48,4.17%,7.52
https://sportscardsnearme.ca/sell/london/,2,46,4.35%,8.52
https://sportscardsnearme.ca/store/heavyjs-card-house-sarnia/,2,46,4.35%,8.52
https://sportscardsnearme.ca/sell/calgary/,2,36,5.56%,9.83
https://sportscardsnearme.ca/store/hobby-north-kn-cards-collectables-ltd-high-prairie/,2,34,5.88%,3.53
https://sportscardsnearme.ca/alberta/banff/,2,33,6.06%,11.12
https://sportscardsnearme.ca/sell/oshawa/,2,31,6.45%,7.19
https://sportscardsnearme.ca/store/brackenberries-pvp-alliston-new-tecumseth/,2,28,7.14%,6.75
https://sportscardsnearme.ca/store/le-coin-du-jouet-mont-tremblant/,2,23,8.7%,6.22
https://sportscardsnearme.ca/store/jason-randy-s-sports-cards-timmins/,2,22,9.09%,4.55
https://sportscardsnearme.ca/ontario/goderich/,2,22,9.09%,6.82
https://sportscardsnearme.ca/store/la-zone-retro-val-d-or/,2,17,11.76%,5.71
https://sportscardsnearme.ca/sell/fredericton/,2,16,12.5%,5.69
https://sportscardsnearme.ca/store/collections-manlo-saint-jean-sur-richelieu/,2,15,13.33%,2.8
https://sportscardsnearme.ca/manitoba/steinbach/,2,15,13.33%,6.33
https://sportscardsnearme.ca/quebec/magog/,2,15,13.33%,6.87
https://sportscardsnearme.ca/store/rt-sports-cards-r-t-sport-cards-collectibles-dunnville/,2,12,16.67%,5.5
https://sportscardsnearme.ca/quebec/rouyn-noranda/,2,8,25%,4
https://sportscardsnearme.ca/quebec/roberval/,2,3,66.67%,5.33
https://sportscardsnearme.ca/guides/best-card-shops-calgary/,1,581,0.17%,10.89
https://sportscardsnearme.ca/guides/best-card-shops-edmonton/,1,313,0.32%,10.88
https://sportscardsnearme.ca/store/digital-oasis-windsor/,1,178,0.56%,9.16
https://sportscardsnearme.ca/prince-edward-island/,1,159,0.63%,9.75
https://sportscardsnearme.ca/guides/psa-grading-mississauga/,1,157,0.64%,9.94
https://sportscardsnearme.ca/alberta/,1,111,0.9%,11.92
https://sportscardsnearme.ca/store/cardify-hobby-cards-collectibles-sports-tcgs-toronto/,1,109,0.92%,6.24
https://sportscardsnearme.ca/shows/sport-card-memorabilia-expo-montreal-laval-2026-09-25/,1,106,0.94%,12.13
https://sportscardsnearme.ca/ontario/sault-ste-marie/,1,96,1.04%,7.36
https://sportscardsnearme.ca/store/le-coin-de-la-carte-sportive-gatineau/,1,95,1.05%,10.27
https://sportscardsnearme.ca/store/ea-collectibles-london/,1,93,1.08%,10.87
https://sportscardsnearme.ca/store/onyx-cards-games-collingwood/,1,92,1.09%,8.45
https://sportscardsnearme.ca/store/retro-relics-greater-sudbury/,1,90,1.11%,6.17
https://sportscardsnearme.ca/sell/winnipeg/,1,77,1.3%,7.64
https://sportscardsnearme.ca/store/the-fort-board-games-and-card-games-the-fort-gaming-collectibles-fort-saskatchewan/,1,77,1.3%,8
https://sportscardsnearme.ca/shows/greater-toronto-card-show-vaughan-edition-vaughan-2026-08-09/,1,77,1.3%,8.23
https://sportscardsnearme.ca/store/dave-s-sportscard-shop-cornwall/,1,75,1.33%,6.21
https://sportscardsnearme.ca/store/heaven-s-collectibles-tcg-london/,1,70,1.43%,11
https://sportscardsnearme.ca/store/vulcan-collectibles-ottawa/,1,69,1.45%,6.42
https://sportscardsnearme.ca/manitoba/winnipeg/,1,56,1.79%,11.3
https://sportscardsnearme.ca/ontario/cambridge/,1,52,1.92%,11.27
https://sportscardsnearme.ca/store/henry-s-hut-hobbies-and-collectibles-new-glasgow/,1,51,1.96%,8.2
https://sportscardsnearme.ca/store/the-tabletop-games-collectibles-yellowknife/,1,49,2.04%,7.88
https://sportscardsnearme.ca/alberta/stettler/,1,47,2.13%,9.23
https://sportscardsnearme.ca/store/gameshq-aka-the-trading-card-store-port-perry-port-perry/,1,45,2.22%,7.38
https://sportscardsnearme.ca/store/a-spec-cards-inc-milton/,1,44,2.27%,6.77
https://sportscardsnearme.ca/british-columbia/victoria/,1,44,2.27%,10.07
https://sportscardsnearme.ca/store/babs-gaming-and-sports-cards-inc-lloydminster/,1,42,2.38%,9.76
https://sportscardsnearme.ca/alberta/medicine-hat/,1,40,2.5%,7.83
https://sportscardsnearme.ca/store/hobby-sport-iles-de-la-madeleine-l-etang-du-nord/,1,39,2.56%,3.28
https://sportscardsnearme.ca/pokemon/kamloops/,1,38,2.63%,9.97
https://sportscardsnearme.ca/ontario/lindsay-kawartha-lakes/,1,36,2.78%,7.17
https://sportscardsnearme.ca/ontario/owen-sound/,1,36,2.78%,8.69
https://sportscardsnearme.ca/store/duel-city-games-mississauga/,1,35,2.86%,4.83
https://sportscardsnearme.ca/store/the-card-corner-and-games-port-alberni/,1,34,2.94%,8.71
https://sportscardsnearme.ca/store/slab-labs-tcg-greater-sudbury/,1,30,3.33%,3.3
https://sportscardsnearme.ca/store/card-board-gaming-appointment-only-markham/,1,29,3.45%,7
https://sportscardsnearme.ca/store/kootenay-sports-cards-collectables-cranbrook/,1,28,3.57%,7
https://sportscardsnearme.ca/store/gifted-rookies-charlottetown/,1,28,3.57%,8.32
https://sportscardsnearme.ca/store/game-nation-hobbies-games-toronto/,1,28,3.57%,21.14
https://sportscardsnearme.ca/store/zone-collection-st-jean-saint-jean-sur-richelieu/,1,27,3.7%,7.37
https://sportscardsnearme.ca/pokemon/trois-rivieres/,1,27,3.7%,9.07
https://sportscardsnearme.ca/sell/,1,27,3.7%,23.89
https://sportscardsnearme.ca/sell/st-john-s/,1,26,3.85%,6.54
https://sportscardsnearme.ca/store/beyond-the-pond-sports-cards-and-collectables-london/,1,25,4%,5.88
https://sportscardsnearme.ca/store/flip-collectibles-shop-vaughan/,1,25,4%,7.16
https://sportscardsnearme.ca/store/le-bla-bla-de-la-carte-sportive-sherbrooke/,1,25,4%,8.92
https://sportscardsnearme.ca/quebec/sherbrooke/,1,25,4%,13.24
https://sportscardsnearme.ca/guides/pokemon-tcg-shops-canada/,1,25,4%,15
https://sportscardsnearme.ca/store/camrosenextgen-gaming-camrose/,1,24,4.17%,11
https://sportscardsnearme.ca/quebec/mont-tremblant/,1,23,4.35%,4
https://sportscardsnearme.ca/store/toybox-trading-co-vaughan/,1,23,4.35%,10.91
https://sportscardsnearme.ca/store/xcite-toys-games-collectibles-sault-ste-marie/,1,22,4.55%,5.59
https://sportscardsnearme.ca/ontario/trenton-quinte-west/,1,22,4.55%,8.82
https://sportscardsnearme.ca/quebec/brossard/,1,22,4.55%,8.95
https://sportscardsnearme.ca/shows/capital-trade-shows-card-comic-show-ottawa-2026-09-12/,1,20,5%,4.65
https://sportscardsnearme.ca/store/digital-grade-submissions-hamilton/,1,20,5%,10.6
https://sportscardsnearme.ca/sell/moncton/,1,19,5.26%,7.89
https://sportscardsnearme.ca/store/bog-collectibles-kahnawake/,1,18,5.56%,8.44
https://sportscardsnearme.ca/store/exor-games-charlottetown/,1,18,5.56%,10.56
https://sportscardsnearme.ca/store/capital-city-cards-collectibles-edmonton/,1,17,5.88%,7.82
https://sportscardsnearme.ca/shows/greater-toronto-card-show-fall-edition-vaughan-2026-09-13/,1,17,5.88%,8.47
https://sportscardsnearme.ca/store/tailgate-mercantile-co-okotoks/,1,16,6.25%,6.88
https://sportscardsnearme.ca/store/soul-tcg-ottawa/,1,16,6.25%,7.12
https://sportscardsnearme.ca/store/diadem-cards-hobbies-greater-sudbury/,1,16,6.25%,7.81
https://sportscardsnearme.ca/sell/kelowna/,1,16,6.25%,9.12
https://sportscardsnearme.ca/store/capital-city-sports-cards-edmonton/,1,16,6.25%,12.69
https://sportscardsnearme.ca/sell/langley/,1,15,6.67%,5.33
https://sportscardsnearme.ca/store/tw-repentigny-repentigny/,1,15,6.67%,6.6
https://sportscardsnearme.ca/store/le-centre-du-comic-carte-sportive-gatineau/,1,15,6.67%,10
https://sportscardsnearme.ca/store/topdeck-hero-boucherville-boucherville/,1,15,6.67%,10.8
https://sportscardsnearme.ca/store/mk-ultra-cards-strathroy/,1,14,7.14%,6.21
https://sportscardsnearme.ca/ontario/ajax/,1,14,7.14%,8.93
https://sportscardsnearme.ca/british-columbia/delta-ladner/,1,13,7.69%,8.23
https://sportscardsnearme.ca/quebec/gatineau/,1,13,7.69%,9
https://sportscardsnearme.ca/british-columbia/maple-ridge/,1,12,8.33%,6.42
https://sportscardsnearme.ca/sell/kapuskasing/,1,12,8.33%,8.83
https://sportscardsnearme.ca/british-columbia/new-westminster/,1,12,8.33%,10
https://sportscardsnearme.ca/shows/quebec-2026/,1,11,9.09%,4.18
https://sportscardsnearme.ca/sell/charlottetown/,1,11,9.09%,6.73
https://sportscardsnearme.ca/manitoba/carman/,1,11,9.09%,8
https://sportscardsnearme.ca/store/tw-chicoutimi-jonquiere-saguenay/,1,10,10%,4.2
https://sportscardsnearme.ca/ontario/brockville/,1,10,10%,9.3
https://sportscardsnearme.ca/store/brightside-hobbies-brightside-tcg-morinville/,1,9,11.11%,3.22
https://sportscardsnearme.ca/store/la-zone-retro-rouyn-noranda/,1,9,11.11%,3.78
https://sportscardsnearme.ca/quebec/jonquiere-saguenay/,1,9,11.11%,8.11
https://sportscardsnearme.ca/store/great-canadian-card-co-greater-sudbury/,1,9,11.11%,12.22
https://sportscardsnearme.ca/alberta/chestermere/,1,9,11.11%,14.89
https://sportscardsnearme.ca/store/cartes-sur-table-l-assomption/,1,8,12.5%,3.38
https://sportscardsnearme.ca/store/big-time-sportscards-regina/,1,8,12.5%,18.12
https://sportscardsnearme.ca/sell/cornwall/,1,7,14.29%,4.86
https://sportscardsnearme.ca/quebec/verdun-montreal/,1,7,14.29%,6.86
https://sportscardsnearme.ca/sell/maple-ridge/,1,6,16.67%,2.83
https://sportscardsnearme.ca/new-brunswick/caraquet/,1,5,20%,2.6
https://sportscardsnearme.ca/pokemon/brockville/,1,5,20%,12.2
https://sportscardsnearme.ca/quebec/dolbeau-mistassini/,1,5,20%,20
https://sportscardsnearme.ca/store/the-trading-post-sault-ste-marie/,1,4,25%,3.75
https://sportscardsnearme.ca/store/dxhers-ottawa/,1,4,25%,4.75
https://sportscardsnearme.ca/ontario/dunnville/,1,4,25%,7.25
https://sportscardsnearme.ca/ontario/st-catharines/,1,4,25%,10.5
https://sportscardsnearme.ca/store/the-memorabilia-shop-chestermere/,1,4,25%,13
https://sportscardsnearme.ca/store/librairie-alpha-gaspe/,1,3,33.33%,6
https://sportscardsnearme.ca/pokemon/carleton-place/,1,2,50%,12
https://sportscardsnearme.ca/ontario/stoney-creek/,1,1,100%,2
https://sportscardsnearme.ca/store/northern-sports-cards-lindsay-kawartha-lakes/,1,1,100%,12
https://sportscardsnearme.ca/store/total-sports-cards-collectibles-etobicoke/,0,604,0%,9.11
https://sportscardsnearme.ca/store/rookies-sports-cards-collectibles-hamilton/,0,333,0%,12.31
https://sportscardsnearme.ca/store/strictly-singles-sports-cards-halifax/,0,213,0%,10.35
https://sportscardsnearme.ca/pokemon/fort-erie/,0,184,0%,9.2
https://sportscardsnearme.ca/store/mana-vault-saskatoon/,0,153,0%,9.53
https://sportscardsnearme.ca/store/goalline-sports-cards-chilliwack/,0,142,0%,6.99
https://sportscardsnearme.ca/store/m4-sports-cards-and-collectibles-hamilton/,0,137,0%,9.48
https://sportscardsnearme.ca/store/merchant-s-shop-la-shop-du-marchand-merchant-s-inventory-bathurst/,0,126,0%,6.93
https://sportscardsnearme.ca/pokemon/toronto/,0,125,0%,22.48
https://sportscardsnearme.ca/store/skaf-express-let-s-play-cards-and-games-thunder-bay/,0,117,0%,8.44
https://sportscardsnearme.ca/store/gator-byte-computers-entertainment-yarmouth/,0,113,0%,8.54
https://sportscardsnearme.ca/store/hope-club-collectibles-sports-cards-and-trading-card-games-toronto/,0,105,0%,7.74
https://sportscardsnearme.ca/quebec/montreal/,0,104,0%,11.07
https://sportscardsnearme.ca/store/true-gem-sports-collectibles-markham/,0,98,0%,7.26
https://sportscardsnearme.ca/ontario/,0,93,0%,10.41
https://sportscardsnearme.ca/store/pastime-sports-games-guildford-surrey/,0,91,0%,10.31
https://sportscardsnearme.ca/store/cartes-leo-lachute/,0,86,0%,8.33
https://sportscardsnearme.ca/shows/atlantic-entertainment-expo-aex-moncton-moncton-2026-10-17/,0,84,0%,7.08
https://sportscardsnearme.ca/store/colossal-cards-and-collectables-courtenay/,0,80,0%,8.21
https://sportscardsnearme.ca/store/professional-sports-authenticator-psa-canada-mississauga/,0,80,0%,15.64
https://sportscardsnearme.ca/store/tabletop-renaissance-games-hobbies-windsor/,0,79,0%,11.51
https://sportscardsnearme.ca/store/pastime-sports-games-langley-langley/,0,74,0%,15.95
https://sportscardsnearme.ca/store/stakk-saint-eustache-hq-saint-eustache/,0,73,0%,7.15
https://sportscardsnearme.ca/store/local-legends-cards-collectibles-vancouver/,0,73,0%,9.55
https://sportscardsnearme.ca/store/omar-s-collectibles-vernon/,0,73,0%,10.62
https://sportscardsnearme.ca/store/paradoxtcg-hamilton/,0,69,0%,28.14
https://sportscardsnearme.ca/store/comic-readers-medicine-hat/,0,68,0%,9.43
https://sportscardsnearme.ca/store/kanzen-games-sports-collectibles-mississauga/,0,67,0%,11.24
https://sportscardsnearme.ca/store/1up-games-hamilton/,0,66,0%,48.64
https://sportscardsnearme.ca/store/the-trading-card-store-lindsay-lindsay-kawartha-lakes/,0,65,0%,9.43
https://sportscardsnearme.ca/store/avalon-hobbies-medicine-hat/,0,65,0%,9.89
https://sportscardsnearme.ca/store/andys-sports-cards-and-collectibles-calgary/,0,63,0%,15.41
https://sportscardsnearme.ca/store/tom-tech-repairs-game-vault-kingston-kingston/,0,62,0%,8.21
https://sportscardsnearme.ca/store/remi-card-trader-saint-hubert-longueuil/,0,62,0%,8.63
https://sportscardsnearme.ca/store/ppag-hockey-cards-granby/,0,61,0%,8.52
https://sportscardsnearme.ca/store/pastime-sports-games-capilano-north-vancouver/,0,61,0%,8.89
https://sportscardsnearme.ca/alberta/red-deer/,0,61,0%,15.57
https://sportscardsnearme.ca/store/cardboard-hero-fredericton-fredericton/,0,60,0%,9.07
https://sportscardsnearme.ca/store/players-cards-and-collectibles-london/,0,59,0%,8.69
https://sportscardsnearme.ca/store/action-packed-comics-games-kingston/,0,59,0%,24.42
https://sportscardsnearme.ca/new-brunswick/bathurst/,0,58,0%,7.74
https://sportscardsnearme.ca/store/northern-war-table-vaughan/,0,58,0%,7.74
https://sportscardsnearme.ca/store/elsewhere-gaming-hobbies-new-minas/,0,57,0%,8.14
https://sportscardsnearme.ca/new-brunswick/moncton/,0,57,0%,9.4
https://sportscardsnearme.ca/pokemon/montreal/,0,57,0%,11.84
https://sportscardsnearme.ca/store/m-l-sports-cards-collectables-niagara-falls/,0,56,0%,7.95
https://sportscardsnearme.ca/store/the-hobby-spot-leduc-quarantined-case-breaks-leduc/,0,55,0%,8.64
https://sportscardsnearme.ca/store/sportsworld-collectibles-regina/,0,55,0%,13.24
https://sportscardsnearme.ca/store/next-level-games-and-collectibles-summerside/,0,54,0%,7.83
https://sportscardsnearme.ca/store/kingston-card-den-kingston/,0,54,0%,8.37
https://sportscardsnearme.ca/pokemon/saint-john/,0,54,0%,8.94
https://sportscardsnearme.ca/store/games-nook-ii-sault-ste-marie/,0,54,0%,9.63
https://sportscardsnearme.ca/store/dueling-grounds-tabletop-games-peterborough/,0,54,0%,11.74
https://sportscardsnearme.ca/store/d-m-sports-halifax/,0,53,0%,8.66
https://sportscardsnearme.ca/store/card-rack-fredericton/,0,52,0%,7.77
https://sportscardsnearme.ca/store/inner-hero-collectibles-brandon/,0,52,0%,10.12
https://sportscardsnearme.ca/store/la-carte-cachee-saint-jean-sur-richelieu/,0,51,0%,8.31
https://sportscardsnearme.ca/store/kadoone-markham/,0,51,0%,10.59
https://sportscardsnearme.ca/store/game-cycle-london-wharncliffe-london/,0,50,0%,8.76
https://sportscardsnearme.ca/store/skies-the-limit-fireworks-toys-yorkton/,0,50,0%,9.4
https://sportscardsnearme.ca/store/duck-duck-games-collectibles-toronto/,0,49,0%,9.04
https://sportscardsnearme.ca/store/dragon-world-card-games-collectibles-brampton/,0,49,0%,9.78
https://sportscardsnearme.ca/sell/vancouver/,0,49,0%,10.04
https://sportscardsnearme.ca/pokemon/saskatoon/,0,48,0%,10.94
https://sportscardsnearme.ca/store/putali-chowk-board-games-bar-windsor/,0,47,0%,7.89
https://sportscardsnearme.ca/store/georges-ii-sherwood-park/,0,47,0%,8.11
https://sportscardsnearme.ca/store/fan-of-the-sport-st-thomas/,0,47,0%,8.64
https://sportscardsnearme.ca/store/carto-puces-terrebonne/,0,47,0%,8.68
https://sportscardsnearme.ca/store/docs-hobby-shop-greater-sudbury/,0,47,0%,12.94
https://sportscardsnearme.ca/store/cheesmo-s-cards-mobile-hobby-shop-mississauga/,0,46,0%,5.8
https://sportscardsnearme.ca/store/kanto-kreations-sault-ste-marie/,0,46,0%,7.22
https://sportscardsnearme.ca/store/f-c-house-of-cards-windsor/,0,46,0%,9.72
https://sportscardsnearme.ca/quebec/laval/,0,45,0%,10.69
https://sportscardsnearme.ca/store/prairie-canucks-cards-collectibles-weyburn/,0,44,0%,6.2
https://sportscardsnearme.ca/pokemon/fort-saskatchewan/,0,44,0%,7.39
https://sportscardsnearme.ca/store/gateway-cards-sports-brampton/,0,44,0%,9.23
https://sportscardsnearme.ca/store/hobby-stop-tcg-collectibles-toronto/,0,44,0%,19.66
https://sportscardsnearme.ca/store/cartes-sportives-rive-sud-mcmasterville-mcmasterville/,0,43,0%,7.6
https://sportscardsnearme.ca/store/celly-sports-games-calgary/,0,42,0%,7.31
https://sportscardsnearme.ca/store/boreal-gaming-cards-thorold/,0,42,0%,7.67
https://sportscardsnearme.ca/store/hobbiesville-toronto-toronto/,0,42,0%,24.31
https://sportscardsnearme.ca/store/kaboom-hobby-windsor/,0,41,0%,5.56
https://sportscardsnearme.ca/sell/halifax/,0,41,0%,9.32
https://sportscardsnearme.ca/store/maximum-cards-collectibles-whitby/,0,41,0%,9.9
https://sportscardsnearme.ca/alberta/grande-prairie/,0,41,0%,14.8
https://sportscardsnearme.ca/guides/psa-grading-submissions-canada/,0,41,0%,20.98
https://sportscardsnearme.ca/store/gamezilla-saint-john-saint-john/,0,40,0%,8.28
https://sportscardsnearme.ca/store/helou-s-sports-cards-and-collectibles-windsor/,0,40,0%,10.03
https://sportscardsnearme.ca/newfoundland-and-labrador/st-john-s/,0,40,0%,10.43
https://sportscardsnearme.ca/store/cardboard-slingers-collectables-oromocto/,0,39,0%,7.56
https://sportscardsnearme.ca/store/neko-s-game-store-car-wash-thompson/,0,39,0%,7.64
https://sportscardsnearme.ca/store/royalty-cards-and-collectibles-toronto/,0,39,0%,7.72
https://sportscardsnearme.ca/sell/montreal/,0,39,0%,8.87
https://sportscardsnearme.ca/store/relikks-cards-collectibles-toronto/,0,39,0%,9.21
https://sportscardsnearme.ca/store/level-up-games-canada-vaughan/,0,39,0%,9.28
https://sportscardsnearme.ca/store/nd-sports-cards-ltd-psa-authorized-platinum-dealer-vaughan/,0,39,0%,10.1
https://sportscardsnearme.ca/store/collector-s-avenue-west-island-dollard-des-ormeaux/,0,38,0%,7.16
https://sportscardsnearme.ca/store/armadillo-games-canmore/,0,38,0%,7.61
https://sportscardsnearme.ca/ontario/woodstock/,0,38,0%,8.53
https://sportscardsnearme.ca/store/elite-cards-toronto-vaughan/,0,38,0%,9.61
https://sportscardsnearme.ca/store/out-of-the-box-ottawa/,0,38,0%,15.37
https://sportscardsnearme.ca/saskatchewan/weyburn/,0,37,0%,6.76
https://sportscardsnearme.ca/store/d-c-s-collectibles-whitecourt/,0,37,0%,8.16
https://sportscardsnearme.ca/store/kollect-this-inc-peterborough/,0,37,0%,9.22
https://sportscardsnearme.ca/store/boutique-la-coupe-stanley-saint-jerome/,0,37,0%,10.05
https://sportscardsnearme.ca/store/miraj-trading-montreal/,0,36,0%,8.33
https://sportscardsnearme.ca/store/eastridge-sports-cards-games-calgary/,0,36,0%,17.64
https://sportscardsnearme.ca/shows/sport-card-memorabilia-expo-toronto-fall-mississauga-2026-11-05/,0,36,0%,19.22
https://sportscardsnearme.ca/store/west-s-sports-cards-edmonton/,0,36,0%,44.08
https://sportscardsnearme.ca/store/collector-s-avenue-montreal-montreal/,0,35,0%,9.14
https://sportscardsnearme.ca/store/wayne-s-sports-cards-collectibles-edmonton/,0,35,0%,9.37
https://sportscardsnearme.ca/store/sports-la-tornade-vaudreuil-dorion/,0,35,0%,9.74
https://sportscardsnearme.ca/store/rad-cards-and-collectibles-saskatoon/,0,35,0%,10.26
https://sportscardsnearme.ca/shows/vancity-card-show-vancouver-2026-10-02/,0,35,0%,11
https://sportscardsnearme.ca/pokemon/st-john-s/,0,35,0%,11.83
https://sportscardsnearme.ca/store/prisma-games-edmonton/,0,35,0%,12
https://sportscardsnearme.ca/store/empire-trading-tcg-ottawa/,0,35,0%,15.66
https://sportscardsnearme.ca/pokemon/brampton/,0,34,0%,6
https://sportscardsnearme.ca/store/eclipse-games-edmonton/,0,34,0%,7.41
https://sportscardsnearme.ca/store/box-of-cards-sports-cards-barrie/,0,34,0%,8.18
https://sportscardsnearme.ca/new-brunswick/saint-john/,0,34,0%,9.21
https://sportscardsnearme.ca/pokemon/nanaimo/,0,34,0%,10.18
https://sportscardsnearme.ca/store/legendary-collectables-mississauga/,0,34,0%,21.88
https://sportscardsnearme.ca/store/go-go-hobbies-coquitlam/,0,33,0%,3.18
https://sportscardsnearme.ca/store/dd-sports-vaughan-vaughan/,0,33,0%,5.09
https://sportscardsnearme.ca/store/nova-s-sports-cards-lloydminster-sk-side/,0,32,0%,7.47
https://sportscardsnearme.ca/store/let-s-collect-cards-burnaby/,0,32,0%,8.28
https://sportscardsnearme.ca/quebec/joliette/,0,32,0%,9.19
https://sportscardsnearme.ca/store/rednails-ii-toronto/,0,32,0%,9.19
https://sportscardsnearme.ca/store/untouchables-sports-cards-gaming-milton-milton/,0,32,0%,9.19
https://sportscardsnearme.ca/saskatchewan/saskatoon/,0,32,0%,9.66
https://sportscardsnearme.ca/store/mint-sports-cards-collectibles-bolton/,0,32,0%,9.72
https://sportscardsnearme.ca/store/mb-cartes-sherbrooke/,0,32,0%,10.34
https://sportscardsnearme.ca/alberta/calgary/,0,32,0%,11.59
https://sportscardsnearme.ca/sell/windsor/,0,31,0%,8.58
https://sportscardsnearme.ca/store/go-beyond-games-dauphin/,0,31,0%,8.61
https://sportscardsnearme.ca/pokemon/vaughan/,0,31,0%,9.23
https://sportscardsnearme.ca/store/village-des-heros-chateauguay/,0,31,0%,9.35
https://sportscardsnearme.ca/shows/this-weekend/,0,31,0%,32.97
https://sportscardsnearme.ca/store/over-the-top-gaming-oshawa/,0,30,0%,3
https://sportscardsnearme.ca/store/d-m-sports-cards-moncton/,0,30,0%,8.83
https://sportscardsnearme.ca/british-columbia/kamloops/,0,30,0%,8.93
https://sportscardsnearme.ca/british-columbia/prince-george/,0,30,0%,9.23
https://sportscardsnearme.ca/pokemon/kingston/,0,30,0%,10.5
https://sportscardsnearme.ca/alberta/lethbridge/,0,30,0%,15.7
https://sportscardsnearme.ca/guides/best-card-shops-alberta/,0,29,0%,8.59
https://sportscardsnearme.ca/store/l-imaginaire-chicoutimi-chicoutimi-saguenay/,0,29,0%,12.41
https://sportscardsnearme.ca/store/stadium-sports-cards-blenheim-chatham-kent/,0,28,0%,7.21
https://sportscardsnearme.ca/store/new-rave-tcg-hobbies-oshawa/,0,28,0%,7.86
https://sportscardsnearme.ca/store/game-over-kingston/,0,28,0%,8.54
https://sportscardsnearme.ca/store/tugs-cards-comics-tugs-pop-culture-sports-drumheller/,0,28,0%,8.89
https://sportscardsnearme.ca/store/outpost-sports-cards-and-games-edmonton/,0,28,0%,9.43
https://sportscardsnearme.ca/store/treasures-n-more-carleton-place/,0,28,0%,10.96
https://sportscardsnearme.ca/store/imperial-garden-sports-collectibles-grande-prairie/,0,28,0%,24.14
