name,address,city,new_town,source,verdict,verification_note
MV3.CAARDZ,"2640 Bd Pitfield, Saint-Laurent, QC H4S 1G9, Saint-Laurent, Quebec",Saint-Laurent,YES,https://www.nearmetcg.com/search?province=Quebec,UNVERIFIED,
Hobby Champion,"831A Mnt Ste Julie, Sainte-Julie, QC J3E 1W9, Sainte-Julie, Quebec",Sainte-Julie,YES,https://www.nearmetcg.com/search?province=Quebec,UNVERIFIED,
CF31 BREAK (DEPOT ET RAMASSAGE),"12 Rue Lesage, Sainte-Therese, QC J7E 3E8, Sainte-Therese, Quebec",Sainte-Therese,YES,https://www.nearmetcg.com/search?province=Quebec,HOLD,"genuine sports-card business (CF31 Collection Cartes Sportives, 9.4K FB, 4.9/52) but 'boutique en ligne' + drop-off/pickup, not a walk-in store"
Jeux 3 Dragons,"60 Rue Turgeon, Sainte-Therese, QC J7E 3H5, Sainte-Therese, Quebec",Sainte-Therese,YES,https://www.nearmetcg.com/search?province=Quebec,UNVERIFIED,
Jeuxjubes,"238 Bd du Cure-Labelle, Sainte-Therese, QC J7E 2X7, Sainte-Therese, Quebec",Sainte-Therese,YES,https://www.nearmetcg.com/search?province=Quebec,LIKELY INCLUDE,jeuxjubes.com board-game + candy shop that explicitly carries 'cartes de collection'; real walk-in boutiques
L'Entre-Jeux Shawinigan,"3103 Bd Royal Local R33, Shawinigan, QC G9N 7C1, Shawinigan, Quebec",Shawinigan,YES,https://www.nearmetcg.com/search?province=Quebec,UNVERIFIED,
Boutique Imaginaire de St-Bruno,"440 Bd des Promenades, Saint-Bruno-de-Montarville, QC J3V 6A8, St-Bruno-de-Montarville, Quebec",St-Bruno-de-Montarville,YES,https://www.nearmetcg.com/search?province=Quebec,UNVERIFIED,
Face to Face Games in Quebec,"4425 Wellington St, Verdun, Quebec H4G 1W6, Verdun, Quebec",Verdun,YES,https://www.nearmetcg.com/search?province=Quebec,UNVERIFIED,
Le Roi des Cartes - Hockey & Accessoires,"347 Rue Duvernay, Beloeil, QC J3G 5S8, Beloeil, Quebec",Beloeil,no,https://www.nearmetcg.com/search?province=Quebec,UNVERIFIED,
Card Caster,"625 Bd du Cure-Labelle Suite 5-6, Blainville, QC J7C 2J1, Blainville, Quebec",Blainville,no,https://www.nearmetcg.com/search?province=Quebec,UNVERIFIED,
Jeux A-Z Games,"Bd D'Anjou #100-D, Chateauguay, QC J6K 1C4, Chateauguay, Quebec",Chateauguay,no,https://www.nearmetcg.com/search?province=Quebec,UNVERIFIED,
L'Univers des Cartes,"75 Bd Saint-Jean-Baptiste Suite 130, Chateauguay, QC J6J 3H6, Chateauguay, Quebec",Chateauguay,no,https://www.nearmetcg.com/search?province=Quebec,UNVERIFIED,
Cartes Sportives Temple De La Renomee,"4067 Boul. Saint-Jean, Dollard-des-Ormeaux, QC H9G 2R4, Dollard-Des Ormeaux, Quebec",Dollard-Des Ormeaux,no,https://www.nearmetcg.com/search?province=Quebec,UNVERIFIED,
Sport Cards Hall Of Fame,"4067 Boul. Saint-Jean, Dollard-des-Ormeaux, QC H9G 2R4, Dollard-Des Ormeaux, Quebec",Dollard-Des Ormeaux,no,https://www.nearmetcg.com/search?province=Quebec,UNVERIFIED,
Passe-Temps Adrenaline inc.,"211 Rue Heriot, Drummondville, QC J2C 1J9, Drummondville, Quebec",Drummondville,no,https://www.nearmetcg.com/search?province=Quebec,UNVERIFIED,
Boutique FDB,"28 Bd du Mont-Bleu Unite 102A, Gatineau, Quebec J8Z 1J1, Gatineau, Quebec",Gatineau,no,https://www.nearmetcg.com/search?province=Quebec,UNVERIFIED,
L'As des jeux,"325 Bd Greber, Gatineau, QC J8T 5R3, Gatineau, Quebec",Gatineau,no,https://www.nearmetcg.com/search?province=Quebec,UNVERIFIED,
Distribution Diecast64,"39 Rue Evangeline Local 3, Granby, QC J2G 6N4, Granby, Quebec",Granby,no,https://www.nearmetcg.com/search?province=Quebec,UNVERIFIED,
Maitre De Jeu,"14 Rue Saint-Joseph, Granby, QC J2G 6T6, Granby, Quebec",Granby,no,https://www.nearmetcg.com/search?province=Quebec,UNVERIFIED,
Always Games - Hobby & Coffee Shop,"1296 Bd du Cure-Labelle, Laval, QC H7V 2V9, Laval, Quebec",Laval,no,https://www.nearmetcg.com/search?province=Quebec,UNVERIFIED,
Geekstuff,"5220 Boulevard des Laurentides, Laval, Quebec H7K 2J8, Laval, Quebec",Laval,no,https://www.nearmetcg.com/search?province=Quebec,UNVERIFIED,
Passion Diecast,"427 Blvd. Saint-Martin O, Laval, QC H7M 1Y8, Laval, Quebec",Laval,no,https://www.nearmetcg.com/search?province=Quebec,UNVERIFIED,
Card Caster: Cartes a Collectionner,"9291 Boulevard de St Canut, Mirabel, QC J7N 1N4, Mirabel, Quebec",Mirabel,no,https://www.nearmetcg.com/search?province=Quebec,UNVERIFIED,
Carta Magica Montreal,"6360 Rue St-Hubert, Montreal, QC H2S 2M2, Montreal, Quebec",Montreal,no,https://www.nearmetcg.com/search?province=Quebec,UNVERIFIED,
Electric Avenue Montreal,"6054 Monkland Ave, Montreal, Quebec H4A 1H2, Montreal, Quebec",Montreal,no,https://www.nearmetcg.com/search?province=Quebec,UNVERIFIED,
Enchanted Cards and Collectibles,"6888a Victoria Ave, Montreal, Quebec H3W 2T4, Montreal, Quebec",Montreal,no,https://www.nearmetcg.com/search?province=Quebec,UNVERIFIED,
Game Keeper Lajeunesse - Jeux et Passe-temps,"10810 Rue Lajeunesse, Montreal, QC H3L 2E8, Montreal, Quebec",Montreal,no,https://www.nearmetcg.com/search?province=Quebec,UNVERIFIED,
Gobelin D'Argent,"#216, 372 Saint-Catherine St W, Montreal, Quebec H3B 1A4, Montreal, Quebec",Montreal,no,https://www.nearmetcg.com/search?province=Quebec,UNVERIFIED,
L'Expedition,"6571 Rue St-Hubert, Montreal, QC H2S 2M5, Montreal, Quebec",Montreal,no,https://www.nearmetcg.com/search?province=Quebec,UNVERIFIED,
Other World Games,"1839 Saint-Catherine St W, Montreal, Quebec H3H 1M2, Montreal, Quebec",Montreal,no,https://www.nearmetcg.com/search?province=Quebec,UNVERIFIED,
Three Kings Loot inc,"5175 C Sherbrooke St W, Montreal, Quebec H4A 3K8, Montreal, Quebec",Montreal,no,https://www.nearmetcg.com/search?province=Quebec,UNVERIFIED,
Bluenose Collectibles,"313 Boul. Saint-Jean, Pointe-Claire, QC H9R 3J2, Pointe-Claire, Quebec",Pointe-Claire,no,https://www.nearmetcg.com/search?province=Quebec,UNVERIFIED,
Le Coin Du Hobby,"455 Av. Mathers, Saint-Eustache, QC J7P 4C1, Saint-Eustache, Quebec",Saint-Eustache,no,https://www.nearmetcg.com/search?province=Quebec,UNVERIFIED,
Les Thematiques,"455 Av. Mathers, Saint-Eustache, QC J7P 4C1, Saint-Eustache, Quebec",Saint-Eustache,no,https://www.nearmetcg.com/search?province=Quebec,UNVERIFIED,
Maitre des Jeux (Le),"433 Bd Arthur-Sauve, Saint-Eustache, QC J7P 2B3, Saint-Eustache, Quebec",Saint-Eustache,no,https://www.nearmetcg.com/search?province=Quebec,UNVERIFIED,
Top Collectibles,"770 Rue de Martigny O, Saint-Jerome, QC J5L 1Z6, Saint-Jerome, Quebec",Saint-Jerome,no,https://www.nearmetcg.com/search?province=Quebec,UNVERIFIED,
Le Roi des Cartes Valleyfield,"1175 Bd Monseigneur-Langlois, Salaberry-de-Valleyfield, QC J6S 1C1, Salaberry-de-Valleyfield, Quebec",Salaberry-de-Valleyfield,no,https://www.nearmetcg.com/search?province=Quebec,UNVERIFIED,
Boutique Imaginaire de Sherbrooke,"3050 boulevard de Portland, Carrefour de l'Estrie, Sherbrooke, QC J1L 1K1, Sherbrooke, Quebec",Sherbrooke,no,https://www.nearmetcg.com/search?province=Quebec,UNVERIFIED,
AGS Collectibles,"575 Rue Paul-VI, Terrebonne, QC J6W 1V9, Terrebonne, Quebec",Terrebonne,no,https://www.nearmetcg.com/search?province=Quebec,UNVERIFIED,
Boutique Imaginaire,"4225 Bd des Forges, Trois-Rivieres, QC G8Y 1W2, Trois-Rivieres, Quebec",Trois-Rivieres,no,https://www.nearmetcg.com/search?province=Quebec,UNVERIFIED,
Joubec Val-d'Or,"670 3e Avenue, Val-d'Or, QC J9P 1S5, Val-d'Or, Quebec",Val-d'Or,no,https://www.nearmetcg.com/search?province=Quebec,UNVERIFIED,
Orthanc La Forteresse,"26A Notre-Dame St E, Victoriaville, Quebec G6P 3Z5, Victoriaville, Quebec",Victoriaville,no,https://www.nearmetcg.com/search?province=Quebec,UNVERIFIED,
