sheet_row,Store Name,City,Sports/TCG Available
148,Rookies Sports Cards & Collectibles,Hamilton,Hockey;Baseball;Basketball;Football;Pokemon;Other
149,The Bard and Bear Games Cafe Hamilton,Hamilton,Pokemon;Magic;Other
150,The Dragon's Lair Unleashed,Hamilton,Pokemon;Magic;Other
151,Tistaminis,Hamilton,
152,Waypoint Games,Hamilton,Pokemon;Magic;Other
153,"Webber's Balloons, Cards and Collectibles",Hamilton,Hockey;Baseball;Basketball;Football;Other
154,Up North Games,Huntsville,Pokemon;Magic;Other
155,Action Packed Comics & Games,Kingston,Pokemon;Magic;Other
156,Art Noise,Kingston,
157,Booster House,Kingston,Magic;Pokemon
158,Chumleighs,Kingston,
159,Game Over,Kingston,Pokemon;Magic;Other
160,Improbable Escapes: Board Game Lounge,Kingston,Pokemon;Magic;Other
161,Kingston Card Den,Kingston,Hockey;Pokemon
162,Kingston Gaming Nexus,Kingston,Pokemon;Magic;Other
163,Minotaur Games and Gifts,Kingston,Pokemon;Magic;Other
164,MMLorcana,Kingston,
165,Novel Idea,Kingston,
166,SBT Comics & Games,Kingston,Pokemon;Magic;Other
167,The Rocking Horse Toys,Kingston,
168,Tom Tech Repairs & Game Vault Kingston,Kingston,Pokemon;Magic;Other
169,Chimera Gaming,Kitchener,Pokemon;Magic;Other
170,CloutsnChara Sports Cards,Kitchener,Hockey;Baseball;Basketball;Football;Pokemon;Magic;Other
171,Beyond The Pond Sportcards,London,Hockey;Other
172,Beyond the Pond Sports Cards and Collectables,London,Hockey;Baseball;Basketball;Football
173,Card Cycle,London,Pokemon
174,Cellular Magician,London,Magic
175,EA Collectibles,London,Hockey;Baseball;Basketball;Football;Other
176,Forest City Coins & Stamps,London,Baseball;Hockey;Magic;Pokemon
177,Game Cycle Hamilton Road,London,Pokemon;Magic;Other
178,Game Cycle London Wharncliffe,London,Pokemon;Magic;Other
179,Game Knight Leagues,London,Pokemon;Magic;Other
180,Gamers Emporium,London,Pokemon;Magic;Other
181,Heaven's Collectibles & TCG,London,Pokemon;Magic;Other
182,Heroes Comics,London,Pokemon;Magic;Other
183,Hi-Times (Head Shop + Indoor Growing Equipment +Indoor Grow Shop Hydroponics,London,
184,L. A. Mood Comics & Games,London,Pokemon;Magic;Other
185,Neo Tokyo The Anime Store,London,Pokemon;Magic;Other
186,Players Cards and Collectibles,London,Hockey;Baseball;Basketball;Football;Other
187,Pokanada (Sealed Pokemon section inside pharmacy),London,Pokemon
188,Premium Sports Cards,London,Hockey;Baseball;Basketball;Football
189,Realm Hoppers,London,Magic;Pokemon
190,Seven Sisters Ritual Apothecary,London,
191,The Game Chamber,London,Pokemon;Magic;Other
192,The Mana Lounge,London,Basketball;Magic;Pokemon
193,Warhammer,London,
194,A&J Hobbies,Markham,Pokemon;Magic;Other
195,Advance RC & Hobbies,Markham,Pokemon;Magic;Other
196,Card Board Gaming - Appointment Only,Markham,Pokemon;Magic;Other
197,Chigun Hobbies,Markham,Pokemon;Magic;Other
198,Comfy Hobbies,Markham,Pokemon;Magic;Other
199,Cool Dragon Hobby,Markham,Pokemon;Magic;Other
200,Fine Toys Store,Markham,Pokemon;Magic;Other
201,Five Dragons hobbies,Markham,Pokemon;Magic;Other
202,Hogtown Cards,Markham,Hockey;Baseball;Basketball;Football;Other
203,Horizon Diecast,Markham,
204,K-OS Collectibles Inc,Markham,Hockey;Baseball;Basketball;Football;Other
205,KadOone,Markham,Pokemon;Magic;Other
206,Manta Trading,Markham,Pokemon;Other
207,MasterSet Co.,Markham,Pokemon;Other
208,MyPops.ca Markham Toys Funko TCG,Markham,Pokemon;Magic;Other
209,Nerdvana Cards & Games,Markham,Pokemon;Magic;Other
210,NexPack Collectibles - Trading Card Shop,Markham,Hockey;Baseball;Basketball;Football;Other
211,Not A Hobby Shop & Goose Guzzu Mart,Markham,Pokemon;Magic;Other
212,Panda Hobby - Canada's Largest Gundam Store,Markham,Pokemon;Magic;Other
213,Playdexk,Markham,
214,PvP Shoppe,Markham,Pokemon;Magic;Other
215,Sino Hobby Markham,Markham,Pokemon;Magic;Other
216,Springer Hobbies,Markham,Pokemon;Magic;Other
217,True Gem Sports Collectibles,Markham,Hockey;Baseball;Basketball;Football
218,WoodForSheep Hobbies Ltd.,Markham,Pokemon;Magic;Other
219,A-Spec Cards Inc.,Milton,
220,Untouchables Sports Cards & Gaming (Milton),Milton,Hockey;Baseball;Basketball;Football;Pokemon;Magic;Other
221,Cheesmo's Cards Mobile Hobby Shop,Mississauga,Pokemon;Magic;Other
222,Conspiracy Comics Games & Anime,Mississauga,Pokemon;Magic;Other
223,Duel City Games,Mississauga,Pokemon;Magic;Other
224,Game Time Collectibles,Mississauga,Pokemon;Magic;Other
225,Gotham Central Comics,Mississauga,Pokemon;Magic;Other
226,Image Collections,Mississauga,
227,KanZen Games Sports & Collectibles,Mississauga,Hockey;Baseball;Basketball;Football;Pokemon;Magic;Other
228,Legendary Collectables,Mississauga,Hockey;Baseball;Basketball;Football;Pokemon;Magic;Other
229,LVLUP GAMES,Mississauga,Pokemon;Magic;Other
230,MyPops.ca Erin Mills Town Centre Mississauga Toys Funko TCG,Mississauga,Pokemon;Magic;Other
231,Nak Gaming - Online Order Pickup Only,Mississauga,Pokemon;Magic;Other
232,Professional Sports Authenticator - PSA Canada,Mississauga,Hockey;Baseball;Basketball;Football
233,Red Riot Games,Mississauga,Pokemon;Magic;Other
234,Slab Sharks - Sports Cards & Collectibles Consignment,Mississauga,Hockey;Baseball;Basketball;Football
235,The Upper Hand,Mississauga,Pokemon;Magic;Other
236,Untouchables Sports Cards & Gaming,Mississauga,Hockey;Baseball;Basketball;Football;Pokemon;Magic;Other
237,VTRGaming,Mississauga,Pokemon;Magic;Other
238,Warp Zone Gaming,Mississauga,Pokemon;Magic;Other
239,X Planet Games,Mississauga,Pokemon;Magic;Other
240,Hobby Knight in Canada,Newmarket,Pokemon;Magic;Other
241,Centre Ice Collectibles,Niagara Falls,Hockey;Baseball;Basketball;Football;Other
242,M&L Sports Cards & Collectables,Niagara Falls,Hockey;Baseball;Basketball;Football;Other
243,Niagara Sports Cards,Niagara Falls,Hockey;Baseball;Basketball;Football;Pokemon;Magic;Other
244,Aces Cool Collectibles,North Bay,Hockey;Baseball;Basketball;Football;Other
245,Ultimate Sportscards,North Bay,Hockey;Baseball;Basketball;Football;Other
246,Game 3 TCG & Hobby,Oakville,Pokemon;Magic;Other
247,Top Shelf Co.,Oakville,Pokemon;Magic;Other
248,Cards and Coasters,Orillia,Pokemon;Magic;Other
249,Addictive Hobbies & Games,Oshawa,Pokemon;Magic;Other
250,Cardboard Hero,Oshawa,Hockey;Baseball;Basketball;Football;Pokemon;Magic;Other
251,Comic Alley Toys,Oshawa,Pokemon;Magic;Other
252,Deck Out Gaming,Oshawa,Pokemon;Magic;Other
253,"Fly By Nite Movies, Games, and Toys",Oshawa,Pokemon;Magic;Other
254,G A M E S,Oshawa,
255,GNU Books,Oshawa,Hockey;Baseball;Pokemon;Magic
256,Great Hobbies,Oshawa,Pokemon;Magic;Other
257,New Rave TCG & Hobbies,Oshawa,Pokemon;Magic;Other
258,Over The Top Gaming,Oshawa,Pokemon;Magic;Other
259,Skyfox Games,Oshawa,Pokemon;Magic;Other
260,The 3D Shoppe,Oshawa,Magic;Pokemon;Other
261,The Comic Doctor Inc,Oshawa,Pokemon;Magic;Other
262,The Entertainment Cube,Oshawa,
263,Worlds Collide,Oshawa,Magic
264,Xtreme R/C & Raceways,Oshawa,
265,Buying Sports Cards & Comics,Ottawa,Hockey;Baseball;Basketball;Football;Pokemon;Magic;Other
266,carsncards.com,Ottawa,Pokemon
267,Carta Magica Ottawa,Ottawa,Magic
268,Danireon Cards & Games,Ottawa,Pokemon;Magic;Other
269,Dxhers,Ottawa,Pokemon;Other
270,Empire Trading TCG,Ottawa,Pokemon;Magic;Other
271,Entertainment Ink!,Ottawa,
272,Game Breakers Sports Cards,Ottawa,Hockey;Baseball;Basketball;Football;Pokemon;Magic;Other
273,Hobbiesville,Ottawa,Pokemon;Magic;Other
274,Hobbiesville Ottawa,Ottawa,Pokemon;Magic;Other
275,Imaginaire Store Ottawa,Ottawa,
276,Minty Fresh Collectibles,Ottawa,Hockey;Baseball;Basketball;Football;Other
277,Nabema Collectibles,Ottawa,Hockey;Baseball;Basketball;Football;Other
278,Nefarious Comics,Ottawa,Pokemon;Magic;Other
279,Nostalgia Warehouse,Ottawa,
280,Out of the Box,Ottawa,Baseball;Basketball;Football;Hockey;Magic;Pokemon
281,Pokemon TCG Supply,Ottawa,Pokemon;Magic;Other
282,"Red Dragon Comics, Cards, Games",Ottawa,Pokemon;Magic;Other
283,Shikdar Trading Inc.,Ottawa,Hockey;Baseball;Basketball;Football;Pokemon;Magic;Other
284,Soul TCG,Ottawa,Pokemon;Magic;Other
285,Studio Staja,Ottawa,
286,The Comic Book Shoppe,Ottawa,Pokemon;Magic;Other
287,The Hobby Centre,Ottawa,Pokemon;Magic;Other
288,Toys on Fire,Ottawa,Baseball;Basketball;Football;Hockey;Magic;Pokemon
289,Trinity Hobby,Ottawa,Pokemon;Magic;Other
290,Vulcan Collectibles,Ottawa,Hockey;Baseball;Basketball;Football;Other
291,Rawscoe's Sport Collectibles,Peterborough,Hockey;Other
292,Board Game Bliss,Richmond Hill,Magic;Pokemon;Other
293,Collectors Dreams,Richmond Hill,Hockey;Baseball;Basketball;Football;Pokemon;Other
294,Flaring Lair,Richmond Hill,Magic;Pokemon
295,HeavyJs Card House,Sarnia,Magic;Pokemon;Other
296,Games Nook II,Sault Ste. Marie,Pokemon;Magic;Other
297,Hilltribe Ontario,Sault Ste. Marie,
298,Kanto Kreations,Sault Ste. Marie,Football;Pokemon
299,Mark's Autographs and Collectables,Sault Ste. Marie,
300,The Rad Zone,Sault Ste. Marie,
301,The Trading Post,Sault Ste. Marie,
302,Vintage Games 'n Junque,Sault Ste. Marie,Pokemon;Magic;Other
303,Xcite Toys Games & Collectibles,Sault Ste. Marie,Pokemon;Magic;Other
304,Fan of the Sport,St Thomas,Hockey;Baseball;Basketball;Football
305,High Score Gamez,St. Catharines,
306,The Toy Trove,St. Catharines,Pokemon;Magic;Other
307,Boreal Gaming & Cards,Thorold,Pokemon;Magic;Other
308,807 Cards & Collectibles,Thunder Bay,Hockey;Other;Pokemon
309,Sports Cards Plus & Collectibles,Thunder Bay,Hockey;Baseball;Basketball;Football;Other
310,401 Games,Toronto,Pokemon;Magic;Other
311,A & C Games,Toronto,Pokemon;Magic;Other
312,AJ Sports / Autographed Memorabilia,Toronto,Hockey;Baseball;Basketball;Football
313,Anime Alley,Toronto,Pokemon;Magic;Other
314,Anime Otaku Hobby,Toronto,Pokemon;Magic;Other
315,Banana Games & Hobby,Toronto,Pokemon;Magic;Other
316,BeardyCards,Toronto,Football;Magic;Pokemon
317,Black Rose Hobbies,Toronto,Pokemon;Magic;Other
318,CanGeek Games and Collectibles,Toronto,Pokemon;Magic;Other
319,Cardify Hobby Cards & Collectibles Sports/TCGs,Toronto,Hockey;Baseball;Basketball;Football;Pokemon;Magic;Other
320,Chonky Collectibles,Toronto,Hockey;Baseball;Basketball;Football;Other
321,Clutch Games,Toronto,Hockey;Baseball;Basketball;Football;Pokemon;Other
322,Cyber City Comix,Toronto,
323,Dbsport Collectibles,Toronto,Hockey;Baseball;Basketball;Football
324,DJK Entertainment,Toronto,Football;Pokemon
325,Dolly's Toys & Games Toronto,Toronto,Pokemon;Magic;Other
326,Dolly’s Sports Cards,Toronto,Hockey;Baseball;Basketball;Football
327,Duck Duck Games & Collectibles,Toronto,Pokemon;Magic;Other
328,Emmett's ToyStop & Hobby Shop,Toronto,Pokemon;Magic;Other
329,Esper Cards & Games,Toronto,Pokemon;Magic;Other
330,Face to Face Games,Toronto,Pokemon;Magic;Other
331,Game Nation Hobbies & Games,Toronto,Pokemon;Magic;Other
332,Game Shack,Toronto,Pokemon;Magic;Other
333,Go For Game,Toronto,Magic;Pokemon
334,GP Sports Cards,Toronto,Hockey;Baseball;Basketball;Football
335,Hairy Tarantula,Toronto,Magic;Pokemon
336,Hobbiesville Toronto,Toronto,Pokemon;Magic;Other
337,Hobby Stop TCG & Collectibles,Toronto,Pokemon;Magic;Other
338,Hope Club Collectibles - Sports Cards and Trading Card Games,Toronto,Hockey;Baseball;Basketball;Football;Pokemon;Magic;Other
339,Illusionary,Toronto,
340,Meeplemart,Toronto,Pokemon
341,Rednails II,Toronto,Hockey;Baseball;Basketball;Football;Magic;Pokemon;Other
342,Relikks Cards & Collectibles,Toronto,Hockey;Baseball;Basketball;Football;Other
343,Royalty Cards and Collectibles,Toronto,Hockey;Baseball;Basketball;Football;Other
344,Sunny Hobbies,Toronto,Pokemon;Magic;Other
345,The Sword & Board,Toronto,Magic;Pokemon
346,Xplore Games,Toronto,Pokemon;Magic;Other
347,401 Games Vaughan,Vaughan,Pokemon;Magic;Other
348,Argama Hobby,Vaughan,Pokemon;Magic;Other
349,Cardboard Classics,Vaughan,Pokemon
350,Certified Sports Memorabilia,Vaughan,Hockey;Baseball;Basketball;Football
351,DD Sports Vaughan,Vaughan,Hockey;Baseball;Basketball;Football
352,Elite Cards Toronto,Vaughan,Hockey;Baseball;Basketball;Football;Pokemon;Other
353,FLIP Collectibles Shop,Vaughan,Hockey;Baseball;Basketball;Football;Other
354,Korekuta Games,Vaughan,Pokemon;Magic;Other
355,Legends Warehouse,Vaughan,Magic;Pokemon
356,Level Up Games Canada,Vaughan,Pokemon;Magic;Other
357,Mintink Trading Cards & Live Experience,Vaughan,Hockey;Baseball;Basketball;Football;Pokemon;Magic;Other
358,ND Sports Cards LTD - PSA AUTHORIZED PLATINUM DEALER,Vaughan,Hockey;Baseball;Basketball;Football
359,New Realm Games,Vaughan,Pokemon;Magic;Other
360,Northern War Table,Vaughan,Magic;Pokemon
361,Retro Boyz Collectibles,Vaughan,Hockey;Baseball;Basketball;Football;Other
362,Toybox Trading Co.,Vaughan,
363,Wandering Adventures,Vaughan,Pokemon
364,Wax Box Club,Vaughan,Basketball
365,Atlas Collectables,Waterloo,Pokemon;Magic;Other
366,Dolly's Cards & Collectibles Waterloo,Waterloo,Hockey;Baseball;Basketball;Football;Other
367,Crackerjack Stadium,Welland,Hockey;Baseball;Basketball;Football;Magic;Pokemon;Other
368,Maximum Cards & Collectibles,Whitby,Hockey;Baseball;Basketball;Football;Pokemon;Magic;Other
369,We Got Gamez,Whitby,Pokemon;Magic;Other
370,Brimstone Games,Windsor,Pokemon;Magic;Other
371,Cartoon Kingdom,Windsor,
372,Cedar Creek Hobbies,Windsor,Pokemon;Magic;Other
373,Digital Oasis,Windsor,
374,F & C House of Cards,Windsor,Hockey;Baseball;Basketball;Football;Pokemon;Other
375,GameCycle,Windsor,Football;Pokemon
376,Helou's Sports Cards and Collectibles,Windsor,Hockey;Baseball;Basketball;Football
377,Kaboom Hobby,Windsor,Hockey;Baseball;Basketball;Football;Pokemon
378,KunaiGames,Windsor,Pokemon;Magic;Other
379,Local Comic Shop,Windsor,Pokemon;Magic;Other
380,Putali Chowk Board Games & Bar,Windsor,Pokemon;Magic;Other
381,Rogues Gallery Comics,Windsor,Pokemon;Magic;Other
382,Rose City Sports N Collectables,Windsor,Hockey;Baseball;Basketball;Football
383,SOAR Hobby & More,Windsor,Pokemon;Magic;Other
384,Tabletop Renaissance Games & Hobbies,Windsor,Pokemon;Magic;Other
385,The CG Realm,Windsor,Magic;Pokemon
386,Collector's Avenue Montréal,Montréal,Hockey;Baseball;Basketball;Football
387,Collector's Avenue West Island,Dollard-des-Ormeaux,Hockey;Baseball;Basketball;Football
388,Miraj Trading,Montréal,Hockey;Baseball;Football;Soccer;Pokemon
389,Cartes Champions,Anjou (Montréal),Hockey;Baseball;Basketball;Football
390,Game Keeper Verdun,Verdun (Montréal),Hockey;Pokemon;Magic
391,Geek Factory MTL,Montréal,Hockey;Pokemon
392,TW Sportcards,Montréal,Hockey;Baseball;Basketball;Football
393,The Card Palace,Montréal,Hockey
394,The Cards Vault,Lachine (Montréal),Hockey
395,Capitaine Québec,Montréal,Hockey;Pokemon;Other
396,Librairie Crossover Comics,Montréal,Hockey;Pokemon;Other
397,Cosmix,Saint-Laurent (Montréal),Hockey;Pokemon;Other
398,Chez Geeks,Montréal,Pokemon;Magic;Hockey
399,1000000 Comix,Montréal,Hockey;Pokemon;Other
400,Ontario Bric à Brac,Montréal,Hockey
401,CardChasers (Les Collectionneurs CardChasers),Laval,Hockey;Baseball;Basketball;Football;Soccer;Pokemon;Magic
402,Ultime Sports Collection,Laval,Hockey;Baseball;Basketball;Football
403,Cartes sportives Jumbo Bear,Laval,Hockey
404,La Boîte à BD de Laval,Laval,Hockey;Pokemon;Other
405,TopDeck Hero Laval,Laval,Pokemon;Magic;Hockey
406,BD Cosmos,Laval,Hockey;Pokemon;Other
407,L'Imaginaire Laval,Laval,Hockey;Pokemon;Magic
408,Les Entreprises Bluenose,Pointe-Claire,Hockey;Baseball;Basketball;Football
409,L'Imaginaire Pointe-Claire,Pointe-Claire,Hockey;Pokemon;Magic
410,Zone Collection Rive-Sud,Longueuil,Hockey;Pokemon;Magic
411,Cartes de Sport Check-Swing,Brossard,Hockey;Baseball;Basketball;Football
412,All-In Hobby Sports,Brossard,Hockey
413,Rémi Card Trader,Saint-Hubert (Longueuil),Hockey;Baseball;Basketball;Football;Pokemon;Magic
414,La madame des cartes,Saint-Hubert (Longueuil),Hockey
415,3 Mana,Saint-Hubert (Longueuil),Pokemon;Magic;Hockey
416,Poke Jeux,Boucherville,Pokemon;Hockey
417,TopDeck Hero Boucherville,Boucherville,Pokemon;Magic;Hockey
418,L'Imaginaire St-Bruno,Saint-Bruno-de-Montarville,Hockey;Pokemon;Magic
419,Cartes Sportives Rive-Sud,Sainte-Catherine,Hockey;Pokemon;Magic;One Piece
420,Cartes Sportives Rive-Sud (McMasterville),McMasterville,Hockey;Pokemon;Magic;One Piece
421,Between 2 Games,Saint-Amable,Pokemon;Magic;Hockey
422,DSM Sports Cards Collectors (Le roi des cartes),Beloeil,Hockey;Baseball;Basketball;Football
423,Univers Fantastique,Beloeil,Pokemon;Magic;Hockey
424,Collections Manlo,Saint-Jean-sur-Richelieu,Hockey
425,LGC Collections,Saint-Jean-sur-Richelieu,Hockey
426,Zone Collection St-Jean,Saint-Jean-sur-Richelieu,Hockey;Pokemon;Magic
427,Librairie Moderne,Saint-Jean-sur-Richelieu,Hockey;Pokemon;Other
428,La Carte Cachée,Saint-Jean-sur-Richelieu,Pokemon;Magic;Hockey
429,450 Sports,Blainville,Hockey;Baseball;Basketball;Football
430,Savage Cards,Piedmont / Saint-Sauveur,Hockey;Baseball;Basketball;Football
431,Boutique La Coupe Stanley,Saint-Jérôme,Hockey
432,Cartes Léo,Lachute,Hockey
433,Collectionick,Mirabel,Hockey;Pokemon
434,Le Coin du Jouet,Mont-Tremblant,Hockey
435,La Place du Hobby,Terrebonne,Hockey;Pokemon;Magic;Other
436,Carto-Puces,Terrebonne,Hockey
437,Sports Collection 99,Terrebonne,Hockey;Baseball;Basketball;Football
438,Le Coin du Jeu,Terrebonne,Pokemon;Magic;Hockey
439,Cartes sur table,L'Assomption,Hockey
