Tillsonburg's Hobby Central,Tillsonburg,"20 Oxford Street, Tillsonburg, ON N4G 2G1",,,226-261-0696,tillsonburgshobbycentral.com,,Sells,Other,42.85969,-80.72596
Arkain Hobbies & Games,Ingersoll,"11 King St W, Ingersoll, ON N5C 2J2",,,,arkain.games,,Sells,Magic;Other,43.03747,-80.88259
Maelstrom,Strathroy,"89 Frank St, Strathroy, ON",,,,,,Sells,Pokemon;Magic;Other,42.95746,-81.62494
Tabletop Giant (MTG North),Goderich,"Goderich, ON (exact address not confirmed)",,,,tabletopgiant.ca,,Buys;Sells;Trades Singles,Magic;Pokemon;Other,43.74307,-81.71011
LSOH Breaks (Little Shop of Heroes),Listowel,"Listowel, ON (exact address not confirmed)",,,,,facebook.com/littleshopofheroesbreaks/,Sells;Breaks,Other,43.73156,-80.95314
Player X,Kapuskasing,"4 Byng Avenue, Kapuskasing, ON P5N 1W3",,,,playerx.ca,facebook.com/playerxca/,Buys;Sells,Other,49.41637,-82.42372
Great Canadian Collectibles,Kenora,"Kenora, ON (exact address not confirmed)",,,,,facebook.com/GreatCanadianCollectibles/,Sells,Pokemon;Magic;Other,49.76640,-94.49090
North-Western Games,Kenora,"Kenora, ON (exact address not confirmed)",,,,,facebook.com/NorthWesternGames/,Sells,Other,49.76640,-94.49090
BOB'S COINS,Timmins,"Timmins, ON (exact address not confirmed)",,,,,,Sells,Other,48.47611,-81.32954
Grateful Breaks Card Co,Smiths Falls,"1281 Ford Rd, Smiths Falls, ON K7A 4S7",,,343-961-3344,,,Buys;Sells;Breaks,Other,45.00241,-76.09100
Treasures 'N' More,Carleton Place,"Carleton Place, ON (exact address not confirmed)",,,,treasuresnmore.ca,,Sells,Other,45.14034,-76.14661
GT Games,Carleton Place,"Carleton Place, ON (exact address not confirmed)",,,,,facebook.com/gtgames.ca,Buys;Sells,Magic;Pokemon,45.14034,-76.14661
Bonus Box Games,Fergus,"Fergus, ON (exact address not confirmed)",,,,,,Sells,Other,43.70586,-80.37788
Mystic Dragon,Beamsville,"Beamsville, ON (exact address not confirmed)",,,,mystic-dragon.ca,,Sells,Pokemon;Magic;Other,43.16536,-79.47525
Dundas Valley Hobby,Dundas,"Dundas, ON (exact address not confirmed)",,,,,,Sells,Other,43.53635,-80.22355
Hockey Card Depot,Bowmanville,"12 Campling Crt, Bowmanville, ON L1C 4M6",,,(647) 891-2439,,,Buys;Sells,Hockey,43.92551,-78.68019
Geek N' Things,Wallaceburg,"Wallaceburg, ON (exact address not confirmed)",,,,,,Sells,Magic;Pokemon;Other,42.59281,-82.38844
Puck It Cards & Collectibles,Didsbury,(no confirmed street address),,,587-436-8166,,https://www.facebook.com/puckitcards/,Buys;Sells;Trades Singles;Breaks,Hockey,51.66001,-114.13746
Rick's Gift Center,Ponoka,"5010 46 Ave, Ponoka, AB T4J 1J5",,,,,,Sells;Sells Wax,Other,52.67324,-113.57918
Hobby North (KN Cards & Collectables Ltd),High Prairie,"5111 53 Ave, High Prairie, AB",,,,,,Sells,Other,55.43286,-116.49860
Ken's Sports Cards & Memorabilia,Taber,"Parkside Manor of Taber, 4830 50 Ave, Taber, AB",,,,,https://www.instagram.com/kens_sportscards/,Buys;Sells;Sells Wax,Hockey;Baseball;Other,49.78589,-112.15282
Wade's Sports Cards & Collectibles,St. Paul,"Box 1, Saint Paul, AB (PO Box only — no street address found)",,,,,https://www.facebook.com/people/Wades-Sports-Cards-Collectibles/61552995191160/,Buys;Sells;Trades Singles,Other,53.99136,-111.29706
King Drug,Hinton,"145 Athabasca Ave, Hinton, AB T7V 2A4",,,780-865-2645,https://kingdrug.ca,,Sells;Trades Singles,Magic,53.42436,-117.54574
Rare Gems Edson,Edson,"306-50 St, Edson, AB",,,,,https://www.facebook.com/61572938927206/,Sells,Other,53.58252,-116.43204
Monster Hobbies,High River,"Bay #1, 127 3rd Ave SW, High River, AB",,,403-652-5019,https://www.monster-hobbies.ca,,Sells,Other,51.19129,-114.47026
Wainwright Sports Cards & Memorabilia,Wainwright,"1304 1st Avenue, Wainwright, AB",,,,,https://www.facebook.com/61556309001913/,Buys;Sells,Other,51.09555,-115.35402
Dice Hollow Games and Hobbies,Warman,"825 Centennial Blvd, Bay 105, Warman, SK S0K 4S1",,,,,,Sells,Magic;Other,52.32685,-106.57993
Dbk Cards & Collectables,Nipawin,"(no street address found), Nipawin, SK S0E 1E0",,,306-862-2509,,,Sells,Other,53.36241,-104.01710
Unique Edge Sports Cards & Collectibles,North Battleford,(no street address found),,,,,,Sells,Hockey;Baseball;Basketball;Football;Other,52.77337,-108.29906
Arctic Board Games,Steinbach,"363 Main St, Steinbach, MB R5G 1Z4",,,,,,Sells,Magic;Pokemon,49.52502,-96.68196
Go Beyond Games,Dauphin,"223 Main St N, Dauphin, MB R7N 1C3",,,,,,Sells,Magic;Other,51.15120,-100.04849
Rossco Sports Cards & Collectibles,Stonewall,(no street address found),,,,,,Sells,Other,49.01527,-97.18259
