slug,research_file,confidence,source_urls
the-beat-goes-on-guelph,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/guelph/the-beat-goes-on-guelph-on-9dvao/
the-bookshelf-guelph,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/guelph/the-bookshelf-guelph-on-ylhwi/
the-dragon-guelph,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/guelph/the-dragon-guelph-on-7pba4/
the-trading-post-guelph,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/guelph/the-trading-post-guelph-on-m4iuq/
tko-toy-co-guelph,plan3-ontario.md,medium,https://tkotoyco.com/
wyndham-art-supplies-guelph,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/guelph/wyndham-art-supplies-guelph-on-gt8xk/
1up-games-hamilton,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/hamilton/1up-games-hamilton-on-hnyqi/
big-b-comics-hamilton,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/hamilton/big-b-comics-hamilton-on-61ix8/
black-knight-games-hamilton,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/hamilton/black-knight-games-hamilton-on-iffhm/
bottom-cardz-hamilton,plan3-ontario.md,low,https://localcardshopsnearme.com/shops/ontario/hamilton/bottom-cardz-hamilton-on-tnzuq/
breakaway-sports-cards-hamilton,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/hamilton/breakaway-sports-cards-hamilton-on-xxw9o/
burdin-s-comics-hamilton,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/hamilton/burdin-s-comics-hamilton-on-jbspw/
conspiracy-comics-games-anime-hamilton,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/hamilton/conspiracy-comics-games-anime-hamilton-on-m0lh0/
dark-fox-tcg-hamilton,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/hamilton/dark-fox-tcg-hamilton-on-stf6a/
digital-grade-submissions-hamilton,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/hamilton/digital-grade-submissions-hamilton-on-x4jqa/
heroes-n-legends-hamilton,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/hamilton/heroes-n-legends-hamilton-on-wevyi/
m4-sports-cards-and-collectibles-hamilton,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/hamilton/m4-sports-cards-and-collectibles-hamilton-on-q17ju/
mancala-monk-board-game-cafe-hamilton-hamilton,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/hamilton/mancala-monk-board-game-cafe-hamilton-hamilton-on-qj5ty/
mypops-ca-hamilton-toys-funko-tcg-hamilton,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/hamilton/mypops-ca-hamilton-toys-funko-tcg-hamilton-on-mbzjw/
never-board-games-lounge-hamilton,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/hamilton/never-board-games-lounge-hamilton-on-icovi/
paradoxtcg-hamilton,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/hamilton/paradoxtcg-hamilton-on-8kmf4/
retrosaurus-hamilton,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/hamilton/retrosaurus-hamilton-on-h5pp8/
rookies-sports-cards-collectibles-hamilton,plan3-ontario.md,high,https://rookiessportscards.com/
the-bard-and-bear-games-cafe-hamilton-hamilton,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/hamilton/the-bard-and-bear-games-cafe-hamilton-hamilton-on-zf4x0/
the-dragon-s-lair-unleashed-hamilton,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/hamilton/the-dragon-s-lair-unleashed-hamilton-on-xw5ri/
tistaminis-hamilton,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/hamilton/tistaminis-hamilton-on-hocow/
top-games-hamilton,plan3-ontario.md,low,https://localcardshopsnearme.com/shops/ontario/hamilton/top-games-hamilton-on-v1mng/
waypoint-games-hamilton,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/hamilton/waypoint-games-hamilton-on-anqcu/
webber-s-balloons-cards-and-collectibles-hamilton,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/hamilton/webber-s-balloons-cards-and-collectibles-hamilton-on-qbm8y/
up-north-games-huntsville,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/huntsville/up-north-games-huntsville-on-6aju8/
action-packed-comics-games-kingston,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/kingston/action-packed-comics-games-kingston-on-mutfc/
art-noise-kingston,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/kingston/art-noise-kingston-on-vg5p8/
booster-house-kingston,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/kingston/booster-house-kingston-on-vwdgy/
chumleighs-kingston,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/kingston/chumleighs-kingston-on-fdkdq/
dd-zx-kingston,plan3-ontario.md,low,https://localcardshopsnearme.com/shops/ontario/kingston/dd-zx-kingston-on-sbjwo/
game-over-kingston,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/kingston/game-over-kingston-on-u2zou/
improbable-escapes-board-game-lounge-kingston,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/kingston/improbable-escapes-board-game-lounge-kingston-on-wxhy4/
kingston-card-den-kingston,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/kingston/kingston-card-den-kingston-on-gaabi/
kingston-gaming-nexus-kingston,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/kingston/kingston-gaming-nexus-kingston-on-mm6gu/
minotaur-games-and-gifts-kingston,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/kingston/minotaur-games-and-gifts-kingston-on-59mgk/
mmlorcana-kingston,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/kingston/mmlorcana-kingston-on-twahe/
novel-idea-kingston,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/kingston/novel-idea-kingston-on-meabe/
pickers-world-next-gen-kingston,plan3-ontario.md,low,https://localcardshopsnearme.com/shops/ontario/kingston/pickers-world-next-gen-kingston-on-a8gk8/
prison-island-roblox-kingston,plan3-ontario.md,low,https://localcardshopsnearme.com/shops/ontario/kingston/prison-island-roblox-kingston-on-2f1ei/
sbt-comics-games-kingston,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/kingston/sbt-comics-games-kingston-on-u9nee/
the-rocking-horse-toys-kingston,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/kingston/the-rocking-horse-toys-kingston-on-49ers/
theathleticmaple-kingston,plan3-ontario.md,low,https://localcardshopsnearme.com/shops/ontario/kingston/theathleticmaple-kingston-on-nilzk/
tom-tech-repairs-game-vault-kingston-kingston,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/kingston/tom-tech-repairs-game-vault-kingston-kingston-on-t46by/
chimera-gaming-kitchener,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/kitchener/chimera-gaming-kitchener-on-wx8gw/
cloutsnchara-sports-cards-kitchener,plan3-ontario.md,high,https://cloutsnchara.com/contact-us/
beyond-the-pond-sportcards-london,plan3-ontario.md,medium,https://beyondthepond.ca/
beyond-the-pond-sports-cards-and-collectables-london,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/london/beyond-the-pond-sports-cards-and-collectables-london-on-53tba/
card-cycle-london,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/london/card-cycle-london-on-yvzgq/
cellular-magician-london,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/london/cellular-magician-london-on-nixrk/
ea-collectibles-london,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/london/ea-collectibles-london-on-pz3my/
forest-city-coins-stamps-london,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/london/forest-city-coins-stamps-london-on-bovz0/
game-cycle-hamilton-road-london,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/london/game-cycle-hamilton-road-london-on-iamni/
game-cycle-london-wharncliffe-london,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/london/game-cycle-london-wharncliffe-london-on-87dj4/
game-knight-leagues-london,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/london/game-knight-leagues-london-on-rwuwo/
gamers-emporium-london,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/london/gamers-emporium-london-on-2z3wm/
heaven-s-collectibles-tcg-london,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/london/heaven-s-collectibles-tcg-london-on-t2uok/
heroes-comics-london,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/london/heroes-comics-london-on-qffuw/
hi-times-head-shop-indoor-growing-equipment-indoor-grow-shop-hydroponics-london,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/london/hi-times-head-shop-indoor-growing-equipment-indoor-grow-shop-hydroponics-london-on-kw81y/
l-a-mood-comics-games-london,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/london/l-a-mood-comics-games-london-on-h77te/
neo-tokyo-the-anime-store-london,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/london/neo-tokyo-the-anime-store-london-on-s8yx8/
players-cards-and-collectibles-london,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/london/players-cards-and-collectibles-london-on-klbfg/
pokanada-sealed-pokemon-section-inside-pharmacy-london,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/london/pokanada-sealed-pokemon-section-inside-pharmacy-london-on-ozzy4/
premium-sports-cards-london,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/london/premium-sports-cards-london-on-7n0pk/
realm-hoppers-london,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/london/realm-hoppers-london-on-i2dey/
seven-sisters-ritual-apothecary-london,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/london/seven-sisters-ritual-apothecary-london-on-jylbi/
the-game-chamber-london,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/london/the-game-chamber-london-on-tlypc/
the-mana-lounge-london,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/london/the-mana-lounge-london-on-wsh5i/
warhammer-london,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/london/warhammer-london-on-adj8g/
a-j-hobbies-markham,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/markham/a-j-hobbies-markham-on-h1l2c/
advance-rc-hobbies-markham,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/markham/advance-rc-hobbies-markham-on-pfhm7/
card-board-gaming-appointment-only-markham,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/markham/card-board-gaming-appointment-only-markham-on-ag4ks/
chigun-hobbies-markham,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/markham/chigun-hobbies-markham-on-yvfkt/
comfy-hobbies-markham,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/markham/comfy-hobbies-markham-on-ah9vi/
cool-dragon-hobby-markham,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/markham/cool-dragon-hobby-markham-on-eoy5d/
fine-toys-store-markham,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/markham/fine-toys-store-markham-on-yzj3q/
five-dragons-hobbies-markham,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/markham/five-dragons-hobbies-markham-on-qcoxm/
george-s-trains-markham,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/markham/george-s-trains-markham-on-spmfy/
hogtown-cards-markham,plan3-ontario.md,high,https://hogtowncards.com/
horizon-diecast-markham,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/markham/horizon-diecast-markham-on-c99y7/
k-os-collectibles-inc-markham,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/markham/k-os-collectibles-inc-markham-on-n9kay/
kadoone-markham,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/markham/kadoone-markham-on-w9lu8/
limit-break-collectibles-markham,plan3-ontario.md,low,https://localcardshopsnearme.com/shops/ontario/markham/limit-break-collectibles-markham-on-usg2a/
manta-trading-markham,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/markham/manta-trading-markham-on-72918/
masterset-co-markham,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/markham/masterset-co-markham-on-cjsv8/
much-hobby-online-shopping-markham,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/markham/much-hobby-online-shopping-markham-on-9lqvr/
mypops-ca-markham-toys-funko-tcg-markham,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/markham/mypops-ca-markham-toys-funko-tcg-markham-on-kgvla/
nerdvana-cards-games-markham,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/markham/nerdvana-cards-games-markham-on-oubva/
nexpack-collectibles-trading-card-shop-markham,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/markham/nexpack-collectibles-trading-card-shop-markham-on-x5rii/
not-a-hobby-shop-goose-guzzu-mart-markham,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/markham/not-a-hobby-shop-goose-guzzu-mart-markham-on-d763h/
panda-hobby-canada-s-largest-gundam-store-markham,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/markham/panda-hobby-canada-s-largest-gundam-store-markham-on-1vcf9/
playdexk-markham,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/markham/playdexk-markham-on-fpik8/
pvp-shoppe-markham,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/markham/pvp-shoppe-markham-on-ube8q/
sino-hobby-markham-markham,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/markham/sino-hobby-markham-markham-on-hsaov/
springer-hobbies-markham,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/markham/springer-hobbies-markham-on-crngo/
three-kingdoms-games-markham-markham,plan3-ontario.md,low,https://localcardshopsnearme.com/shops/ontario/markham/three-kingdoms-games-markham-markham-on-e5iji/
true-gem-sports-collectibles-markham,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/markham/true-gem-sports-collectibles-markham-on-jtujk/
woodforsheep-hobbies-ltd-markham,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/markham/woodforsheep-hobbies-ltd-markham-on-wk00h/
a-spec-cards-inc-milton,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/milton/a-spec-cards-inc-milton-on-ghrei/
untouchables-sports-cards-gaming-milton-milton,plan3-ontario.md,high,https://www.yelp.ca/biz/untouchables-sports-cards-and-gaming-milton
cheesmo-s-cards-mobile-hobby-shop-mississauga,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/mississauga/cheesmo-s-cards-mobile-hobby-shop-mississauga-on-nmszy/
conspiracy-comics-games-anime-mississauga,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/mississauga/conspiracy-comics-games-anime-mississauga-on-j94us/
duel-city-games-mississauga,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/mississauga/duel-city-games-mississauga-on-khbhe/
game-time-collectibles-mississauga,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/mississauga/game-time-collectibles-mississauga-on-7omom/
gotham-central-comics-mississauga,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/mississauga/gotham-central-comics-mississauga-on-g7xru/
image-collections-mississauga,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/mississauga/image-collections-mississauga-on-umaje/
kanzen-games-sports-collectibles-mississauga,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/mississauga/kanzen-games-sports-collectibles-mississauga-on-kf6jo/
legendary-collectables-mississauga,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/mississauga/legendary-collectables-mississauga-on-ej7pm/
lvlup-games-mississauga,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/mississauga/lvlup-games-mississauga-on-zwmtc/
mypops-ca-erin-mills-town-centre-mississauga-toys-funko-tcg-mississauga,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/mississauga/mypops-ca-erin-mills-town-centre-mississauga-toys-funko-tcg-mississauga-on-xwmsg/
nak-gaming-online-order-pickup-only-mississauga,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/mississauga/nak-gaming-online-order-pickup-only-mississauga-on-pw7fg/
professional-sports-authenticator-psa-canada-mississauga,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/mississauga/professional-sports-authenticator-psa-canada-mississauga-on-mmqpc/
red-riot-games-mississauga,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/mississauga/red-riot-games-mississauga-on-h1lx0/
slab-sharks-sports-cards-collectibles-consignment-mississauga,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/mississauga/slab-sharks-sports-cards-collectibles-consignment-mississauga-on-ubfcc/
the-upper-hand-mississauga,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/mississauga/the-upper-hand-mississauga-on-tqeco/
untouchables-sports-cards-gaming-mississauga,plan3-ontario.md,high,https://untouchables.ca/
vtrgaming-mississauga,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/mississauga/vtrgaming-mississauga-on-i1rv0/
warp-zone-gaming-mississauga,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/mississauga/warp-zone-gaming-mississauga-on-7wyyc/
x-planet-games-mississauga,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/mississauga/x-planet-games-mississauga-on-xcuiu/
hobby-knight-in-canada-newmarket,plan3-ontario.md,medium,https://www.facebook.com/HobbyKnightCanada/
mojo-s-plush-and-pulls-newmarket,plan3-ontario.md,low,https://localcardshopsnearme.com/shops/ontario/newmarket/mojo-s-plush-and-pulls-newmarket-on-5zz4y/
centre-ice-collectibles-niagara-falls,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/niagara-falls/centre-ice-collectibles-niagara-falls-on-p3duu/
m-l-sports-cards-collectables-niagara-falls,plan3-ontario.md,medium,https://www.yelp.ca/biz/m-and-l-sports-cards-niagara-falls
niagara-sports-cards-niagara-falls,plan3-ontario.md,medium,https://niagarasc.com/about-us/
aces-cool-collectibles-north-bay,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/north-bay/aces-cool-collectibles-north-bay-on-z61vw/
ultimate-sportscards-north-bay,plan3-ontario.md,high,https://ultsportscards.com/
dungeon-comics-cards-oakville,plan3-ontario.md,low,https://www.facebook.com/dungeoncomicsoakville/
game-3-tcg-hobby-oakville,plan3-ontario.md,medium,https://www.oakvilleshops.com/stores/game-3-tcg-hobby/
top-shelf-co-oakville,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/oakville/top-shelf-co-oakville-on-ohesa/
cards-and-coasters-orillia,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/orillia/cards-and-coasters-orillia-on-eeu9s/
addictive-hobbies-games-oshawa,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/oshawa/addictive-hobbies-games-oshawa-on-jdbj0/
cardboard-hero-oshawa,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/oshawa/cardboard-hero-oshawa-on-ufgfo/
comic-alley-toys-oshawa,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/oshawa/comic-alley-toys-oshawa-on-kzwck/
deck-out-gaming-oshawa,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/oshawa/deck-out-gaming-oshawa-on-qbkjy/
f-g-bradley-s-oshawa,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/oshawa/f-g-bradley-s-oshawa-on-mcvcm/
fly-by-nite-movies-games-and-toys-oshawa,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/oshawa/fly-by-nite-movies-games-and-toys-oshawa-on-7ez0u/
g-a-m-e-s-oshawa,plan3-ontario.md,medium,https://localcardshopsnearme.com/shops/ontario/oshawa/g-a-m-e-s-oshawa-on-4fkeg/
