Store Name,City,Address,Rating,Hours,Phone,Website,Social Media Links,Services,Sports/TCG Available,lat,lng
Royal Cat Records,Guelph,"21 Macdonell St, Guelph, ON N1H 2Z3",,,(519) 821-7442,http://royalcatrecords.blogspot.ca/,,,,43.54390,-80.24940
SCAHub Marketplace,Guelph,"585 Hanlon Creek Boulevard Unit 24, Guelph, ON N1C 0A1",,,(548) 333-1072,https://scahub.ca/,,,,43.49323,-80.23160
Simply Wonderful Toys & Gizmos Inc,Guelph,"10 Paisley St, Guelph, ON N1H 2N6",,,(519) 824-5682,http://www.simplywonderfultoys.ca/,,,,43.54488,-80.25279
The Beat Goes On,Guelph,"23 Wellington St E, Guelph, ON N1H 3R7",,,(519) 823-5341,http://www.beatgoeson.com/,,,,43.54196,-80.24356
The Bookshelf,Guelph,"41 Quebec St, Guelph, ON N1H 2T1",,,(519) 821-3311,https://bookshelf.ca/,,,,43.54542,-80.25046
The Dragon,Guelph,"55 Wyndham St N T-19B, Guelph, ON N1H 7T8",,,(519) 763-5544,http://www.dragonguelph.com/,,,Pokemon;Magic;Other,43.54607,-80.24816
The Trading Post,Guelph,"32 Essex St, Guelph, ON N1H 3K8",,,(519) 822-0505,https://roundtabletavern.crystalcommerce.com/,,,,43.54116,-80.24888
TKO Toy Co,Guelph,"435 Stone Rd W (Stone Road Mall), Guelph, ON N1G 2X6",,,,https://tkotoyco.com,https://www.facebook.com/tkotoyco,Sells;Trade Nights,Pokemon;Magic;Other,43.51861,-80.23740
Wyndham Art Supplies,Guelph,"125 Wyndham St N Unit a, Guelph, ON N1H 4E9",,,(519) 767-1317,https://www.wyndhamartsupplies.com/,,,,43.54716,-80.24990
1UP Games,Hamilton,"777 King St W, Hamilton, ON L8S 1K2",,,(905) 228-3331,https://www.1upgames.ca/,,,Pokemon;Magic;Other,43.26206,-79.89715
Big B Comics,Hamilton,"1045 Upper James St, Hamilton, ON L9C 3A6",,,(905) 318-9636,http://www.bigbcomics.com/,,,Pokemon;Magic;Other,43.22106,-79.88438
Black Knight Games,Hamilton,"864 Mohawk Rd E, Hamilton, ON L8T 2R5",,,(905) 296-3401,https://blackknightgames.ca/,,,Pokemon;Magic;Other,43.21673,-79.83363
Bottom Cardz,Hamilton,"1541 Main St E, Hamilton, ON L8K 1E3",,,(365) 366-7271,,,,,43.23886,-79.80385
Breakaway Sports Cards,Hamilton,"65 Wilson St W Unit 14, Ancaster, ON L9G 1N1",,,(289) 239-9544,http://www.breakawaysc.com/,,,Hockey;Baseball;Basketball;Football,43.21652,-79.99060
Burdin's Comics,Hamilton,"665 Barton Street East REAR DOOR, Hamilton, ON L8L 3A3",,,(905) 312-6642,http://www.burdinscomics.com/,,,Pokemon;Magic;Other,43.25678,-79.83671
Conspiracy Comics Games & Anime,Hamilton,"999 Upper Wentworth St, Hamilton, ON L9A 4X5",,,(905) 318-5141,https://conspiracycomics.com/,,,Pokemon;Magic;Other,43.21750,-79.86173
Dark Fox TCG,Hamilton,"730 Upper James St, Hamilton, ON L9C 2Z9",,,(905) 385-1338,http://darkfoxtcg.com/,,,Pokemon;Magic;Other,43.23096,-79.88132
Digital Grade Submissions,Hamilton,"1063 King St W #263, Hamilton, ON L8S 4S3",,,(905) 541-2273,http://www.digitalgrade.io/,,,,43.26164,-79.90714
Heroes N' Legends,Hamilton,"100 King St W, Hamilton, ON L8P 1A2",,,(905) 393-1110,https://m.facebook.com/HNLJackson/,,,,43.25737,-79.87018
M4 Sports Cards and Collectibles,Hamilton,"596 Concession St, Hamilton, ON L8V 2W5",,,(289) 389-1960,http://m4cardstore.ca/,,,Hockey;Baseball;Basketball;Football,43.24034,-79.85057
Mancala Monk Board Game Cafe Hamilton,Hamilton,"1229 Cannon St E, Hamilton, ON L8H 1T8",,,(905) 393-6815,http://www.mancalamonk.com/,,,Pokemon;Magic;Other,43.24752,-79.81659
MyPops.ca Hamilton Toys & Funko & TCG,Hamilton,"75 Centennial Pkwy N Unit B002B, Hamilton, ON L8E 2P2",,,(905) 410-2226,https://www.mypops.ca/,,,Pokemon;Magic;Other,43.23070,-79.76393
Never Board Games Lounge,Hamilton,"784 Concession St Unit 11, Hamilton, ON L8V 1C9",,,(905) 385-5454,https://neverboardgames.ca/,,,Pokemon;Magic;Other,43.23841,-79.84253
ParadoxTCG,Hamilton,"1354 Barton St E, Hamilton, ON L8H 2W3",,,(365) 476-3412,https://paradoxtcg.com/,,,Pokemon;Magic;Other,43.24873,-79.80510
Retrosaurus,Hamilton,"203 Main St E, Hamilton, ON L8N 1H2",,,(289) 682-8697,http://retrosaurus.ca/,,,,43.25352,-79.86135
Rookies Sports Cards & Collectibles,Hamilton,"720 Upper James St Unit #4, Hamilton, ON L9C 2Z9",,,905-318-7000,https://rookiessportscards.com,,Buys;Sells;Sells Wax,Hockey;Baseball;Basketball;Football;Pokemon;Other,43.23157,-79.88086
The Bard and Bear Games Cafe Hamilton,Hamilton,"237 James St N, Hamilton, ON L8R 2L2",,,(905) 523-0739,https://thebardandbear.ca/,,,Pokemon;Magic;Other,43.26272,-79.86665
The Dragon's Lair Unleashed,Hamilton,"298 Ottawa St N, Hamilton, ON L8H 3Z9",,,(905) 547-0236,http://www.dragonslairunleashed.com/,,,Pokemon;Magic;Other,43.25038,-79.81628
Tistaminis,Hamilton,"162 Parkdale Ave N, Hamilton, ON L8H 5X2",,,(905) 667-5307,http://tistaminis.com/,,,,43.24070,-79.78981
Top Games,Hamilton,"1099 Fennell Ave E, Hamilton, ON L8T 1S1",,,(905) 318-9812,,,,Pokemon;Magic;Other,43.22602,-79.83026
Waypoint Games,Hamilton,"1042 Garner Rd W Unit A105, Hamilton, ON L9G 0J2",,,(289) 443-7111,http://www.waypointgames.ca/,,,Pokemon;Magic;Other,43.19568,-80.01516
"Webber's Balloons, Cards and Collectibles",Hamilton,"1466 Main St E, Hamilton, ON L8K 1C6",,,(905) 581-2538,https://www.webberscards.ca/,,,Hockey;Baseball;Basketball;Football;Other,43.23968,-79.80765
Up North Games,Huntsville,"44 Main St E, Huntsville, ON P1H 2C7, Canada",,,(705) 784-0784,http://www.upnorthgames.ca/,,,Pokemon;Magic;Other,45.32687,-79.21744
Action Packed Comics & Games,Kingston,"724 Princess St, Kingston, ON K7L 1G2",,,(613) 547-5730,http://actionpackedcomics.com/,,,Pokemon;Magic;Other,44.23821,-76.50513
Art Noise,Kingston,"290 Princess St, Kingston, ON K7L 1B5",,,(613) 767-7860,http://shop.artnoise.ca/,,,,44.23235,-76.48855
Booster House,Kingston,"635 MacDonnell St #1, Kingston, ON K7K 4X2",,,,http://www.boosterhouse.ca/,,,,44.24422,-76.50599
Chumleighs,Kingston,"699 Gardiners Rd, Kingston, ON K7M 3Y4",,,(613) 507-3377,http://www.chumleighs.com/,,,,44.24624,-76.56879
DD ZX,Kingston,"256 Bagot St, Kingston, ON K7L 3G5",,,,,,,,44.23114,-76.48464
Game Over,Kingston,"11 Hickson Ave, Kingston, ON K7K 2N4",,,,http://facebook.com/ygkgameover,,,Pokemon;Magic;Other,44.25321,-76.48539
Improbable Escapes: Board Game Lounge,Kingston,"500 Gardiners Rd Unit 12A, Kingston, ON K7M 7W9",,,(613) 561-1684,http://shop.improbableescapes.com/,,,Pokemon;Magic;Other,44.23613,-76.56649
Kingston Card Den,Kingston,"699 Gardiners Rd Unit 3a, Kingston, ON K7M 3Y4",,,(343) 580-8242,https://kingstoncardden.ca/,,,,44.24624,-76.56879
Kingston Gaming Nexus,Kingston,"270 Bagot St, Kingston, ON K7L 3G4",,,(613) 546-2565,http://kingstonnexus.ca/,,,Pokemon;Magic;Other,44.23144,-76.48457
Minotaur Games and Gifts,Kingston,"78 Princess St, Kingston, ON K7L 1A5",,,(613) 545-2308,http://www.minotaurgifts.com/,,,Pokemon;Magic;Other,44.23129,-76.48178
MMLorcana,Kingston,"19 Macpherson Ave #11, Kingston, ON K7M 6W4",,,(514) 664-4271,https://mmlorcana.ca/,,,,44.23689,-76.51767
Novel Idea,Kingston,"156 Princess St Ste 201, Kingston, ON K7L 0B6",,,(613) 546-9799,http://novelideabooks.ca/wp/,,,,44.23173,-76.48441
Pickers World Next Gen,Kingston,"2447 Princess St, Kingston, ON K0H 1S9",,,(613) 572-1097,,,,,44.25784,-76.55947
prison island roblox,Kingston,"994 Hudson Dr, Kingston, ON K7M 6E1",,,,,,,,44.24528,-76.58992
SBT Comics & Games,Kingston,"699 Gardiners Rd Unit 3, Kingston, ON K7M 3Y4",,,(613) 634-9551,http://www.sbtcomics.com/,,,Pokemon;Magic;Other,44.24624,-76.56879
The Rocking Horse Toys,Kingston,"193 Princess St, Kingston, ON K7L 1B1",,,(613) 548-4222,http://www.therockinghorse.ca/,,,,44.23219,-76.48536
TheAthleticMaple,Kingston,"63 Hill St, Kingston, ON K7L 2M6",,,(778) 847-5573,,,,,44.22777,-76.50709
Tom Tech Repairs & Game Vault Kingston,Kingston,"753 King St W, Kingston, ON K7M 2G4",,,(613) 893-6115,https://games.tomtechrepairs.ca/,,,Pokemon;Magic;Other,44.22076,-76.52284
Chimera Gaming,Kitchener,"700 Strasburg Rd Unit 31, Kitchener, ON N2E 2M2",,,(226) 647-8746,http://www.chimeragamingonline.com/,,,Pokemon;Magic;Other,43.41320,-80.48007
CloutsnChara Sports Cards,Kitchener,"645 Victoria St N, Kitchener, ON N2H 5G3",,,519-954-8278,https://cloutsnchara.com,https://www.facebook.com/CloutsnChara,Buys;Sells;Trades Singles;Sells Wax,Hockey;Baseball;Basketball;Football;Pokemon;Magic;Other,43.46076,-80.47328
Beyond The Pond Sportcards,London,"London, ON",,,,https://beyondthepond.ca,https://www.facebook.com/111744666878615,Buys;Sells;Trades Singles;Sells Wax,Hockey;Other,43.01123,-81.20028
Beyond the Pond Sports Cards and Collectables,London,"1615 N Routledge Park, London, ON N6H 5L6",,,(519) 476-0101,http://www.beyondthepond.ca/,,,Hockey;Baseball;Basketball;Football,43.00079,-81.33587
Card Cycle,London,"611 Wonderland Rd N #9a, London, ON N6H 4V6",,,,https://cardcycle.ca/,,,,42.98149,-81.28958
Cellular Magician,London,"1225 Wonderland Rd N, London, ON N6G 4X1",,,(519) 697-1675,https://www.cellularmagician.ca/,,,Magic,43.00500,-81.30514
EA Collectibles,London,"410 Third St, London, ON N5W 4W6",,,(519) 852-3570,https://www.eacollectibles.com/,,,Hockey;Baseball;Basketball;Football;Other,43.00242,-81.18534
Forest City Coins & Stamps,London,"354 Richmond St, London, ON N6A 3C7",,,(519) 434-3355,https://forestcitycollectibles.com/,,,,42.98226,-81.24863
Game Cycle Hamilton Road,London,"972 Hamilton Rd, London, ON N5W 1A5",,,(519) 601-1299,http://www.gamecycle.ca/,,,Pokemon;Magic;Other,42.97783,-81.19188
Game Cycle London Wharncliffe,London,"79 Wharncliffe Rd S, London, ON N6J 2J8",,,(519) 601-8990,http://www.gclw.ca/,,,Pokemon;Magic;Other,42.97596,-81.26261
Game Knight Leagues,London,"38 Adelaide St N Unit 2A, London, ON N6B 3N5",,,(519) 914-5311,http://www.gameknightleagues.com/,,,Pokemon;Magic;Other,42.97749,-81.22523
Gamers Emporium,London,"1634 Hyde Park Rd, London, ON N6H 0L5",,,(519) 619-5281,http://gamersemporium.ca/,,,Pokemon;Magic;Other,42.99983,-81.33320
Heaven's Collectibles & TCG,London,"LL1, 190 Wortley Rd Lower Level 1, London, ON N6C 4Y7",,,(548) 888-1216,https://heavenscollectibles.ca/,,,Pokemon;Magic;Other,42.97136,-81.25195
Heroes Comics,London,"186 Dundas St, London, ON N6A 1G7",,,(519) 439-4955,https://heroescomics.ca/,,,Pokemon;Magic;Other,42.98415,-81.24885
Hi-Times (Head Shop + Indoor Growing Equipment +Indoor Grow Shop Hydroponics,London,"360 Richmond St, London, ON N6A 3C7",,,(519) 858-1533,http://hitimes.ca/,,,,42.98229,-81.24865
L. A. Mood Comics & Games,London,"100 Kellogg Ln Ste 5, London, ON N5W 0B4",,,(519) 432-3987,https://lamoodcomics.ca/,,,Pokemon;Magic;Other,42.99208,-81.21389
Neo Tokyo The Anime Store,London,"472 Hamilton Rd, London, ON N5Z 1R9",,,(519) 642-7862,http://www.neotokyo.ca/,,,Pokemon;Magic;Other,42.98069,-81.21788
Players Cards and Collectibles,London,"639 Southdale Rd E, London, ON N6E 3M2",,,(519) 601-7529,http://playerscandc.com/,,,Hockey;Baseball;Basketball;Football;Other,42.94171,-81.22812
Pokanada (Sealed Pokemon section inside pharmacy),London,"Inside TMC pharmacy, 990 Gainsborough Rd, London, ON N6H 5L4",,,,http://www.pokanada.ca/,,,Pokemon,42.99868,-81.32908
Premium Sports Cards,London,"201 Exeter Rd Unit D, London, ON N6L 1A4",,,(519) 203-2273,http://premiumsportscards.ca/,,,Hockey;Baseball;Basketball;Football,42.91995,-81.26056
Realm Hoppers,London,"100 Veronica Ave, London, ON N5Z 3M9",,,(519) 719-7294,https://realmhoppers.com/,,,,42.97208,-81.21800
Seven Sisters Ritual Apothecary,London,"129 Dundas St, London, ON N6A 1E8",,,(519) 672-9273,http://sevensisters.ca/,,,,42.98323,-81.25089
The Game Chamber,London,"525 First St Unit 7, London, ON N5V 1Z5",,,(519) 601-4263,http://www.thegamechamber.com/,,,Pokemon;Magic;Other,43.00327,-81.19674
The Mana Lounge,London,"256 Dundas St, London, ON N6A 1H3",,,(519) 434-8822,http://www.manalounge.ca/,,,,42.98489,-81.24619
Warhammer,London,"White Oaks Mall, 1105 Wellington Rd Unit 411, London, ON N6E 1V4",,,(519) 668-3713,https://www.warhammer.com/?utm_source=Google&utm_medium=Yext,,,,42.93183,-81.22346
A&J Hobbies,Markham,"221 Whitehall Dr, Markham, ON L3R 0T5, Canada",,,905-305-1479,http://www.hobbyprosdepot.com/,,,Pokemon;Magic;Other,43.85910,-79.34133
Advance RC & Hobbies,Markham,"Woodbine Ave B200, Markham, ON L3R 4X9, Canada",,,905-946-8088,https://advancerc.ca/,,,Pokemon;Magic;Other,43.84628,-79.35704
Card Board Gaming - Appointment Only,Markham,"257 Riverwalk Dr, Markham, ON L6B 0H2",,,(647) 216-9246,https://cardboardgaming.ca/,,,Pokemon;Magic;Other,43.86565,-79.22374
Chigun Hobbies,Markham,"Pacific Mall, 4300 Steeles Ave E Unit A2-203, Markham, ON L3R 0Y5, Canada",,,647-829-1628,https://www.chigunhobbies.com/,,,Pokemon;Magic;Other,43.82588,-79.30637
Comfy Hobbies,Markham,"57 Glen Cameron Rd East, Thornhill, ON L3T 1P3",,,(905) 597-8285,https://comfyhobbies.com/,,,Pokemon;Magic;Other,43.80596,-79.41637
Cool Dragon Hobby,Markham,"372 Kirkham Dr, Markham, ON L3S 0E4, Canada",,,,https://cooldragonhobby.ca/,,,Pokemon;Magic;Other,43.84720,-79.24045
Fine Toys Store,Markham,"8333 Kennedy Rd #2017-2018, Markham, ON L3R 4P8, Canada",,,437-427-2886,https://www.finetoys.ca/,,,,43.85661,-79.30407
Five Dragons hobbies,Markham,"8339 Kennedy Rd Unit 2331-2332, Markham, ON L3R 5T5, Canada",,,416-800-3500,https://www.fivedragonshobby.ca/,,,Pokemon;Magic;Other,43.85727,-79.30337
George's Trains,Markham,"550 Alden Rd Unit 102, Markham, ON L3R 6A8, Canada",,,905-470-6200,http://www.georgestrains.com/,,,,43.83711,-79.33261
Hogtown Cards,Markham,"8500 Warden Ave (Hilton, 2nd Flr Conf Hall), Markham, ON",,,647-632-9718,https://hogtowncards.com,https://instagram.com/hogtown_cards,Buys;Sells;Trades Singles;Grading Services;Sells Wax,Hockey;Baseball;Basketball;Football;Other,43.85409,-79.33520
Horizon Diecast,Markham,"280 Yorktech Dr Unit 27, Markham, ON L6G 0A6, Canada",,,,https://horizondiecast.com/,,,,43.84649,-79.34925
K-OS Collectibles Inc,Markham,"3636 Steeles Ave E #135, Markham, ON L3R 1K9",,,(905) 944-9393,https://koscollectibles.ca/,,,Hockey;Baseball;Basketball;Football;Other,43.81901,-79.33078
KadOone,Markham,"290 Yorktech Dr #15, Markham, ON L6G 0A7",,,(416) 999-5195,http://kadoone.ca/,,,,43.84672,-79.34826
Limit Break Collectibles,Markham,"4300 Steeles Ave E Unit B1a, Markham, ON L3R 0N8",,,(647) 676-1344,,,,Hockey;Baseball;Basketball;Football;Other,43.82588,-79.30637
Manta Trading,Markham,"7170 Warden Ave. Unit 22, Markham, ON L3R 8B4",,,(905) 475-9000,https://mantatrading.com/,,,,43.82671,-79.32723
MasterSet Co.,Markham,"3255 Hwy 7 Unit 72, Markham, ON L3R 3P3",,,(905) 415-6888,https://masterset.ca/,,,,43.84963,-79.34755
Much Hobby Online Shopping,Markham,"8865 Woodbine Ave, Markham, ON L3R 5G1, Canada",,,416-816-8038,https://www.muchhobbyonline.com/aboutus.asp,,,Pokemon;Magic;Other,43.85784,-79.35969
MyPops.ca Markham Toys Funko TCG,Markham,"431 Alden Rd Unit 19-20, Markham, ON L3R 3L4",,,(905) 409-2882,http://mypops.ca/,,,Pokemon;Magic;Other,43.83413,-79.33243
Nerdvana Cards & Games,Markham,"59 Main Street Markham N, Markham, ON L3P 1X7",,,(289) 554-4142,https://www.nerdvanacardsandgames.com/,,,Pokemon;Magic;Other,43.87633,-79.26014
NexPack Collectibles - Trading Card Shop,Markham,"7225 Woodbine Ave #119, Markham, ON L3R 1A3",,,(905) 470-6035,https://www.npcollectibles.com/,,,Hockey;Baseball;Basketball;Football;Other,43.81893,-79.34868
Not A Hobby Shop & Goose Guzzu Mart,Markham,"3255 Hwy 7 Unit 212, Markham, ON L3R 3P9, Canada",,,647-763-7684,https://www.notahobby.shop/,,,Pokemon;Magic;Other,43.84963,-79.34755
Panda Hobby - Canada's Largest Gundam Store,Markham,"140 Amber St #8, Markham, ON L3R 3J8, Canada",,,(855) 726-3280,http://www.pandahobby.ca/,,,Pokemon;Magic;Other,43.82828,-79.33298
Playdexk,Markham,"180 Enterprise Blvd 2/F K202, Markham, ON L6G 0E6",,,(647) 377-4771,https://playdexk.com/,,,,43.84994,-79.32334
PvP Shoppe,Markham,"2/F, 9390 Woodbine Ave 2/F, Unit 2R2, Markham, ON L6C 0M5",,,(647) 339-1787,https://pvpshoppe.com/,,,,43.87195,-79.36472
Sino Hobby Markham,Markham,"3255 Hwy 7 Unit 151, Markham, ON L3R 3P9, Canada",,,647-466-9913,http://sinohobby.ca/,,,Pokemon;Magic;Other,43.84963,-79.34755
