slug,file,confidence,sources
obsidian-games-vernon,fill-bc-smalltown.md,medium,https://www.nearmetcg.com/stores/obsidian-games
vernon-sports-cards-vernon,fill-bc-smalltown.md,"low — no website, reviews, or hours found; does not appear in nearmetcg.com's Vernon listing (which found 4 other stores); distinct address/phone from the already-listed Omar's Collectibles, but current operating status is unconfirmed — a prior research pass flagged the same doubt. Verify by phone before publishing.",https://www.yellowpages.ca/bus/British-Columbia/Vernon/Vernon-Sports-Cards/102609024.html
dave-s-sportscard-shop-cornwall,fill-on-smalltown.md,high,https://www.nearmetcg.com/stores/daves-sportscard-shop ; https://www.facebook.com/davessportscardshop/
nutts-collectables-woodstock,fill-on-smalltown.md,high,https://www.cylex-canada.ca/company/nutts-collectables-12055598.html ; https://ruralbuzz.com/listing/nutts-collectables/
nerdz-gaming-inc-nerdz-cafe-woodstock,fill-on-smalltown.md,"medium — TCG (Magic, Yu-Gi-Oh) confirmed but no explicit ""singles"" evidence",https://nerdzgaming.com ; https://www.facebook.com/nerdzgamecafe/
rockets-sports-cards-chatham-chatham-kent,fill-on-smalltown.md,high,https://www.allbiz.ca/rockets-sports-cards-519-397-2608 ; https://www.nearmetcg.com/stores/rockets-sports-cards ; https://www.facebook.com/rocketsest2010/
stadium-sports-cards-blenheim-chatham-kent,fill-on-smalltown.md,high,https://stadiumsportscards.ca ; https://www.nearmetcg.com/stores/stadium-sports-cards
scenic-city-game-emporium-owen-sound,fill-on-smalltown.md,medium,http://www.sceniccitygameemporium.com/location-hours ; https://www.nearmetcg.com/stores/scenic-city-game-emporium
bootown-s-games-and-hobbies-stratford,fill-on-smalltown.md,"medium — TCG confirmed, no sports cards evidence",https://www.nearmetcg.com/stores/bootowns-games-and-hobbies ; https://www.facebook.com/bootownsgamesandhobbies/
the-den-hobby-gifts-stratford,fill-on-smalltown.md,high,https://shopstratford.ca/the-den__n5a-1x2__519-857-8155 ; https://www.facebook.com/TheDenStratford/
fantasy-forged-cards-and-collectibles-orangeville,fill-on-smalltown.md,high,https://www.fantasyforged.ca ; https://topdeck.gg/fantasyforged ; https://www.facebook.com/fantasyforgedgames/
onyx-cards-games-collingwood,fill-on-smalltown.md,"high — ""Pokemon Singles and Sealed"" explicit in own opening-day post",https://www.facebook.com/marketplace/item/25223945197209671/
instant-replay-sportscards-cobourg,fill-on-smalltown.md,medium,https://canada-listing.com/instantreplaysportscards
the-trading-card-store-lindsay-lindsay-kawartha-lakes,fill-on-smalltown.md,high,https://www.nearmetcg.com/stores/the-trading-card-store-lindsay ; https://www.globuya.com/CA/Lindsay/101583731969396/The-Trading-Card-Store-Lindsay
northern-sports-cards-lindsay-kawartha-lakes,fill-on-smalltown.md,high,"https://www.facebook.com/marketplace/item/929186774296476/ (business's own post: ""Northern Sports Cards 55 Mary Street West Lindsay... fully stock Pokémon, MTG, Yu-Gi-Oh, and sports cards. Or visit us online at www.nscards.ca"")"
cards-and-toys-lindsay-ontario-inside-toms-variety-store-lindsay-kawartha-lakes,fill-on-smalltown.md,low — confirmed inventory but exact storefront address not independently verified,https://www.instagram.com/cardsandtoyslindsayon/
muskoka-cards-collectibles-bracebridge,fill-on-smalltown.md,high,https://www.cybo.com/CA-biz/muskoka-cards-collectibles ; https://locator.wizards.com/store/16951 ; https://www.facebook.com/61558834052520/
prospects-antiques-sports-cards-gravenhurst,fill-on-smalltown.md,high,https://gravenhurst.cdncompanies.com/store/prospects-antiques-sports-cards-gravenhurst/ ; https://www.canadianplanet.net/prospects-sports-card-co-F110AC20E1ED447
crafts-n-things-hobbies-games-parry-sound,fill-on-smalltown.md,"low — real store confirmed via directory but no address independently verified and no explicit sports/pokemon evidence beyond ""trading cards and collectibles""",https://www.nearmetcg.com/stores/crafts-n-things-hobbies-and-games
event-horizon-hobbies-midland,fill-on-smalltown.md,high,https://www.eventhorizonhobbies.com ; https://canada.chamberofcommerce.com/business-directory/ontario/midland/hobby-store/822378-event-horizon-hobbies
brackenberries-pvp-alliston-new-tecumseth,fill-on-smalltown.md,"medium — TCG confirmed (Magic, Pokemon, Sorcery, Flesh and Blood), no sports cards evidence",https://www.hobbynext.ca/stores/brackenberries/ ; https://play.sorcerytcg.com/stores/3aee9cf3-3e82-4e0f-b3e1-675cbebcf8c9 ; https://www.facebook.com/Brackenberries/
elite-comics-cards-bradford,fill-on-smalltown.md,"low — small (185-like) Facebook page, no independently verified storefront address",https://www.facebook.com/EliteCollectablesSportsCards/
tillsonburg-s-hobby-central-tillsonburg,fill-on-smalltown.md,"medium — Yelp review cites ""lots of sports cards and TCG products"" but own site emphasizes RC/art/diamond-art/puzzles first",https://www.tillsonburgshobbycentral.com ; https://ca.maptons.com/p/1962284334
arkain-hobbies-games-ingersoll,fill-on-smalltown.md,"low — general TCG/board-game store, no explicit sports-card or Pokemon confirmation found",https://www.mapquest.com/ca/ontario/arkain-hobbies-games-754296733 ; https://arkain.games
mk-ultra-cards-strathroy,fill-on-smalltown.md,"high — listed directly under ""sports-card-store"" category",https://canada.chamberofcommerce.com/business-directory/ontario/strathroy/sports-card-store/1259966-mk-ultra-cards
maelstrom-strathroy,fill-on-smalltown.md,medium,https://www.yellowpages.ca/bus/Ontario/Strathroy/Maelstrom/100790713.html
tabletop-giant-mtg-north-goderich,fill-on-smalltown.md,"medium — two overlapping directory names (MTG North / Tabletop Giant) for what appears to be one Goderich hobby+card-game store; ""Buy, Sell, Trade"" of Magic/Pokemon/Lorcana/Flesh and Blood confirmed",https://tabletopgiant.ca ; https://www.nearmetcg.com/stores/mtg-north
lsoh-breaks-little-shop-of-heroes-listowel,fill-on-smalltown.md,"low — small FB page (441 likes), no independently verified storefront address",https://www.facebook.com/littleshopofheroesbreaks/
lasting-memories-locker-room-hanover,fill-on-smalltown.md,"high — ""official Pokemon, Upper Deck and Topps Dealer"" serving Grey/Bruce area 15+ years",https://www.lastingmemorieslockerroom.com ; https://www.facebook.com/groups/1930161227830167/
player-x-kapuskasing,fill-on-smalltown.md,"medium — Upper Deck Certified Diamond Dealer and CardMap-listed TCG shop, but site emphasis is autographed memorabilia/pucks rather than card singles",https://www.playerx.ca ; https://www.facebook.com/playerxca/ ; https://cardmap.app/shops/ontario/kapuskasing
great-canadian-collectibles-kenora,fill-on-smalltown.md,medium,https://www.nearmetcg.com/stores/great-canadian-collectibles ; https://www.facebook.com/GreatCanadianCollectibles/
north-western-games-kenora,fill-on-smalltown.md,"medium — ""Trading Card Games"" confirmed, no sports/pokemon specificity",https://www.facebook.com/NorthWesternGames/
jason-randy-s-sports-cards-timmins,fill-on-smalltown.md,"medium-high — name and directory description confirm sports cards, though directory also tags it under gift/souvenir category",https://www.mapquest.com/ca/ontario/jason-randys-sports-cards-456264251 ; https://www.infobel.com/en/canada/jason_randy_s_sports_cards/timmins/CA100645974-7052647050/businessdetails.aspx
bob-s-coins-timmins,fill-on-smalltown.md,low — primarily a coin shop that also carries trading cards per directory,https://www.nearmetcg.com/stores/bobs-coins ; https://localcardshopsnearme.com/shops/ontario/timmins/
grateful-breaks-card-co-smiths-falls,fill-on-smalltown.md,low — listed as a trading-card store but address reads residential; may be a home-based breaker rather than storefront,https://canada.chamberofcommerce.com/business-directory/ontario/smiths-falls/trading-card-store/1430450-grateful-breaks-card-co
treasures-n-more-carleton-place,fill-on-smalltown.md,"medium — own site: ""expanded to carry even more sports and trading cards""",https://treasuresnmore.ca
gt-games-carleton-place,fill-on-smalltown.md,medium,https://www.facebook.com/gtgames.ca/posts/new-game-shop-in-carleton-place-gt-games-is-your-one-stop-shop-for-all-things-ho/508173135072882/
j-b-books-cards-comics-gaming-collectables-trenton-quinte-west,fill-on-smalltown.md,"high — 30+ year business, ""areas largest selection of sports cards"" per own site and BIA profile",https://www.jandbbooks.com ; https://downtowntrenton.ca/j-b-books/ ; https://www.loc8nearme.com/ontario/trenton/j-b-books/6860404/
bonus-box-games-fergus,fill-on-smalltown.md,"low — ""Vintage Toys, Retro Video Games, Cards & Comics"", no sports/pokemon specificity, no address",https://www.nearmetcg.com/stores/bonus-box-games
dark-crystal-cards-paris,fill-on-smalltown.md,high,https://darkcrystalcards.com ; https://cardmap.app/shops/ontario/paris
rt-sports-cards-r-t-sport-cards-collectibles-dunnville,fill-on-smalltown.md,"high — local news article confirms opening, owners, and address",https://haldimandpress.com/sport-cards-collectibles-store-opens-in-dunnville/ ; https://www.facebook.com/p/RT-Sports-Cards-100086388368423/
studio-151-fort-erie,fill-on-smalltown.md,high — local news article confirms Pokemon/Magic/Riftbound card retail and play space,https://www.niagarathisweek.com/business/studio-151-in-fort-erie-giving-pokemon-enthusiasts-a-place-to-collect-new-cards-play/article_fcb2a87e-8ed0-5f33-92ab-f8bdccb7b939.html ; https://www.facebook.com/studiox151/
xtreme-collectables-grimsby,fill-on-smalltown.md,high — municipal tourism business listing plus reviews citing Pokémon and sports cards,https://www.grimsbytourism.ca/grimsby-where-to-shop/xtreme-collectables-grimsby ; https://www.loc8nearme.com/ontario/grimsby/xtreme-collectables/7222278/
tcm-the-card-mann-sports-cards-pokemon-grimsby,fill-on-smalltown.md,high — directly categorized as a sports-card store with address,https://www.fyple.ca/region/on/city/grimsby/category/sport-recreation/store-service/sports-card-store/ ; https://www.fyple.ca/company/tcm-the-card-mann-sports-cards-pokemon-4d01zd1/
mystic-dragon-beamsville,fill-on-smalltown.md,"medium — own site confirms Beamsville location, backed by a ~50k-subscriber Pokemon YouTuber (Ctrl-Alt-Bob), but street address not found",https://mystic-dragon.ca/blogs/news/pokemon-cards-tcg-tournaments-collectibles-near-you-mystic-dragon-in-grimsby-ontario ; https://mystic-dragon.ca/pages/tcgs-games-and-collectibles-near-stoney-creek-mystic-dragon
webber-s-balloons-cards-and-collectibles-dundas,fill-on-smalltown.md,high,https://webberscards.com ; https://canada.chamberofcommerce.com/business-directory/ontario/dundas/sports-card-store/50109-webber-s-balloons-cards-and-collectibles
dundas-valley-hobby-dundas,fill-on-smalltown.md,low — directory confirms trading-card/hobby store but no address or specific sports/pokemon detail,https://www.nearmetcg.com/stores/dundas-valley-hobby
trade-em-stadium-stoney-creek,fill-on-smalltown.md,"high — listed directly under ""trading-card-store"" category with address",https://canada.chamberofcommerce.com/business-directory/ontario/stoney-creek/trading-card-store/1358576-trade-em-stadium
gameshq-aka-the-trading-card-store-port-perry-port-perry,fill-on-smalltown.md,high — same unit address appears under two directory names; own site confirms Pokémon and Magic the Gathering,https://www.gameshq.ca ; https://canada.chamberofcommerce.com/business-directory/ontario/port-perry/hobby-store/1251920-the-trading-card-store-port-perry
hockey-card-depot-bowmanville,fill-on-smalltown.md,"low — address reads residential (""Crt""); directory-listed as a collectibles retailer but likely a home-based/appointment dealer rather than a public storefront",https://ca.showmelocal.com/profile.aspx?bid=22084749 ; https://www.yellowpages.ca/bus/Ontario/Bowmanville/Hockey-Card-Depot/101710516.html
geek-n-things-wallaceburg,fill-on-smalltown.md,"low — primarily a video-game store; TCG (Magic, Yu-Gi-Oh, Pokemon) confirmed but no address found",https://www.nearmetcg.com/stores/geek-n-things
hob-s-hobbies-strathmore,fill-prairies-smalltown.md,high,https://www.hobshobbies.com ; https://cardmap.app/shop/hob-s-hobbies-strathmore ; https://strathmore.cdncompanies.com/store/hobs-hobbies-strathmore/
puck-it-cards-collectibles-didsbury,fill-prairies-smalltown.md,medium,https://www.facebook.com/puckitcards/ ; https://linktr.ee/puckitcards
rick-s-gift-center-ponoka,fill-prairies-smalltown.md,"low — self-categorized as a gift shop on Yelp; sports-card evidence (Upper Deck Diamond Dealer, unopened product) comes only from a Yelp review snippet, not confirmed as a current core offering",https://www.yelp.com/biz/ricks-gift-center-ponoka
rock-city-comics-rocky-mountain-house,fill-prairies-smalltown.md,high,https://www.allbiz.ca/rock-city-comics-403-846-1337 ; https://www.facebook.com/Rockcitycomics97/ ; https://cardmap.app/shop/rock-city-comics-rocky-mountain-house
international-battle-hobby-card-collective-ibhcc-inc-vegreville,fill-prairies-smalltown.md,high,https://vegreville.com/index.asp?SEC=6C492E69-4A12-4DCE-AF9A-629D9EE7C339&DE=6073D232-C327-4095-9343-19EF71D54AA4 ; https://www.ibhcc.store ; https://www.ibhcc.ca
hyper-games-chamber-slave-lake,fill-prairies-smalltown.md,high,https://chamber.myslavelake.com/list/member/hyper-games-chamber-228.htm ; https://www.hypergameschamber.ca ; https://cardmap.app/shop/hyper-games-chamber-t0g-2a3
hobby-north-kn-cards-collectables-ltd-high-prairie,fill-prairies-smalltown.md,"medium — Yellow Pages lists ""Kn Cards & Collectables Ltd"" at this address; a separate Facebook video calls it ""Hobby North, the newest store in High Prairie"" at the same address — unclear if rebrand or two names for one business",https://www.yellowpages.ca/bus/Alberta/High-Prairie/Kn-Cards-Collectables-Ltd/105210440.html
ken-s-sports-cards-memorabilia-taber,fill-prairies-smalltown.md,"medium — address is a venue (""Parkside Manor of Taber"") that also hosts card shows there; unclear if this is a permanent storefront or event-based",https://www.facebook.com/marketplace/item/884500426559859/ ; https://www.instagram.com/kens_sportscards/
wade-s-sports-cards-collectibles-st-paul,fill-prairies-smalltown.md,low — only a PO Box address found; no confirmed public storefront location,https://www.facebook.com/people/Wades-Sports-Cards-Collectibles/61552995191160/ ; https://www.instagram.com/wadessportscards/ ; https://www.globuya.com/CA/Saint-Paul/176653692189365/Wade%E2%80%99s-Sports-Cards-%26-Collectibles
game-day-hobbies-and-collectables-wetaskiwin,fill-prairies-smalltown.md,high,https://www.yellowpages.ca/bus/Alberta/Wetaskiwin/Game-day-Hobbies-and-Collectables/100926681.html ; https://cardmap.app/shop/game-day-hobbies-and-collectibles-wetaskiwin
chase-the-hits-inc-cochrane,fill-prairies-smalltown.md,high,https://www.facebook.com/61581013060272/ ; https://albertacorporations.com/chase-the-hits-inc ; https://cardmap.app/shop/chase-the-hits-cochrane
king-drug-hinton,fill-prairies-smalltown.md,"medium — long-standing independent pharmacy; Magic singles confirmed as a secondary product line, not a dedicated card shop",https://kingdrug.ca/contacts/ ; https://instock.cards/stores/alberta/king-drug-31743 ; https://locator.wizards.com/store/14170
rare-gems-edson-edson,fill-prairies-smalltown.md,"low — own social copy describes inventory as ""planning to offer"" TCGs/CCGs; grand opening confirmed but stock level as of writing unconfirmed",https://www.facebook.com/61572938927206/ ; https://www.globuya.com/CA/Edson/576137548916296/Rare-gems-Edson ; https://cardmap.app/shop/rare-gems-edson
pandora-s-boox-olds,fill-prairies-smalltown.md,high,https://www.facebook.com/PandorasBooxTea/ ; https://www.yelp.ca/biz/pandoras-boox-and-tea-olds ; https://cardmap.app/shop/pandora-s-boox-olds
dad-s-day-off-games-hobbies-ddogames-blackfalds,fill-prairies-smalltown.md,high,https://ddogames.myshopify.com/pages/about-us ; https://www.facebook.com/dadsdayoffgames/
brightside-hobbies-brightside-tcg-morinville,fill-prairies-smalltown.md,high,https://www.facebook.com/brightsidecard/ ; https://411.ca/business/profile/4288569 ; https://morinville.cdncompanies.com/store/brightside-hobbies-morinville/
monster-hobbies-high-river,fill-prairies-smalltown.md,"low — primarily a model-kit/hobby retailer; only weak card evidence found (one vintage non-sports collector card product, weekly ""game nights""); no confirmed Magic/Pokemon/sports singles inventory",https://www.monster-hobbies.ca/shopcontent.asp?type=Contact-Us
wainwright-sports-cards-memorabilia-wainwright,fill-prairies-smalltown.md,"low — self-described as an ""online store""; unclear if there is a public walk-in storefront at this address",https://www.facebook.com/61556309001913/ ; https://www.findglocal.com/CA/Wainwright/226891487172666/Wainwright-Sports-Cards-&-Memorabilia ; https://www.canpages.ca/business/AB/wainwright/sports-cards-and-collectibles/528-800500.html
orchard-city-games-wainwright-wainwright,fill-prairies-smalltown.md,high,https://www.facebook.com/IWTSalberta/ ; https://www.globuya.com/CA/Wainwright/1557669817891900/Orchard-City-Games---Wainwright ; https://local.infobel.ca/CA105802282-2044415920/orchard_city_games_wainwright-wainwright.html
dice-hollow-games-and-hobbies-warman,fill-prairies-smalltown.md,medium — address from CardMap.app aggregator only; not independently cross-verified with a second source,https://cardmap.app/shop/dice-hollow-games-and-hobbies-warman
nova-s-sports-cards-lloydminster-sk-side,fill-prairies-smalltown.md,high,https://novassportscards.ca ; https://www.facebook.com/NovasSportsCards/ ; https://local.infobel.ca/CA106039136-7808728353/nova_s_sports_cards-lloydminster.html
dbk-cards-collectables-nipawin,fill-prairies-smalltown.md,low — categorized as gift/novelty/party-supply store across directories; no direct evidence found confirming sports card or TCG singles beyond the business name,"https://canada.chamberofcommerce.com/business-directory/saskatchewan/nipawin/novelty-store/1433249-dbk-cards-collectables ; https://411.ca/business/profile/14105127 ; https://www.cybo.com/CA/nipawin/gifts,-cards-and-party-supplies/"
skies-the-limit-fireworks-toys-yorkton,fill-prairies-smalltown.md,high,https://www.skiesthelimittoys.ca ; https://www.facebook.com/JorS3N/ ; https://canada.chamberofcommerce.com/business-directory/saskatchewan/yorkton/game-store/1251505-skies-the-limit-fireworks-and-toys
unique-edge-sports-cards-collectibles-north-battleford,fill-prairies-smalltown.md,"low — confirmed via a Dun & Bradstreet business profile and an Infobel listing, but no current storefront address, phone, or social page located; may be inactive or home-based",https://www.dnb.com/business-directory/company-profiles.unique_edge_sports_cards__collectibles.9a7b9f9ba1d5b92faef24192b85186fa.html ; https://www.infobel.com/en/canada/unique_edge_sports_cards_collectibles/north_battleford/CA103574035/businessdetails.aspx
arctic-board-games-steinbach,fill-prairies-smalltown.md,medium — address from CardMap.app aggregator only; not independently cross-verified with a second source,https://cardmap.app/shop/arctic-board-games-steinbach
go-beyond-games-dauphin,fill-prairies-smalltown.md,medium — address from CardMap.app aggregator only; not independently cross-verified with a second source,https://cardmap.app/shop/go-beyond-games-dauphin
neko-s-game-store-car-wash-thompson,fill-prairies-smalltown.md,high,https://www.shopnekos.ca ; https://www.facebook.com/shopnekosca/ ; https://www.findglocal.com/CA/Thompson/732046646980526/Neko's
rossco-sports-cards-collectibles-stonewall,fill-prairies-smalltown.md,"low — business name and ""Collectibles Store"" category confirmed across directories, but no street address, phone, website, or social page located to verify current operation",https://411.ca/business/profile/6364268 ; https://canada-listing.com/stonewall/sportsbar
bam-cards-and-collectibles-carman,fill-prairies-smalltown.md,high,https://www.carmanchamber.ca/directory/bam-cards-and-collectibles/
