slug,research_file,confidence,source_urls
gamezilla-moncton-moncton,expansion-atlantic.md,medium,http://acyts.weebly.com/store-locations.html ; https://gamezilla.ca/
stomping-grounds-games-and-collectibles-truro,expansion-atlantic.md,low,http://acyts.weebly.com/store-locations.html
abby-sports-cards-abbotsford,expansion-bc-yt.md,medium,https://www.fraservalleylocal.ca/biz/3817/abby-sports-cards ; https://www.canadianplanet.net/abby-sports-cards-abbotsford-bc-F110BC4031ED1
canadian-collectors-club-abbotsford,expansion-bc-yt.md,medium,https://www.yelp.ca/biz/canadian-collectors-club-abbotsford ; https://mufc.ca/canadian-collectors-club-8381840016707158634/
house-of-cards-abbotsford-abbotsford,expansion-bc-yt.md,high,https://houseofcards.ca/pages/about-us
house-of-cards-cloverdale-surrey,expansion-bc-yt.md,high,https://houseofcards.ca/pages/about-us ; https://cloverdalebia.com/directory/house-of-cards/
infinity-cards-collectibles-aldergrove,expansion-bc-yt.md,high,https://infinitycards.ca/ ; https://locator.wizards.com/store/17984
draw-for-turn-games-richmond,expansion-bc-yt.md,high,https://drawforturn.ca/ ; https://drawforturn.ca/pages/sell-to-us
lazy-trading-cards-hobbies-richmond,expansion-bc-yt.md,medium,https://www.facebook.com/100093017831330/posts/address-lazy-trading-cards-aberdeen-square-4000-no-3-rd-1080-richmond-bc-v6x-0j8/408842905559634/ ; https://lazytradingcards.com/
treasure-chest-games-collectibles-port-coquitlam,expansion-bc-yt.md,high,https://www.tcgames.ca/ ; https://www.heritagecafe.ca/post/treasure-chest-games-25-years-in-downtown-port-coquitlam
academy-star-sports-white-rock,expansion-bc-yt.md,"low — only one directory listing found, no active website or social page located; verify still operating",https://www.yellowpages.ca/bus/British-Columbia/White-Rock/Academy-Star-Sports/102523575.html
grey-haven-hobbies-games-white-rock,expansion-bc-yt.md,medium,https://www.surreynowleader.com/business/from-pogs-to-magic-white-rock-hobby-store-marks-25-years/ ; https://www.yelp.ca/biz/grey-haven-hobbies-white-rock
ot-sports-cards-vancouver,expansion-bc-yt.md,"low — address sourced from a single aggregator, no independent confirmation of current operating status",https://www.facebook.com/otcards/
collectors-choice-sports-cards-comics-collectables-duncan,expansion-bc-yt.md,medium,https://www.manta.com/ic/mt6ylfw/ca/collectors-choice-sports-cards-comics-collectables ; https://www.canadianplanet.net/collectors-choice-sports-cards-and-comics-duncan-bc-F120BC50613D243
retro-zone-games-parksville,expansion-bc-yt.md,"medium — sells video games, Magic, Pokemon, Warhammer, and sports cards per listing; exact street address not confirmed",https://www.facebook.com/retrozonegames
centre-court-collectables-nanaimo,expansion-bc-yt.md,medium,https://www.vilocal.ca/l/bc/sports-cards-memorabilia ; https://www.findglocal.com/CA/Nanaimo/1018734954877193/Sports-Card-Alley
dragon-cards-games-kelowna,expansion-bc-yt.md,medium,https://www.nearmetcg.com/stores/dragon-cards-and-games ; https://www.yelp.ca/biz/dragon-cards-and-games-kelowna
orchard-city-games-west-kelowna,expansion-bc-yt.md,medium,https://www.nearmetcg.com/stores/orchard-city-games
bob-and-coby-s-toys-and-collectibles-chilliwack,expansion-bc-yt.md,"low — listed under a ""Sports Cards & Memorabilia"" directory category but card-specific inventory not independently confirmed; name suggests general toys/collectibles, verify before publishing",https://www.fraservalleylocal.ca/l/bc/sports-cards-memorabilia
mind-games-cataraqui-centre-kingston,expansion-on-east-north.md,medium,https://localcardshopsnearme.com/shops/ontario/kingston/mind-games-cataraqui-centre-kingston-on-wmjky/
kollect-this-inc-peterborough,expansion-on-east-north.md,high,https://www.instagram.com/kollectthisinc/ ; https://localcardshopsnearme.com/shops/ontario/peterborough/kollect-this-inc-peterborough-on-uiybm/
dueling-grounds-tabletop-games-peterborough,expansion-on-east-north.md,high,https://dueling-grounds.com/
luck-of-the-draw-games-peterborough,expansion-on-east-north.md,medium,https://localcardshopsnearme.com/shops/ontario/peterborough/luck-of-the-draw-games-peterborough-on-4flpw/
p-market-games-belleville,expansion-on-east-north.md,medium,https://localcardshopsnearme.com/shops/ontario/belleville/p-market-games-belleville-on-d7jku/
scalliwag-toys-belleville,expansion-on-east-north.md,low,https://www.facebook.com/p/Scalliwag-Toys
dave-s-sportscard-shop-cornwall,expansion-on-east-north.md,medium,https://www.beckett.com/news/canadian-hobby-shop-of-the-week-daves-sportscard-shop-cornwall-on/ ; https://www.facebook.com/davessportscardshop/
sequence-comics-and-gaming-brockville,expansion-on-east-north.md,high,https://www.sequencecomics.ca/catalog/trading_card_sealed_product-sports/7343
rawas-gifts-brockville,expansion-on-east-north.md,low,https://canada.chamberofcommerce.com/business-directory/ontario/shopping/toys-games/trading-card-store/
games-nook-lasalle-blvd-greater-sudbury,expansion-on-east-north.md,medium,https://localcardshopsnearme.com/shops/ontario/greater-sudbury/gamesnook-sudbury-gamesworkshop-greater-sudbury-on-vle2s/ ; https://locator.wizards.com/store/12682
skaf-express-let-s-play-cards-and-games-thunder-bay,expansion-on-east-north.md,high,https://www.skafexpress.ca/
myth-forge-thunder-bay,expansion-on-east-north.md,medium,https://locator.wizards.com/store/18373
carlito-s-board-game-cafe-thunder-bay,expansion-on-east-north.md,low,https://carlitosgamecafe.ca/
collect-em-all-cards-and-games-thunder-bay,expansion-on-east-north.md,high,https://localcardshopsnearme.com/shops/ontario/thunder-bay/collect-em-all-cards-and-games-thunder-bay-on-ubccg/
hill-city-comics-cards-thunder-bay,expansion-on-east-north.md,medium,https://localcardshopsnearme.com/shops/ontario/thunder-bay/hill-city-comics-cards-thunder-bay-on-4qi9c/
mind-games-thunder-bay-thunder-bay,expansion-on-east-north.md,medium,https://localcardshopsnearme.com/shops/ontario/thunder-bay/mind-games-thunder-bay-thunder-bay-on-drx0u/
retro-north-games-thunder-bay,expansion-on-east-north.md,medium,https://localcardshopsnearme.com/shops/ontario/thunder-bay/retro-north-games-thunder-bay-on-cdoqe/
the-gameshelf-thunder-bay,expansion-on-east-north.md,low,https://localcardshopsnearme.com/shops/ontario/thunder-bay/the-gameshelf-thunder-bay-on-ryors/
north-bay-games-and-hobbies-north-bay,expansion-on-east-north.md,medium,https://www.yelp.com/biz/north-bay-games-and-hobbies-north-bay ; https://downtownnorthbay.ca/business-directory/north-bay-games-hobbies/
outpost-gaming-north-bay,expansion-on-east-north.md,high,https://www.outpostgaming.ca/collections/card-games ; https://localcardshopsnearme.com/shops/ontario/north-bay/outpost-gaming-north-bay-on-934yq/
darkhorse-comics-north-bay,expansion-on-east-north.md,medium,https://localcardshopsnearme.com/shops/ontario/north-bay/darkhorse-comics-north-bay-on-vgrj1/
dj-s-collectibles-north-bay,expansion-on-east-north.md,medium,https://localcardshopsnearme.com/shops/ontario/north-bay/dj-s-collectibles-north-bay-on-hzlea/
northern-gamers-north-bay,expansion-on-east-north.md,medium,https://localcardshopsnearme.com/shops/ontario/north-bay/northern-gamers-north-bay-on-dyvgw/
northern-ontario-video-and-anime-nova-north-bay,expansion-on-east-north.md,low,https://localcardshopsnearme.com/shops/ontario/north-bay/northern-ontario-video-and-anime-nova-north-bay-on-04zrz/
need-that-collectible-timmins,expansion-on-east-north.md,medium,https://localcardshopsnearme.com/shops/ontario/timmins/need-that-collectible-timmins-on-l42ze/
kap-escaping-kapuskasing,expansion-on-east-north.md,low,https://www.facebook.com/KapEscaping/ ; https://cardmap.app/shops/ontario
altered-states-comics-mississauga,expansion-on-gta-sw.md,medium,https://www.yellowpages.ca/bus/Ontario/Mississauga/Altered-States-Comics/6097674.html ; https://www.yelp.com/biz/altered-states-comics-mississauga-2
dolly-s-cards-collectibles-st-catharines-st-catharines,expansion-on-gta-sw.md,medium,https://www.dollys.ca/contact_us
qew-dixie-cards-mississauga,expansion-on-gta-sw.md,medium,https://www.yellowpages.ca/bus/Ontario/Mississauga/Qew-Dixie-Cards/100809480.html
from-hockey-to-hollywood-toronto,expansion-on-gta-sw.md,medium,https://www.yellowpages.ca/bus/Ontario/Toronto/From-Hockey-To-Hollywood/8076769.html
game-city-windsor,expansion-on-gta-sw.md,medium,https://www.yellowpages.ca/bus/Ontario/Windsor/Game-City/4231984.html
breakaway-authentics-st-catharines,expansion-on-gta-sw.md,medium,https://www.yellowpages.ca/bus/Ontario/St-Catharines/Breakaway-Authentics/8043372.html
r-b-sportscards-st-catharines,expansion-on-gta-sw.md,medium,https://www.yellowpages.ca/bus/Ontario/St-Catharines/R-B-Sportscards/227775.html
the-ice-box-cards-barrie,expansion-on-gta-sw.md,medium,https://www.yellowpages.ca/bus/Ontario/Barrie/The-Ice-Box-Cards/8068191.html
mvp-sports-cards-orillia,expansion-on-gta-sw.md,medium,https://www.yellowpages.ca/bus/Ontario/Orillia/MVP-Sports-Cards/100446104.html
rockets-sports-cards-chatham,expansion-on-gta-sw.md,medium,https://www.yellowpages.ca/bus/Ontario/Chatham/Rockets-Sports-Cards/7969429.html
nutt-s-collectables-woodstock,expansion-on-gta-sw.md,medium,https://www.yellowpages.ca/bus/Ontario/Woodstock/Nutt-s-Collectables/1152945.html
the-rights-stuff-st-catharines,expansion-on-gta-sw.md,low,https://www.yellowpages.ca/bus/Ontario/St-Catharines/The-Rights-Stuff/101704482.html
top-8-gaming-welland,expansion-on-gta-sw.md,low,https://www.yellowpages.ca/bus/Ontario/Welland/Top-8-Gaming/101540947.html
gimme-mo-sports-cards-and-memorabilia-binbrook-hamilton,expansion-on-gta-sw.md,low,https://www.yellowpages.ca/bus/Ontario/Binbrook/Gimme-Mo-Sports-Cards-And-Memorabilia/102059600.html
bardown-hockey-oakville,expansion-on-gta-sw.md,low,https://www.yellowpages.ca/bus/Ontario/Oakville/Bardown-Hockey/102930251.html
a-c-sports-cards-collectible-toronto-north-york,expansion-on-gta-sw.md,low,https://www.yellowpages.ca/bus/Ontario/Toronto/A-C-Sports-Cards-Collectible/101920496.html
t1m-sports-toronto,expansion-on-gta-sw.md,low,https://www.yellowpages.ca/bus/Ontario/Toronto/T1M-Sports/100433502.html
hall-of-fame-grading-toronto,expansion-on-gta-sw.md,low,https://www.yellowpages.ca/bus/Ontario/Toronto/Hall-Of-Fame-Grading/102934828.html
grosnor-distribution-inc-brampton,expansion-on-gta-sw.md,low,https://www.grosnor.com/about-us ; https://www.yellowpages.ca/bus/Ontario/Brampton/Grosnor-Distribution-Inc/101309399.html
universal-distribution-guelph,expansion-on-gta-sw.md,low,https://www.yellowpages.ca/bus/Ontario/Guelph/Universal-Distribution/8016981.html
break-away-sports-cards-inc-rodney-near-chatham-kent,expansion-on-gta-sw.md,low,https://www.yellowpages.ca/bus/Ontario/Rodney/Break-Away-Sports-Cards-Inc/6889932.html
lasting-memories-locker-room-hanover-near-owen-sound,expansion-on-gta-sw.md,low,https://www.yellowpages.ca/bus/Ontario/Hanover/Lasting-Memories-Locker-Room/7740152.html
enter-the-battlefield-newmarket,expansion-on-gta-sw.md,low,https://www.yellowpages.ca/bus/Ontario/Newmarket/Enter-The-Battlefield/102329746.html
ppag-hockey-cards-granby,expansion-qc.md,high,https://www.ppaghockeycards.com/ ; https://www.ppaghockeycards.com/contact ; https://www.granbyexpress.com/infolettre/la-folie-des-cartes-de-hockey-debarque-chez-ppag/
card-brawlers-montr-al,expansion-qc.md,high,https://cardbrawlers.com/ ; https://www.yellowpages.ca/bus/Quebec/Montreal/Jeux-Passe-Temps-Card-Brawlers/102465631.html
bog-collectibles-kahnawake,expansion-qc.md,high,https://bogcollectibles.com/ ; https://bogcollectibles.com/pages/contact
ksks-sports-collectibles-inc-pointe-claire,expansion-qc.md,high,https://kskscollectibles.com/contact-us ; https://www.yellowpages.ca/bus/Quebec/Pointe-Claire/KSKS-Sports-Collectibles-Inc/101733959.html
mb-cartes-sherbrooke,expansion-qc.md,high,https://www.mbcartes.com/ ; https://www.infobel.com/en/canada/mb_cartes/sherbrooke/CA105915995-8195801999/businessdetails.aspx
le-repaire-du-collectionneur-montr-al-griffintown,expansion-qc.md,medium,https://lereprmtl.com/
zone-51-trois-rivi-res,expansion-qc.md,medium,https://www.pagesjaunes.ca/bus/Quebec/Trois-Rivieres/Zone-51/102157696.html
toontownhobbies-saskatoon,expansion-sk-mb.md,medium,https://toontownhobbies.com/ ; https://www.facebook.com/toontownhobbies/ ; https://www.dnb.com/business-directory/company-profiles.toontownhobbies.fc11c4200b10d9968aedfdd3ab6f613f.html
prairie-canucks-cards-collectibles-weyburn,expansion-sk-mb.md,high,https://prairiecanucks.ca/ ; https://mysask411.com/weyburn/prairie-canucks-cards-and-collectibles/1133888
yaz-s-sports-memorabilia-regina,expansion-sk-mb.md,low,https://www.opendi.ca/regina/820080.html ; https://www.yelp.ca/biz/yazs-sports-memorabilia-regina ; https://www.canadianplanet.net/regina/sports+cards+and+memorabilia
legends-sports-memorabilia-display-co-ltd-regina,expansion-sk-mb.md,low,https://www.yellowpages.ca/bus/Saskatchewan/Regina/Legends-Sports-Memorabilia-Display-Co-Ltd/4509607.html ; https://www.groupon.com/biz/regina/legends-sports-memorabilia-display-co-ltd ; https://www.yelp.ca/biz/legends-sports-memorabilia-and-display-company-regina
uptown-sports-cards-collectibles-winnipeg,expansion-sk-mb.md,medium,https://uptownsportswinnipeg.com/pages/about-us ; https://www.outletcollectionwinnipeg.com/stores/uptown-sports/
fusion-gaming-winnipeg,expansion-sk-mb.md,high,https://fusiongamingonline.com/ ; https://www.yelp.ca/biz/fusion-gaming-winnipeg ; https://locator.wizards.com/store/10709
gameknight-games-winnipeg,expansion-sk-mb.md,medium,https://gameknight.ca/pages/pokemon-tcg ; https://www.yelp.ca/biz/gameknight-games-and-cool-stuff-winnipeg-2
manitobatcg-winnipeg,expansion-sk-mb.md,high,https://www.manitobatcg.com/ ; https://www.manitobatcg.com/shop
a-muse-n-games-winnipeg,expansion-sk-mb.md,medium,https://amusengames.ca/ ; https://locator.wizards.com/store/9741
