Tier,City,Store Name,Address,Phone,Website,Source (competitor listing)
A — explicit card signal,lac-la-biche,Big Sky Game and Hobby,"10210 101 Ave, Lac la Biche, AB T0A 2C0, Canada",+1 780-623-4580,,https://localcardshopsnearme.com/shops/alberta/lac-la-biche/big-sky-game-and-hobby-lac-la-biche-ab-vm59c/
A — explicit card signal,peace-river,Kash In Collectibles Inc.,"10122 100 St Unit 7, Peace River, AB T8S 1S8, Canada",+1 780-625-2617,,https://localcardshopsnearme.com/shops/alberta/peace-river/kash-in-collectibles-inc-peace-river-ab-0sqij/
A — explicit card signal,red-deer,Hobby Hub,"5301 43 St #114, Red Deer, AB T4N 1C8, Canada",+1 403-588-5589,https://hobbyhub.ca/,https://localcardshopsnearme.com/shops/alberta/red-deer/hobby-hub-red-deer-ab-0acy4/
A — explicit card signal,rocky-mountain-house,Brick Road Collectibles,"4911 50 St, Rocky Mountain House, AB T4T 1E5, Canada",+1 403-871-5054,https://brickroad.ca/,https://localcardshopsnearme.com/shops/alberta/rocky-mountain-house/brick-road-collectibles-rocky-mountain-house-ab-z3htu/
A — explicit card signal,sherwood-park,Mythic Comics & Collectibles,"2008C Sherwood Dr, Sherwood Park, AB T8A 0Z1, Canada",+1 780-570-1872,https://www.facebook.com/MythicComicsShpk/,https://localcardshopsnearme.com/shops/alberta/sherwood-park/mythic-comics-collectibles-sherwood-park-ab-ejn35/
A — explicit card signal,st-paul,Sunshine Game & Hobby,"5105 50 Ave, St. Paul, AB T0A 3A0, Canada",+1 780-645-5353,,https://localcardshopsnearme.com/shops/alberta/st-paul/sunshine-game-hobby-st-paul-ab-guyhn/
"B — games/comics, verify they carry cards",balzac,Bento Gaming,"260300 Writing Creek Cres Unit F6, Balzac, AB T4A 0X8",(825) 415-5645,https://www.bentogaming.com/,https://localcardshopsnearme.com/shops/alberta/balzac/bento-gaming-balzac-ab-bou8y/
"B — games/comics, verify they carry cards",balzac,The Realm Games and Toys,"Box 370, 260300 Writing Creek Cres Unit #H10, Balzac, AB T4A 0X8",(587) 377-3256,https://www.realmgamesandtoys.com/,https://localcardshopsnearme.com/shops/alberta/balzac/the-realm-games-and-toys-balzac-ab-5if6u/
"B — games/comics, verify they carry cards",calgary,Imaginary Wars Gaming and Hobbies Ltd.,"10233 Elbow Dr SW Unit #135, Calgary, AB T2W 0S1",(587) 351-1939,https://www.facebook.com/imaginarywars,https://localcardshopsnearme.com/shops/alberta/calgary/imaginary-wars-gaming-and-hobbies-ltd-calgary-ab-08bg0/
"B — games/comics, verify they carry cards",calgary,Ogre's Den Gaming Club,"3220 5 Ave NE, Calgary, AB T2A 6M6",(403) 273-0037,http://www.ogresden.ca/,https://localcardshopsnearme.com/shops/alberta/calgary/ogre-s-den-gaming-club-calgary-ab-n0r7a/
"B — games/comics, verify they carry cards",calgary,Phoenix Comics NW,"1010 16 Ave NW, Calgary, AB T2M 0K5",(403) 220-1399,http://www.phoenixcomics.ca/,https://localcardshopsnearme.com/shops/alberta/calgary/phoenix-comics-nw-calgary-ab-tbw1e/
"B — games/comics, verify they carry cards",calgary,Screen Free Games Calgary,"Sunridge Mall, 2525 36 St NE Unit 258, Calgary, AB T1Y 5T4",(403) 453-7340,https://screenfreegames.com/,https://localcardshopsnearme.com/shops/alberta/calgary/screen-free-games-calgary-calgary-ab-iqop4/
"B — games/comics, verify they carry cards",calgary,Under The Mountain Games,"3630 Brentwood Rd NW #313b, Calgary, AB T2L 1K8",(403) 463-8185,https://underthemountain.games/,https://localcardshopsnearme.com/shops/alberta/calgary/under-the-mountain-games-calgary-ab-utnzi/
"B — games/comics, verify they carry cards",edmonton,Authentic Dungeons,"10041 166 St NW, Edmonton, AB T5P 4Y1",(587) 200-3070,http://authenticdungeons.com/,https://localcardshopsnearme.com/shops/alberta/edmonton/authentic-dungeons-edmonton-ab-kw7pq/
"B — games/comics, verify they carry cards",edmonton,Cerberus Gaming Corp.,"9024 51 Ave NW, Edmonton, AB T6E 5X4",(780) 249-3294,https://cerberusgamingcorp.com/,https://localcardshopsnearme.com/shops/alberta/edmonton/cerberus-gaming-corp-edmonton-ab-nl25s/
"B — games/comics, verify they carry cards",edmonton,Gamer's Den,"11610 119 St NW, Edmonton, AB T5G 2X7",(780) 760-4263,http://gamersden.ca/,https://localcardshopsnearme.com/shops/alberta/edmonton/gamer-s-den-edmonton-ab-m2kqo/
"B — games/comics, verify they carry cards",edmonton,Games Workshop,"109 Princess Elizabeth Ave NW Unit 738, Edmonton, AB T5G 3A6, Canada",+1 587-442-3189,https://www.warhammer.com/?utm_source=Google&utm_medium=Yext,https://localcardshopsnearme.com/shops/alberta/edmonton/games-workshop-edmonton-ab-0wfte/
"B — games/comics, verify they carry cards",edmonton,Hard Brick Games,"9126 51 Ave NW, Edmonton, AB T6E 5L8",(587) 402-3161,https://hardbrickgames.com/,https://localcardshopsnearme.com/shops/alberta/edmonton/hard-brick-games-edmonton-ab-x0dpc/
"B — games/comics, verify they carry cards",edmonton,Industrial Park Games Ltd.,"7339 42 St NW, Edmonton, AB T6B 2T1, Canada",+1 780-405-7567,http://www.industrialparkgames.com/,https://localcardshopsnearme.com/shops/alberta/edmonton/industrial-park-games-ltd-edmonton-ab-lm7d5/
"B — games/comics, verify they carry cards",edmonton,Red Claw Gaming,"13552 Fort Rd NW, Edmonton, AB T5A 1C5",(780) 757-7655,https://www.redclawgaming.com/,https://localcardshopsnearme.com/shops/alberta/edmonton/red-claw-gaming-edmonton-ab-ztuza/
"B — games/comics, verify they carry cards",edmonton,Star Lotus Games,"10441 123 St NW #102, Edmonton, AB T5N 1N8",(780) 488-3188,https://www.facebook.com/starlotusgamesinc/,https://localcardshopsnearme.com/shops/alberta/edmonton/star-lotus-games-edmonton-ab-sfinq/
"B — games/comics, verify they carry cards",edmonton,Vintage Games N Junque Edmonton,"10422 82 Ave NW, Edmonton, AB T6E 2A2",(825) 967-0069,https://vgnj.ca/,https://localcardshopsnearme.com/shops/alberta/edmonton/vintage-games-n-junque-edmonton-edmonton-ab-7vuqa/
"B — games/comics, verify they carry cards",edmonton,Warp 2 Comics & Games,"12863 97 St NW, Edmonton, AB T5E 4C2, Canada",+1 780-478-7767,http://www.warpcomics.com/,https://localcardshopsnearme.com/shops/alberta/edmonton/warp-2-comics-games-edmonton-ab-ri1id/
"B — games/comics, verify they carry cards",edmonton,Warp 3 Comics & Games,"2331 66 St NW Unit 329, Edmonton, AB T6K 4B5",(780) 462-5767,http://www.warpcomics.com/,https://localcardshopsnearme.com/shops/alberta/edmonton/warp-3-comics-games-edmonton-ab-r6wlu/
"B — games/comics, verify they carry cards",gibbons,Cosmic Radiance Gaming,"4724 50 Ave, Gibbons, AB T0A 0A7, Canada",+1 780-578-4441,https://cosmicradiancegaming.crystalcommerce.com/,https://localcardshopsnearme.com/shops/alberta/gibbons/cosmic-radiance-gaming-gibbons-ab-90fdk/
"B — games/comics, verify they carry cards",heritage-pointe,Comic Traders,"412 Pine Creek Rd Unit 360, Heritage Pointe, AB T1S 4J9, Canada",+1 403-796-3383,http://www.comictraders.ca/,https://localcardshopsnearme.com/shops/alberta/heritage-pointe/comic-traders-heritage-pointe-ab-qi7yb/
"B — games/comics, verify they carry cards",leduc,dreamESCAPE Gaming Inc.,"5205 50th Ave #6, Leduc, AB T9E 6T2, Canada",+1 780-986-2882,http://www.dreamescapegaming.com/,https://localcardshopsnearme.com/shops/alberta/leduc/dreamescape-gaming-inc-leduc-ab-fsi9n/
"B — games/comics, verify they carry cards",lethbridge,Treasure Chest Games,"24 Mt Burke Blvd W #20, Lethbridge, AB T1K 7X9",(403) 320-6055,https://www.treasure-chest.ca/,https://localcardshopsnearme.com/shops/alberta/lethbridge/treasure-chest-games-lethbridge-ab-sxxuy/
"B — games/comics, verify they carry cards",red-deer,Warhammer,"2004 50 Ave #165, Red Deer, AB T4R 3A2, Canada",+1 587-443-9903,,https://localcardshopsnearme.com/shops/alberta/red-deer/warhammer-red-deer-ab-n4uak/
"B — games/comics, verify they carry cards",st-albert,Mastermind Toys,"398 St Albert Trl #110, St. Albert, AB T8N 5J9",(780) 459-1213,,https://localcardshopsnearme.com/shops/alberta/st-albert/mastermind-toys-st-albert-ab-v0mco/
"B — games/comics, verify they carry cards",stony-plain,Stony Plain Games & Collectables Inc,"5101 50 St, Stony Plain, AB T7Z 1T5, Canada",+1 780-968-5666,http://spgac.net/,https://localcardshopsnearme.com/shops/alberta/stony-plain/stony-plain-games-collectables-inc-stony-plain-ab-s4jmc/
"B — games/comics, verify they carry cards",sylvan-lake,Forge Wargaming,"4 Cuendet Ind. Wy Bay 6, Sylvan Lake, AB T4S 2J7, Canada",,http://www.facebook.com/ForgeWargaming,https://localcardshopsnearme.com/shops/alberta/sylvan-lake/forge-wargaming-sylvan-lake-ab-fmoqu/
"C — unclear, verify",balzac,Collectors valley,"260300 Writing Creek Cres, Balzac, AB T4A 0X8",(587) 254-2418,https://collectors-valley.square.site/s/shop,https://localcardshopsnearme.com/shops/alberta/balzac/collectors-valley-balzac-ab-el2oa/
"C — unclear, verify",calgary,First Player,"1212 34 Ave SE #120, Calgary, AB T2G 1V7",(825) 513-7529,https://www.firstplayer.ca/,https://localcardshopsnearme.com/shops/alberta/calgary/first-player-calgary-ab-06zkk/
"C — unclear, verify",calgary,The Sentry Box,"1835 10 Ave SW, Calgary, AB T3C 0K2",(403) 245-2121,https://www.sentrybox.com/,https://localcardshopsnearme.com/shops/alberta/calgary/the-sentry-box-calgary-ab-puaxe/
"C — unclear, verify",calgary,ThePokeMrkt,"1235 26 Ave SE, Calgary, AB T2G 1R7",,https://thepokemrkt.square.site/,https://localcardshopsnearme.com/shops/alberta/calgary/thepokemrkt-calgary-ab-jm0yy/
"C — unclear, verify",edmonton,CollectiVerse,"435 Mistatim Way NW, Edmonton, AB T6V 0M8",(587) 400-7478,https://collectiverse.ca/dl/bccf52,https://localcardshopsnearme.com/shops/alberta/edmonton/collectiverse-edmonton-ab-yfx5c/
"C — unclear, verify",edmonton,Collection Junction,"8103 127 Ave NW, Edmonton, AB T5C 1R9, Canada",+1 780-478-0298,,https://localcardshopsnearme.com/shops/alberta/edmonton/collection-junction-edmonton-ab-0bo6b/
"C — unclear, verify",edmonton,Downstairs Cellar,"10824 82 Ave NW Basement, Edmonton, AB T6E 2B3",(587) 322-1113,http://downstairscellar.ca/,https://localcardshopsnearme.com/shops/alberta/edmonton/downstairs-cellar-edmonton-ab-vtiv4/
"C — unclear, verify",edmonton,Edmonton Coin and Stamp,"8882 170 St NW #1388, Edmonton, AB T5T 3J7, Canada",+1 780-444-1156,http://www.edmontoncomics.com/,https://localcardshopsnearme.com/shops/alberta/edmonton/edmonton-coin-and-stamp-edmonton-ab-8qyqb/
"C — unclear, verify",edmonton,Renturly,"14428 130 St NW, Edmonton, AB T6V 1E2, Canada",+1 587-501-9972,https://accesstheflock-io.myshopify.com/products/umbreon-130-reverse-holo,https://localcardshopsnearme.com/shops/alberta/edmonton/renturly-edmonton-ab-4ljmb/
"C — unclear, verify",edmonton,Silver Cove Edmonton,"6930 104 Street NW, Edmonton, AB T6H 2L7, Canada",+1 780-761-2040,http://www.silvercove.net/,https://localcardshopsnearme.com/shops/alberta/edmonton/silver-cove-edmonton-edmonton-ab-2s0jx/
"C — unclear, verify",edmonton,The Time Vault,"12227 66 St NW, Edmonton, AB T5B 1K1",(780) 200-3567,http://www.thetimevault.ca/,https://localcardshopsnearme.com/shops/alberta/edmonton/the-time-vault-edmonton-ab-sw8xk/
"C — unclear, verify",edmonton,West Edmonton Coin & Stamp,"8882 170 St NW #1390, Edmonton, AB T5T 4V4, Canada",+1 780-444-1156,http://www.westedmontoncoinandstamp.com/,https://localcardshopsnearme.com/shops/alberta/edmonton/west-edmonton-coin-stamp-edmonton-ab-onzgu/
"C — unclear, verify",edson,Rare Gems Edson,"306 50 St, Edson, AB T7E 1N7, Canada",+1 587-817-2681,https://www.facebook.com/p/Rare-gems-Edson-61572938927206/,https://localcardshopsnearme.com/shops/alberta/edson/rare-gems-edson-edson-ab-cfo7s/
"C — unclear, verify",lacombe,Amazing Wonders Emporium,"5230 45 St #17, Lacombe, AB T4L 2A1, Canada",+1 403-782-6070,https://www.amazingwondersemporium.ca/,https://localcardshopsnearme.com/shops/alberta/lacombe/amazing-wonders-emporium-lacombe-ab-ecvy5/
"C — unclear, verify",lethbridge,The Northern Citadel,"24 Mt Burke Blvd W, Lethbridge, AB T1K 7X9",(403) 929-5288,https://thenortherncitadel.ca/,https://localcardshopsnearme.com/shops/alberta/lethbridge/the-northern-citadel-lethbridge-ab-hq5ra/
"C — unclear, verify",medicine-hat,First Edition Foundry Inc.,"66b 8 St NW, Medicine Hat, AB T1A 6P1",(403) 581-4816,https://www.firsteditionfoundry.com/,https://localcardshopsnearme.com/shops/alberta/medicine-hat/first-edition-foundry-inc-medicine-hat-ab-apukk/
"C — unclear, verify",red-deer,Rotty's Creations,"4747 67 St #444, Red Deer, AB T4N 6H3, Canada",+1 403-373-1842,https://rottyscreations.com/,https://localcardshopsnearme.com/shops/alberta/red-deer/rotty-s-creations-red-deer-ab-ds27r/
"C — unclear, verify",st-albert,Da Pop-up Shop StAlbert,"375 St Albert Trl #185, St. Albert, AB T8N 3K8, Canada",+1 647-768-3808,,https://localcardshopsnearme.com/shops/alberta/st-albert/da-pop-up-shop-stalbert-st-albert-ab-zd7q7/
"C — unclear, verify",stettler,Ivy Nook,"4824 50 St, Stettler, AB T4H 1E4, Canada",,https://www.facebook.com/profile.php?id=61551452412281&mibextid=ZbWKwL,https://localcardshopsnearme.com/shops/alberta/stettler/ivy-nook-stettler-ab-3hsy7/
"C — unclear, verify",sundre,The Mystic Alien,"708 Main Ave W Bay 3 and 4, Sundre, AB T0M 1X0, Canada",+1 403-586-2774,https://themysticalien.ca/,https://localcardshopsnearme.com/shops/alberta/sundre/the-mystic-alien-sundre-ab-hx6sq/
