slug,name,city,province,Services,Sports/TCG,evidence,site
taps-games-edmonton,Taps Games,Edmonton,AB,Sells;Buys,Magic;Pokemon,"Buys: ""buy list"" @ /pages/buy-list",http://www.tapsgames.com
the-card-goat-edmonton,The Card Goat,Edmonton,AB,Sells;Sells Wax,Hockey;Magic;Pokemon,"Sells Wax: ""sealed product"" @ /",http://thecardgoat.ca
wayne-s-sports-cards-collectibles-edmonton,Wayne's Sports Cards & Collectibles,Edmonton,AB,Sells;Sells Wax,Baseball;Basketball;Football;Hockey;Pokemon,"Sells Wax: ""booster box"" @ /",http://www.waynessportscards.com
west-s-sports-cards-edmonton,West's Sports Cards,Edmonton,AB,Sells;Sells Wax;Breaks,Baseball;Basketball;Football;Hockey;Pokemon,"Sells Wax: ""hobby box"" @ / | Breaks: ""group break"" @ /",https://www.westssportscards.com
yeg-nhlhockeystickers-com-edmonton,YEG NHLHockeyStickers.Com,Edmonton,AB,Sells,Hockey,,http://www.nhlhockeystickers.com
galactic-trading-post-fort-mcmurray,Galactic Trading Post,Fort McMurray,AB,Sells;Trade Nights,Hockey;Magic;Pokemon,"Trade Nights: ""tournament"" @ /",https://galactictp.com
strange-ideas-comics-and-collectibles-grande-prairie,Strange Ideas Comics and Collectibles,Grande Prairie,AB,Sells,,,https://www.strangeideascomics.ca
evolution-sports-excellence-leduc,Evolution Sports Excellence,Leduc,AB,Sells,Baseball;Hockey,,https://evolutionsportsexcellence.com
the-hobby-spot-leduc-quarantined-case-breaks-leduc,The Hobby Spot Leduc & Quarantined Case Breaks,Leduc,AB,Sells;Buys;Sells Wax;Breaks;Trade Nights,Baseball;Hockey;Magic;Pokemon,"Buys: ""buy list"" @ / | Sells Wax: ""hobby box"" @ / | Breaks: ""box break"" @ / | Trade Nights: ""tournament"" @ /",http://www.thehobbyspot.ca
king-arthur-s-collectibles-lethbridge,King Arthur's Collectibles,Lethbridge,AB,Sells,,,https://www.ebay.ca/str/kingarthurscollectiblescanada?mkcid=16&mkevt=1&mkrid=711-127632-2357-0&ssspo=aZbMmwG3Tr6&sssrc=3418065&ssuid=aZbMmwG3Tr6&widget_ver=artemis&media=COPY
showcase-comics-hobbies-ltd-comics-collectibles-rc-boardgames-lethbridge,"Showcase Comics & Hobbies Ltd., Comics, Collectibles, RC, Boardgames",Lethbridge,AB,Sells;Breaks,Baseball;Basketball;Football;Hockey;Magic;Pokemon,"Breaks: ""group break"" @ /",https://showcasecomics.ca
border-city-games-lloydminster,Border City Games,Lloydminster,AB,Sells;Buys;Sells Wax;Trade Nights,Football;Magic;Pokemon,"Buys: ""buylist"" @ / | Sells Wax: ""sealed product"" @ / | Trade Nights: ""tournament"" @ /",http://www.bordercitygames.ca
avalon-hobbies-medicine-hat,Avalon Hobbies,Medicine Hat,AB,Sells,Basketball;Football,,http://www.avalonhobbies.com
comic-readers-medicine-hat,Comic Readers,Medicine Hat,AB,Sells,,,https://comicreadersregina.wordpress.com
games-galore-the-billiard-store-medicine-hat,Games Galore & The Billiard Store,Medicine Hat,AB,Sells,Hockey,,http://www.gamesgalore.ca
d-j-s-sports-cards-comics-red-deer,D J's Sports Cards Comics,Red Deer,AB,Sells;Buys;Sells Wax;Trade Nights,Football;Hockey;Magic;Pokemon,"Buys: ""sell to us"" @ / | Sells Wax: ""sealed product"" @ / | Trade Nights: ""game night"" @ /",https://www.djsgaming.ca
env-collectible-sherwood-park,ENV Collectible,Sherwood Park,AB,Sells;Buys,Basketball;Magic;Pokemon,"Buys: ""buylist"" @ /",http://www.envcollectible.com
sports-closet-sherwood-park,Sports Closet,Sherwood Park,AB,Sells,Baseball;Basketball;Football;Hockey,,https://sportscloset.ca
hyperspace-comics-games-spruce-grove,Hyperspace Comics & Games,Spruce Grove,AB,Sells,Magic;Pokemon,,https://hyperspacecomics.com
paradise-games-and-customs-spruce-grove,Paradise Games and Customs,Spruce Grove,AB,Sells,,,http://paradisegames.ca
mission-fun-games-st-albert,Mission: Fun & Games,St. Albert,AB,Sells;Sells Wax;Trade Nights,Basketball;Football;Magic;Pokemon,"Sells Wax: ""booster box"" @ / | Trade Nights: ""game night"" @ /",http://www.boardgames.ca
sports-closet-st-albert,Sports Closet,St. Albert,AB,Sells,Baseball;Basketball;Football;Hockey,,https://sportscloset.ca
thunderground-comics-and-collectibles-st-albert,ThunderGround Comics And Collectibles,St. Albert,AB,Sells;Buys;Sells Wax;Trade Nights,Magic,"Sells Wax: ""booster box"" @ / | Trade Nights: ""tournament"" @ / | Buys: ""sell your"" @ /new-comics-cards-games/",http://www.thundergroundcomics.com
box-of-cards-sports-cards-aurora,Box Of Cards (Sports Cards),Aurora,ON,Sells;Sells Wax,Baseball;Football;Hockey;Pokemon,"Sells Wax: ""hobby box"" @ /",http://www.boxofcards.ca
big-b-comics-barrie,Big B Comics,Barrie,ON,Sells,,,http://www.bigbbarrie.com
box-of-cards-sports-cards-barrie,Box Of Cards (Sports Cards),Barrie,ON,Sells;Sells Wax,Baseball;Football;Hockey;Pokemon,"Sells Wax: ""hobby box"" @ /",https://boxofcards.ca
doug-laurie-sports-barrie,Doug Laurie Sports,Barrie,ON,Sells,,,http://www.douglauriesports.com
gamer-s-lair-ltd-barrie,Gamer's Lair Ltd.,Barrie,ON,Sells;Buys;Sells Wax,Magic;Pokemon,"Buys: ""buylist"" @ / | Sells Wax: ""sealed product"" @ /",http://www.gamerslair.ca
ideal-hobbies-barrie,Ideal Hobbies,Barrie,ON,Sells,,,http://www.idealhobbies.com
loot-kingdom-barrie,Loot Kingdom,Barrie,ON,Sells;Grading Services;Sells Wax;Trade Nights,Baseball;Basketball;Football;Hockey;Pokemon,"Grading Services: ""grading service"" @ / | Sells Wax: ""booster box"" @ / | Trade Nights: ""tournament"" @ /collections/mnt-grading",http://www.lootkingdom.com
omg-games-barrie,OMG Games,Barrie,ON,Sells;Buys;Grading Services;Sells Wax;Trade Nights,Football;Magic;Pokemon,"Buys: ""we buy"" @ / | Grading Services: ""we grade"" @ / | Sells Wax: ""sealed product"" @ / | Trade Nights: ""tournament"" @ /",http://www.omggames.ca
power-up-gaming-barrie,Power Up Gaming,Barrie,ON,Sells;Buys;Trades Singles,Football;Hockey;Magic;Pokemon,"Buys: ""sell your"" @ / | Trades Singles: ""trade-in"" @ /",http://www.powerupgaming.ca
sell-your-pokemon-cards-barrie,Sell Your Pokemon Cards,Barrie,ON,Sells;Buys;Sells Wax,Pokemon,"Buys: ""we buy"" @ / | Sells Wax: ""sealed product"" @ /",https://ca.sellccg.com/location
video-time-barrie,Video Time,Barrie,ON,Sells;Buys,,"Buys: ""we buy"" @ /",http://www.videotime.ca
stephen-licence-bicycles-hobbies-belleville,Stephen Licence Bicycles & Hobbies,Belleville,ON,Sells,,,https://stephenlicence.my.canva.site/stephenlicence
mint-sports-cards-collectibles-bolton,Mint Sports Cards & Collectibles,Bolton,ON,Sells;Sells Wax,Baseball;Basketball;Football;Hockey;Pokemon,"Sells Wax: ""hobby box"" @ /",http://www.mintsportscardsandcollectibles.com
fearocards-brampton,FeARoCards,Brampton,ON,Sells;Sells Wax,Pokemon,"Sells Wax: ""sealed product"" @ /",https://fearocards.ca
rolls-and-realms-inc-brantford,Rolls and Realms Inc.,Brantford,ON,Sells,,,https://www.rollsandrealms.ca
hall-of-fame-collection-burlington,Hall Of Fame Collection,Burlington,ON,Sells;Buys,,"Buys: ""sell to us"" @ /",http://racinghalloffamecollection.com
diadem-cards-hobbies-greater-sudbury,Diadem Cards & Hobbies,Greater Sudbury,ON,Sells;Buys,Magic;Pokemon,"Buys: ""we buy"" @ /",https://231405-3.myshopify.com
docs-hobby-shop-greater-sudbury,Docs hobby shop,Greater Sudbury,ON,Sells,,,https://docs-hobby-shop.myshopify.com
great-white-north-pottery-supplies-greater-sudbury,Great White North Pottery Supplies,Greater Sudbury,ON,Sells,Basketball,,http://www.gwnpottery.ca
nepal-handicrafts-greater-sudbury,Nepal Handicrafts,Greater Sudbury,ON,Sells,,,http://www.nepalhandicraftsontario.com
valixya-greater-sudbury,Valixya,Greater Sudbury,ON,Sells,,,https://valixya.ca
microplay-video-games-collectibles-guelph,Microplay Video Games & Collectibles,Guelph,ON,Sells;Buys;Trades Singles,Basketball;Football;Magic;Pokemon,"Buys: ""bring in your"" @ / | Trades Singles: ""trade-in"" @ /pages/faqs",https://microplayvideogames.ca
royal-cat-records-guelph,Royal Cat Records,Guelph,ON,Sells;Buys,,"Buys: ""we buy"" @ /",http://royalcatrecords.blogspot.ca
simply-wonderful-toys-gizmos-inc-guelph,Simply Wonderful Toys & Gizmos Inc,Guelph,ON,Sells,Pokemon,,http://www.simplywonderfultoys.ca
the-beat-goes-on-guelph,The Beat Goes On,Guelph,ON,Sells;Buys,,"Buys: ""we buy"" @ /",http://www.beatgoeson.com
the-bookshelf-guelph,The Bookshelf,Guelph,ON,Sells,,,https://bookshelf.ca
the-dragon-guelph,The Dragon,Guelph,ON,Sells;Buys;Trade Nights,Magic;Pokemon,"Buys: ""bring in your"" @ /pages/about-us | Trade Nights: ""tournament"" @ /pages/about-us",http://www.dragonguelph.com
the-trading-post-guelph,The Trading Post,Guelph,ON,Sells;Buys;Sells Wax;Trade Nights,Football;Magic;Pokemon,"Buys: ""buylist"" @ / | Sells Wax: ""sealed product"" @ / | Trade Nights: ""game night"" @ /",https://roundtabletavern.crystalcommerce.com
wyndham-art-supplies-guelph,Wyndham Art Supplies,Guelph,ON,Sells,Basketball;Football,,https://www.wyndhamartsupplies.com
1up-games-hamilton,1UP Games,Hamilton,ON,Sells;Trades Singles;Trade Nights,Pokemon,"Trades Singles: ""trade-in"" @ / | Trade Nights: ""tournament"" @ /about-us/",https://www.1upgames.ca
big-b-comics-hamilton,Big B Comics,Hamilton,ON,Sells;Buys;Trades Singles,Magic;Pokemon,"Buys: ""we buy"" @ /pages/sell-to-big-b-comics | Trades Singles: ""trade-in"" @ /pages/sell-to-big-b-comics",http://www.bigbcomics.com
black-knight-games-hamilton,Black Knight Games,Hamilton,ON,Sells;Buys;Trades Singles;Sells Wax;Trade Nights,Football;Magic;Pokemon,"Sells Wax: ""booster box"" @ / | Buys: ""we buy"" @ /pages/sell-your-mtg | Trades Singles: ""trade-in"" @ /pages/sell-your-mtg | Trade Nights: ""tournament"" @ /pages/sell-your-mtg",https://blackknightgames.ca
breakaway-sports-cards-hamilton,Breakaway Sports Cards,Hamilton,ON,Sells;Sells Wax;Breaks;Trade Nights,Baseball;Basketball;Football;Hockey;Pokemon,"Sells Wax: ""hobby box"" @ / | Breaks: ""group break"" @ / | Trade Nights: ""tournament"" @ /",http://www.breakawaysc.com
burdin-s-comics-hamilton,Burdin's Comics,Hamilton,ON,Sells,,,http://www.burdinscomics.com
conspiracy-comics-games-anime-hamilton,Conspiracy Comics Games & Anime,Hamilton,ON,Sells,Magic;Pokemon,,https://conspiracycomics.com
dark-fox-tcg-hamilton,Dark Fox TCG,Hamilton,ON,Sells;Buys;Grading Services;Sells Wax;Trade Nights,Magic;Pokemon,"Buys: ""buylist"" @ / | Sells Wax: ""sealed product"" @ / | Grading Services: ""grading service"" @ /pages/faq | Trade Nights: ""tournament"" @ /pages/faq",http://darkfoxtcg.com
m4-sports-cards-and-collectibles-hamilton,M4 Sports Cards and Collectibles,Hamilton,ON,Sells,,,http://m4cardstore.ca
mancala-monk-board-game-cafe-hamilton-hamilton,Mancala Monk Board Game Cafe Hamilton,Hamilton,ON,Sells;Trade Nights,Magic,"Trade Nights: ""game night"" @ /boardgamecafehamilton.html",http://www.mancalamonk.com
mypops-ca-hamilton-toys-funko-tcg-hamilton,MyPops.ca Hamilton Toys & Funko & TCG,Hamilton,ON,Sells;Buys;Trades Singles;Sells Wax,Football;Magic;Pokemon,"Buys: ""sell your"" @ / | Trades Singles: ""trade-in"" @ / | Sells Wax: ""blaster"" @ /",https://www.mypops.ca
never-board-games-lounge-hamilton,Never Board Games Lounge,Hamilton,ON,Sells,,,https://neverboardgames.ca
paradoxtcg-hamilton,ParadoxTCG,Hamilton,ON,Sells,,,https://paradoxtcg.com
retrosaurus-hamilton,Retrosaurus,Hamilton,ON,Sells;Buys,Pokemon,"Buys: ""we buy"" @ /sell.html",http://retrosaurus.ca
the-bard-and-bear-games-cafe-hamilton-hamilton,The Bard and Bear Games Cafe Hamilton,Hamilton,ON,Sells;Trade Nights,Football;Magic,"Trade Nights: ""game night"" @ /",https://thebardandbear.ca
the-dragon-s-lair-unleashed-hamilton,The Dragon's Lair Unleashed,Hamilton,ON,Sells,,,http://www.dragonslairunleashed.com
tistaminis-hamilton,Tistaminis,Hamilton,ON,Sells,,,http://tistaminis.com
waypoint-games-hamilton,Waypoint Games,Hamilton,ON,Sells;Buys;Sells Wax;Trade Nights,Magic;Pokemon,"Buys: ""buylist"" @ / | Sells Wax: ""sealed product"" @ / | Trade Nights: ""tournament"" @ /policies/terms-of-service",http://www.waypointgames.ca
webber-s-balloons-cards-and-collectibles-hamilton,"Webber's Balloons, Cards and Collectibles",Hamilton,ON,Sells;Sells Wax,Baseball;Basketball;Football;Hockey;Magic;Pokemon,"Sells Wax: ""hobby box"" @ /",https://www.webberscards.ca
up-north-games-huntsville,Up North Games,Huntsville,ON,Sells;Trade Nights,Magic,"Trade Nights: ""game night"" @ /",http://www.upnorthgames.ca
action-packed-comics-games-kingston,Action Packed Comics & Games,Kingston,ON,Sells;Trade Nights,Baseball;Football;Hockey;Magic;Pokemon,"Trade Nights: ""game night"" @ /",http://actionpackedcomics.com
art-noise-kingston,Art Noise,Kingston,ON,Sells,,,http://shop.artnoise.ca
booster-house-kingston,Booster House,Kingston,ON,Sells,Magic;Pokemon,,http://www.boosterhouse.ca
chumleighs-kingston,Chumleighs,Kingston,ON,Sells;Buys,,"Buys: ""sell to us"" @ https://www.chumleighs.com/faq",http://www.chumleighs.com
improbable-escapes-board-game-lounge-kingston,Improbable Escapes: Board Game Lounge,Kingston,ON,Sells;Trade Nights,Magic;Pokemon,"Trade Nights: ""tournament"" @ /",http://shop.improbableescapes.com
kingston-card-den-kingston,Kingston Card Den,Kingston,ON,Sells;Buys,Hockey;Pokemon,"Buys: ""we buy"" @ /",https://kingstoncardden.ca
kingston-gaming-nexus-kingston,Kingston Gaming Nexus,Kingston,ON,Sells;Trade Nights,Magic;Pokemon,"Trade Nights: ""tournament"" @ /",http://kingstonnexus.ca
minotaur-games-and-gifts-kingston,Minotaur Games and Gifts,Kingston,ON,Sells;Trade Nights,,"Trade Nights: ""tournament"" @ /",http://www.minotaurgifts.com
mmlorcana-kingston,MMLorcana,Kingston,ON,Sells;Buys,,"Buys: ""sell your"" @ /",https://mmlorcana.ca
novel-idea-kingston,Novel Idea,Kingston,ON,Sells,,,http://novelideabooks.ca/wp
the-rocking-horse-toys-kingston,The Rocking Horse Toys,Kingston,ON,Sells,,,http://www.therockinghorse.ca
tom-tech-repairs-game-vault-kingston-kingston,Tom Tech Repairs & Game Vault Kingston,Kingston,ON,Sells,,,https://games.tomtechrepairs.ca
chimera-gaming-kitchener,Chimera Gaming,Kitchener,ON,Sells;Buys;Trades Singles;Grading Services;Sells Wax;Trade Nights,Basketball;Football;Magic;Pokemon,"Buys: ""sell your"" @ / | Grading Services: ""grading service"" @ / | Sells Wax: ""booster box"" @ / | Trade Nights: ""tournament"" @ / | Trades Singles: ""trade-in"" @ /pages/our-buylist-makes-trades-easy",http://www.chimeragamingonline.com
card-cycle-london,Card Cycle,London,ON,Sells;Trades Singles;Sells Wax;Trade Nights,Pokemon,"Trades Singles: ""trade-in"" @ / | Sells Wax: ""sealed product"" @ / | Trade Nights: ""tournament"" @ /",https://cardcycle.ca
cellular-magician-london,Cellular Magician,London,ON,Sells;Buys,,"Buys: ""sell your"" @ /",https://www.cellularmagician.ca
ea-collectibles-london,EA Collectibles,London,ON,Sells;Buys;Trades Singles;Sells Wax;Trade Nights,Football;Magic;Pokemon,"Buys: ""we buy"" @ / | Trades Singles: ""trade-in"" @ / | Sells Wax: ""sealed product"" @ / | Trade Nights: ""tournament"" @ /",https://www.eacollectibles.com
forest-city-coins-stamps-london,Forest City Coins & Stamps,London,ON,Sells;Buys;Sells Wax,Baseball;Hockey;Magic;Pokemon,"Sells Wax: ""booster box"" @ / | Buys: ""sell your"" @ /pages/other-card-grading",https://forestcitycollectibles.com
game-cycle-hamilton-road-london,Game Cycle Hamilton Road,London,ON,Sells,,,http://www.gamecycle.ca
game-cycle-london-wharncliffe-london,Game Cycle London Wharncliffe,London,ON,Sells,,,http://www.gclw.ca
game-knight-leagues-london,Game Knight Leagues,London,ON,Sells;Sells Wax,Football;Magic,"Sells Wax: ""sealed product"" @ /",http://www.gameknightleagues.com
gamers-emporium-london,Gamers Emporium,London,ON,Sells;Sells Wax,Football;Magic;Pokemon,"Sells Wax: ""booster box"" @ /",http://gamersemporium.ca
heaven-s-collectibles-tcg-london,Heaven's Collectibles & TCG,London,ON,Sells;Grading Services;Sells Wax,Pokemon,"Grading Services: ""grading service"" @ / | Sells Wax: ""sealed product"" @ /",https://heavenscollectibles.ca
heroes-comics-london,Heroes Comics,London,ON,Sells,Magic,,https://heroescomics.ca
hi-times-head-shop-indoor-growing-equipment-indoor-grow-shop-hydroponics-london,Hi-Times (Head Shop + Indoor Growing Equipment +Indoor Grow Shop Hydroponics,London,ON,Sells,,,http://hitimes.ca
l-a-mood-comics-games-london,L. A. Mood Comics & Games,London,ON,Sells;Buys,Hockey;Magic;Pokemon,"Buys: ""buylist"" @ /",https://lamoodcomics.ca
neo-tokyo-the-anime-store-london,Neo Tokyo The Anime Store,London,ON,Sells,Basketball;Pokemon,,http://www.neotokyo.ca
players-cards-and-collectibles-london,Players Cards and Collectibles,London,ON,Sells;Sells Wax;Trade Nights,Baseball;Basketball;Football;Hockey;Magic;Pokemon,"Sells Wax: ""sealed product"" @ / | Trade Nights: ""tournament"" @ /collections/graded-yugioh",http://playerscandc.com
pokanada-sealed-pokemon-section-inside-pharmacy-london,Pokanada (Sealed Pokemon section inside pharmacy),London,ON,Sells,,,http://www.pokanada.ca
premium-sports-cards-london,Premium Sports Cards,London,ON,Sells;Sells Wax,Baseball;Basketball;Football;Hockey;Pokemon,"Sells Wax: ""blaster"" @ /",http://premiumsportscards.ca
realm-hoppers-london,Realm Hoppers,London,ON,Sells;Buys;Trades Singles;Grading Services;Sells Wax;Trade Nights,Magic;Pokemon,"Buys: ""buylist"" @ / | Sells Wax: ""booster box"" @ / | Trade Nights: ""tournament"" @ / | Trades Singles: ""trade-in"" @ /pages/buylist-information | Grading Services: ""submit your cards"" @ /pages/buylist-information",https://realmhoppers.com
seven-sisters-ritual-apothecary-london,Seven Sisters Ritual Apothecary,London,ON,Sells,,,http://sevensisters.ca
the-game-chamber-london,The Game Chamber,London,ON,Sells;Sells Wax;Trade Nights,Magic;Pokemon,"Sells Wax: ""sealed product"" @ / | Trade Nights: ""tournament"" @ /collections/best-selling-boardgames",http://www.thegamechamber.com
the-mana-lounge-london,The Mana Lounge,London,ON,Sells;Sells Wax;Trade Nights,Basketball;Magic;Pokemon,"Sells Wax: ""booster box"" @ / | Trade Nights: ""tournament"" @ /",http://www.manalounge.ca
a-j-hobbies-markham,A&J Hobbies,Markham,ON,Sells,,,http://www.hobbyprosdepot.com
advance-rc-hobbies-markham,Advance RC & Hobbies,Markham,ON,Sells,,,https://advancerc.ca
card-board-gaming-appointment-only-markham,Card Board Gaming - Appointment Only,Markham,ON,Sells;Sells Wax,Pokemon,"Sells Wax: ""sealed product"" @ /",https://cardboardgaming.ca
chigun-hobbies-markham,Chigun Hobbies,Markham,ON,Sells,Pokemon,,https://www.chigunhobbies.com
comfy-hobbies-markham,Comfy Hobbies,Markham,ON,Sells;Sells Wax;Trade Nights,Magic;Pokemon,"Sells Wax: ""sealed product"" @ / | Trade Nights: ""tournament"" @ /",https://comfyhobbies.com
cool-dragon-hobby-markham,Cool Dragon Hobby,Markham,ON,Sells,Pokemon,,https://cooldragonhobby.ca
fine-toys-store-markham,Fine Toys Store,Markham,ON,Sells;Sells Wax,Baseball;Basketball;Football;Magic;Pokemon,"Sells Wax: ""booster box"" @ /",https://www.finetoys.ca
five-dragons-hobbies-markham,Five Dragons hobbies,Markham,ON,Sells,,,https://www.fivedragonshobby.ca
george-s-trains-markham,George's Trains,Markham,ON,Sells;Trades Singles,,"Trades Singles: ""trade-in"" @ /about-us",http://www.georgestrains.com
horizon-diecast-markham,Horizon Diecast,Markham,ON,Sells,,,https://horizondiecast.com
k-os-collectibles-inc-markham,K-OS Collectibles Inc,Markham,ON,Sells;Sells Wax,Pokemon,"Sells Wax: ""booster box"" @ /",https://koscollectibles.ca
kadoone-markham,KadOone,Markham,ON,Sells;Buys;Sells Wax,Magic;Pokemon,"Buys: ""buylist"" @ / | Sells Wax: ""booster box"" @ /",http://kadoone.ca
manta-trading-markham,Manta Trading,Markham,ON,Sells;Sells Wax,Pokemon,"Sells Wax: ""sealed product"" @ /",https://mantatrading.com
masterset-co-markham,MasterSet Co.,Markham,ON,Sells;Grading Services;Sells Wax;Trade Nights,Pokemon,"Grading Services: ""psa submission"" @ / | Sells Wax: ""booster box"" @ / | Trade Nights: ""tournament"" @ /",https://masterset.ca
much-hobby-online-shopping-markham,Much Hobby Online Shopping,Markham,ON,Sells;Sells Wax,,"Sells Wax: ""blaster"" @ /",https://www.muchhobbyonline.com/aboutus.asp
mypops-ca-markham-toys-funko-tcg-markham,MyPops.ca Markham Toys Funko TCG,Markham,ON,Sells;Buys;Trades Singles;Sells Wax,Football;Magic;Pokemon,"Buys: ""sell your"" @ / | Trades Singles: ""trade-in"" @ / | Sells Wax: ""blaster"" @ /",http://mypops.ca
nerdvana-cards-games-markham,Nerdvana Cards & Games,Markham,ON,Sells;Sells Wax,Magic;Pokemon,"Sells Wax: ""sealed product"" @ /",https://www.nerdvanacardsandgames.com
nexpack-collectibles-trading-card-shop-markham,NexPack Collectibles - Trading Card Shop,Markham,ON,Sells;Sells Wax;Trade Nights,Basketball;Football;Hockey;Magic;Pokemon,"Sells Wax: ""booster box"" @ / | Trade Nights: ""tournament"" @ /",https://www.npcollectibles.com
not-a-hobby-shop-goose-guzzu-mart-markham,Not A Hobby Shop & Goose Guzzu Mart,Markham,ON,Sells,,,https://www.notahobby.shop
panda-hobby-canada-s-largest-gundam-store-markham,Panda Hobby - Canada's Largest Gundam Store,Markham,ON,Sells;Trades Singles,Pokemon,"Trades Singles: ""trade-in"" @ /",http://www.pandahobby.ca
playdexk-markham,Playdexk,Markham,ON,Sells,,,https://playdexk.com
pvp-shoppe-markham,PvP Shoppe,Markham,ON,Sells;Grading Services;Sells Wax;Trade Nights,Magic;Pokemon,"Grading Services: ""grading service"" @ / | Sells Wax: ""sealed product"" @ / | Trade Nights: ""tournament"" @ /pages/card-condition-grading-guide",https://pvpshoppe.com
sino-hobby-markham-markham,Sino Hobby Markham,Markham,ON,Sells,,,http://sinohobby.ca
