Next Level Games and Collectibles,Summerside,"251 Water St Unit E, Summerside, PE C1N 1B5",,,(902) 436-4263,,,Buys;Sells;Trades Singles;Grading Services;Sells Wax,Hockey;Baseball;Basketball;Football;Pokemon;Magic;Other,46.39171,-63.79050
Muskoka Cards & Collectibles,Bracebridge,"16A Manitoba St, Bracebridge, ON P1L 1R9",,,,,facebook.com/61558834052520/,Sells;Trade Nights,Pokemon;Magic,45.04050,-79.30929
Prospects Antiques & Sports Cards,Gravenhurst,"130 Muskoka Road South, Gravenhurst, ON P1P 1T5",,,(705) 687-6449,,,Sells,Other,44.91946,-79.37376
Event Horizon Hobbies,Midland,"845 King St Suite 7-9, Midland, ON L4R 0B7",,,705-245-0110,eventhorizonhobbies.com,facebook.com/EventHorizonHobbiesCA/,Sells,Magic;Pokemon;Other,44.73465,-79.87138
Dark Crystal Cards,Paris,"19 Broadway St West Unit 7, Paris, ON L3L 2S3",,,,darkcrystalcards.com,,Sells,Magic;Pokemon;Other,43.19354,-80.38523
"Webber's Balloons, Cards and Collectibles",Dundas,"130 King St W, Dundas, ON L9H 1V2",,,,webberscards.com,,Sells,Hockey;Pokemon;Magic;Other,43.26667,-79.95932
HOB's Hobbies,Strathmore,"116 2 Ave, Strathmore, AB T1P 1A3",,,(403) 983-1115,https://www.hobshobbies.com,,Sells;Trades Singles;Trade Nights,Magic;Pokemon;Other,51.04375,-113.39498
Rock City Comics,Rocky Mountain House,"4918 50 Street, Rocky Mountain House, AB",,,(403) 846-1337,,https://www.facebook.com/Rockcitycomics97/,Sells,Hockey;Other,52.37359,-114.91970
International Battle & Hobby Card Collective (IBHCC Inc.),Vegreville,"#101, 5105 49 Street, Vegreville, AB T9C 1L9",,,,https://www.ibhcc.store,https://www.instagram.com/ibhccstore2025/,Buys;Sells;Trades Singles;Grading Services,Pokemon;Magic,53.49451,-112.04863
Hyper Games Chamber,Slave Lake,"124 6 Avenue SE, Slave Lake, AB T0G 2A3",,,(780) 536-0909,https://www.hypergameschamber.ca,https://www.facebook.com/HyperGamesChamber/,Sells,Magic;Other,55.27883,-114.77066
Game Day Hobbies and Collectables,Wetaskiwin,"4802 56 Street, Wetaskiwin, AB T9A 1V1",,,,,,Sells;Trades Singles,Hockey;Magic;Other,52.96925,-113.39069
Chase The Hits Inc,Cochrane,"#15-118 1st Avenue SW, Cochrane, AB",,,,,https://www.facebook.com/61581013060272/,Sells;Trades Singles,Magic;Other,51.19032,-114.46777
Pandora's Boox,Olds,"5009 51 St, Olds, AB T4H 1P6",,,,,https://www.facebook.com/PandorasBooxTea/,Sells,Magic;Other,51.79122,-114.10621
Dad's Day Off Games & Hobbies (DDOGames),Blackfalds,"4825 Westbrooke Rd, Blackfalds, AB T4M 0K7",,,,https://ddogames.myshopify.com,https://www.facebook.com/dadsdayoffgames/,Sells;Trades Singles,Magic;Pokemon;Other,52.38856,-113.80014
Brightside Hobbies (Brightside TCG),Morinville,"10130 100 Ave, Morinville, AB T8R 1P8",,,(780) 939-4910,,https://www.facebook.com/brightsidecard/,Buys;Sells;Trades Singles,Pokemon;Other,53.80210,-113.64890
Orchard City Games - Wainwright,Wainwright,"215 10th Street, Wainwright, AB",,,,,https://www.facebook.com/IWTSalberta/,Buys;Sells;Trades Singles,Magic;Other,52.11805,-106.66653
Nova's Sports Cards,Lloydminster (SK side),"4517 50 Ave Unit #4, Lloydminster, SK S9V 0Z9",,,,https://novassportscards.ca,https://www.facebook.com/NovasSportsCards/,Buys;Sells;Trades Singles;Sells Wax,Hockey;Baseball;Basketball;Football;Other,53.27956,-110.00498
Skies the Limit Fireworks & Toys,Yorkton,"32 Betts Ave, Yorkton, SK S3N 1L9",,,(306) 748-0070,https://www.skiesthelimittoys.ca,https://www.facebook.com/JorS3N/,Sells;Trade Nights,Magic;Other,51.21139,-102.46422
Neko's (Game Store & Car Wash),Thompson,"5 Thompson Drive, Thompson, MB",,,,https://www.shopnekos.ca,https://www.facebook.com/shopnekosca/,Sells;Trades Singles,Other,55.74409,-97.84203
BAM Cards and Collectibles,Carman,"69B Main St. South, Carman, MB R0G 0J0",,,,,,Buys;Sells;Trades Singles;Sells Wax,Hockey;Pokemon;Other,49.50611,-98.00119
