Top queries,Clicks,Impressions,CTR,Position
rival cards reviews,0.0,8.0,0.0,6.38
kanto poke mart,0.0,8.0,0.0,6.62
collectors avenue west island,0.0,8.0,0.0,6.88
onyx cards collingwood,0.0,8.0,0.0,7.62
novas sports cards,0.0,8.0,0.0,7.75
the fort gaming,0.0,8.0,0.0,8.0
stakk saint eustache,0.0,8.0,0.0,8.38
lets collect cards,0.0,8.0,0.0,8.5
ppag,0.0,8.0,0.0,9.88
trading card store lindsay,0.0,8.0,0.0,10.0
hockey cards near me,0.0,8.0,0.0,10.38
pastimes langley,0.0,8.0,0.0,11.0
coupe stanley st jerome,0.0,8.0,0.0,12.88
psa canada mississauga,0.0,8.0,0.0,15.88
august card show,0.0,7.0,0.0,5.14
a-spec cards inc. milton reviews,0.0,7.0,0.0,5.29
heavyjs,0.0,7.0,0.0,6.57
loot kingdom reviews,0.0,7.0,0.0,6.86
card cycle,0.0,7.0,0.0,7.0
game time collectibles reviews,0.0,7.0,0.0,7.0
gamebreakers reviews,0.0,7.0,0.0,7.14
pastime sports north vancouver,0.0,7.0,0.0,7.14
total sports cards & collectibles reviews,0.0,7.0,0.0,7.14
lets play cards and games,0.0,7.0,0.0,7.57
henrys hut,0.0,7.0,0.0,7.86
infinity cards aldergrove,0.0,7.0,0.0,7.86
m&l sports cards,0.0,7.0,0.0,8.14
418 sport,0.0,7.0,0.0,8.57
the trading post guelph,0.0,7.0,0.0,8.57
nexpack collectibles reviews,0.0,7.0,0.0,8.71
miraj trading montreal,0.0,7.0,0.0,9.29
tom tech repairs,0.0,7.0,0.0,9.43
sports cards hamilton,0.0,7.0,0.0,9.57
springer hobbies,0.0,7.0,0.0,9.71
tugs drumheller,0.0,7.0,0.0,9.86
georges ii,0.0,7.0,0.0,10.0
hobbiesville toronto reviews,0.0,7.0,0.0,10.0
hockey cards hamilton,0.0,7.0,0.0,10.0
stadium sports cards,0.0,7.0,0.0,10.14
cards near me,0.0,7.0,0.0,10.86
colossal cards & collectables,0.0,7.0,0.0,10.86
collect em all thunder bay,0.0,7.0,0.0,11.14
sports cards stores near me,0.0,7.0,0.0,12.0
let's play cards and games,0.0,7.0,0.0,13.71
level up games vaughan,0.0,7.0,0.0,13.86
card shop vernon,0.0,7.0,0.0,67.71
dice hollow,0.0,6.0,0.0,5.17
coins cards,0.0,6.0,0.0,6.0
merchant shop bathurst,0.0,6.0,0.0,6.0
prairie canucks,0.0,6.0,0.0,6.5
gamevault kingston,0.0,6.0,0.0,6.83
goalline sports,0.0,6.0,0.0,7.0
trading card shops near me,0.0,6.0,0.0,7.0
wayne sports cards,0.0,6.0,0.0,7.0
card den,0.0,6.0,0.0,7.33
hope club collectibles,0.0,6.0,0.0,7.33
panda hobby canada,0.0,6.0,0.0,7.33
stakk quebec,0.0,6.0,0.0,7.33
pvp shop,0.0,6.0,0.0,7.5
sports la tornade,0.0,6.0,0.0,7.83
trading card store near me,0.0,6.0,0.0,7.83
local legends vancouver,0.0,6.0,0.0,8.0
pastime sports and games burnaby reviews,0.0,6.0,0.0,8.17
pastime sports metrotown,0.0,6.0,0.0,8.33
shikdar trading,0.0,6.0,0.0,8.33
warp zone gaming,0.0,6.0,0.0,8.5
boutique la coupe stanley,0.0,6.0,0.0,8.67
capital city cards & collectibles,0.0,6.0,0.0,8.83
players cards and collectibles reviews,0.0,6.0,0.0,8.83
m&l sports cards and collectables,0.0,6.0,0.0,9.0
psa drop off mississauga,0.0,6.0,0.0,9.0
topshelfco,0.0,6.0,0.0,9.17
comfy hobbies,0.0,6.0,0.0,9.5
totalsports cards,0.0,6.0,0.0,9.5
prisma games hours,0.0,6.0,0.0,9.83
the trading card store lindsay,0.0,6.0,0.0,10.0
trading post guelph,0.0,6.0,0.0,10.0
babs gaming,0.0,6.0,0.0,10.17
gateway cards and sports,0.0,6.0,0.0,10.17
maximum cards,0.0,6.0,0.0,10.33
legendary collectables reviews,0.0,6.0,0.0,10.5
microplay guelph,0.0,6.0,0.0,10.83
pirates cove lethbridge,0.0,6.0,0.0,11.5
sports card near me,0.0,6.0,0.0,11.5
omars vernon,0.0,6.0,0.0,12.17
warhammer london ontario,0.0,6.0,0.0,14.83
psa grading cost canada,0.0,6.0,0.0,28.0
vernon game store,0.0,6.0,0.0,71.0
card shops,0.0,5.0,0.0,3.8
dollys cards waterloo,0.0,5.0,0.0,4.6
psa mississauga drop off,0.0,5.0,0.0,5.0
"1042 garner road w, unit a105",0.0,5.0,0.0,6.2
skaf's let's play,0.0,5.0,0.0,6.2
shoebox games & cafe reviews,0.0,5.0,0.0,6.6
kingston card den reviews,0.0,5.0,0.0,6.8
m4 collectibles,0.0,5.0,0.0,6.8
card shop medicine hat,0.0,5.0,0.0,7.0
nd sports cards ltd,0.0,5.0,0.0,7.6
digital oasis reviews,0.0,5.0,0.0,7.8
hobby sport,0.0,5.0,0.0,7.8
hockey card stores near me,0.0,5.0,0.0,7.8
m4 card store hamilton,0.0,5.0,0.0,7.8
local comic shop,0.0,5.0,0.0,8.0
house of cards cloverdale reviews,0.0,5.0,0.0,8.2
"1400 boul édouard suite 117 saint-hubert, qc, j4t 3t2",0.0,5.0,0.0,8.4
sports collectibles near me,0.0,5.0,0.0,8.4
the card rack,0.0,5.0,0.0,8.4
"red dragon comics, cards, games reviews",0.0,5.0,0.0,8.6
between 2 games,0.0,5.0,0.0,9.2
go beyond games dauphin,0.0,5.0,0.0,9.2
hockey card buyers near me,0.0,5.0,0.0,9.4
sports card buyers near me,0.0,5.0,0.0,9.4
black rose hobbies,0.0,5.0,0.0,9.6
celly sports and games reviews,0.0,5.0,0.0,9.8
sky's the limit yorkton,0.0,5.0,0.0,9.8
sports card stores winnipeg,0.0,5.0,0.0,9.8
amg hours,0.0,5.0,0.0,10.0
henrys hut new glasgow,0.0,5.0,0.0,10.0
card collectors near me,0.0,5.0,0.0,10.4
pokemon cards canmore,0.0,5.0,0.0,10.4
the vault lethbridge,0.0,5.0,0.0,10.4
atlas collectables,0.0,5.0,0.0,10.6
paradise games spruce grove,0.0,5.0,0.0,10.6
games hq port perry,0.0,5.0,0.0,10.8
mint collectables bolton,0.0,5.0,0.0,11.0
psa near me,0.0,5.0,0.0,11.2
coins cards and collectibles,0.0,5.0,0.0,11.4
skies the limit yorkton,0.0,5.0,0.0,11.6
sports cards shops near me,0.0,5.0,0.0,13.4
m4 card store,0.0,5.0,0.0,28.0
psa canada phone number,0.0,5.0,0.0,45.2
imaginaire near me,0.0,5.0,0.0,47.0
card shop barrie,0.0,5.0,0.0,72.6
sports card shows in ontario this weekend,0.0,5.0,0.0,74.2
barrie card shops,0.0,5.0,0.0,75.4
vernon card shop,0.0,5.0,0.0,80.8
soul tcg ottawa,0.0,4.0,0.0,2.5
la tornade vaudreuil,0.0,4.0,0.0,5.75
nova cards lloydminster,0.0,4.0,0.0,5.75
cardboard casket medicine hat,0.0,4.0,0.0,6.75
esper cards and games reviews,0.0,4.0,0.0,6.75
skaff express,0.0,4.0,0.0,6.75
quarantined case breaks,0.0,4.0,0.0,7.0
stack st eustache,0.0,4.0,0.0,7.0
the hobby spot & quarantined case breaks,0.0,4.0,0.0,7.0
flaring lair reviews,0.0,4.0,0.0,7.25
merchants inventory bathurst,0.0,4.0,0.0,7.25
vintage pursuit,0.0,4.0,0.0,7.25
wayne's sports cards & collectibles reviews,0.0,4.0,0.0,7.25
duck duck games & collectibles,0.0,4.0,0.0,7.5
hobby stop tcg & collectibles,0.0,4.0,0.0,7.5
vulcan collectibles reviews,0.0,4.0,0.0,7.5
imperial garden sports,0.0,4.0,0.0,7.75
outofthebox ottawa,0.0,4.0,0.0,7.75
westsportscards,0.0,4.0,0.0,7.75
card shops around me,0.0,4.0,0.0,8.0
games nook ii,0.0,4.0,0.0,8.0
hockey cards grande prairie,0.0,4.0,0.0,8.0
wallys pro sports cards,0.0,4.0,0.0,8.0
action packed kingston,0.0,4.0,0.0,8.25
diadem sudbury,0.0,4.0,0.0,8.25
gamesland reviews,0.0,4.0,0.0,8.25
holmestead red deer,0.0,4.0,0.0,8.25
lower level sports cards,0.0,4.0,0.0,8.25
m&l sports cards and collectables reviews,0.0,4.0,0.0,8.25
401 cards,0.0,4.0,0.0,8.5
fort sask card shop,0.0,4.0,0.0,8.5
gamer spot trois rivieres,0.0,4.0,0.0,8.5
cardboard slingers reviews,0.0,4.0,0.0,8.75
cardera collectibles reviews,0.0,4.0,0.0,8.75
heavy js,0.0,4.0,0.0,8.75
heroes and legends,0.0,4.0,0.0,8.75
wisers card store,0.0,4.0,0.0,8.75
cards store near me,0.0,4.0,0.0,9.0
gamerspot trois rivieres,0.0,4.0,0.0,9.0
hamilton sports cards,0.0,4.0,0.0,9.0
nba cards near me,0.0,4.0,0.0,9.0
outpost gaming,0.0,4.0,0.0,9.0
prisma games reviews,0.0,4.0,0.0,9.0
valixya,0.0,4.0,0.0,9.0
waynes sports cards,0.0,4.0,0.0,9.0
local legends cards,0.0,4.0,0.0,9.25
rival cards ajax,0.0,4.0,0.0,9.25
tabletop games yellowknife,0.0,4.0,0.0,9.25
card places near me,0.0,4.0,0.0,9.5
card shop lindsay,0.0,4.0,0.0,9.5
la coupe stanley st jerome,0.0,4.0,0.0,9.5
mb carte,0.0,4.0,0.0,9.5
pastime langley,0.0,4.0,0.0,9.5
where to buy cards near me,0.0,4.0,0.0,9.5
cardboard classics reviews,0.0,4.0,0.0,9.75
lindsay card shop,0.0,4.0,0.0,9.75
699 gardiners road kingston,0.0,4.0,0.0,10.25
gator bytes,0.0,4.0,0.0,10.25
sport card shops near me,0.0,4.0,0.0,10.25
gamer's spot trois-rivières,0.0,4.0,0.0,10.5
l'imaginaire chicoutimi,0.0,4.0,0.0,10.5
pastime sports and games surrey reviews,0.0,4.0,0.0,10.5
coin de la carte,0.0,4.0,0.0,11.0
foyer du video,0.0,4.0,0.0,11.0
foyer du video maniwaki,0.0,4.0,0.0,11.0
pokemon cards laval,0.0,4.0,0.0,11.0
tactical magic,0.0,4.0,0.0,11.0
foyer du vidéo maniwaki,0.0,4.0,0.0,11.25
calgary hockey card stores,0.0,4.0,0.0,12.0
card corner port alberni,0.0,4.0,0.0,12.0
game cycle hours,0.0,4.0,0.0,12.0
local legends cards & collectibles,0.0,4.0,0.0,12.5
wax box club,0.0,4.0,0.0,12.5
helou's sports cards and collectibles,0.0,4.0,0.0,13.0
the outpost edmonton,0.0,4.0,0.0,13.0
bgs grading canada,0.0,4.0,0.0,14.75
kadoone,0.0,4.0,0.0,18.25
rain city games new west,0.0,4.0,0.0,18.5
london card stores,0.0,4.0,0.0,27.0
hobby card shops near me,0.0,4.0,0.0,30.5
card grading near me,0.0,4.0,0.0,31.75
nefarious comics ottawa,0.0,4.0,0.0,33.5
pokemon card shops near me,0.0,4.0,0.0,37.75
card shops richmond,0.0,4.0,0.0,46.25
hobby stores sudbury,0.0,4.0,0.0,47.25
sport card & memorabilia expo,0.0,4.0,0.0,48.5
ottawa pokemon card show,0.0,4.0,0.0,60.0
game store vernon,0.0,4.0,0.0,65.25
mtg cards vernon,0.0,4.0,0.0,78.5
premire sportscards reviews,0.0,3.0,0.0,3.0
dolly's cards and collectibles waterloo reviews,0.0,3.0,0.0,3.67
docs hobby,0.0,3.0,0.0,4.33
empire trading,0.0,3.0,0.0,4.67
paris card shop,0.0,3.0,0.0,5.0
the card palace,0.0,3.0,0.0,5.33
beyond the pond sports cards and collectables,0.0,3.0,0.0,5.67
dave sports cards,0.0,3.0,0.0,5.67
dbsport collectibles,0.0,3.0,0.0,6.0
past time guildford,0.0,3.0,0.0,6.0
tom tech repairs & game vault kingston reviews,0.0,3.0,0.0,6.0
daves card shop cornwall,0.0,3.0,0.0,6.33
putali chowk reviews,0.0,3.0,0.0,6.33
cartes sportives rive sud mcmasterville,0.0,3.0,0.0,6.67
flip collectibles shop,0.0,3.0,0.0,6.67
heaven's collectibles,0.0,3.0,0.0,6.67
kos cards,0.0,3.0,0.0,6.67
pastimes guildford,0.0,3.0,0.0,6.67
andys cards,0.0,3.0,0.0,7.0
andys sports,0.0,3.0,0.0,7.0
fort gaming,0.0,3.0,0.0,7.0
hall of fame collection burlington,0.0,3.0,0.0,7.0
heavy jays sarnia,0.0,3.0,0.0,7.0
hobby stop,0.0,3.0,0.0,7.0
icons and heroes,0.0,3.0,0.0,7.0
sport la tornade,0.0,3.0,0.0,7.0
boutique coupe stanley,0.0,3.0,0.0,7.33
boutique nostalgies,0.0,3.0,0.0,7.33
collectors avenue decarie,0.0,3.0,0.0,7.33
daves sports cards,0.0,3.0,0.0,7.33
m4 sports cards and collectibles,0.0,3.0,0.0,7.33
mintyfresh collectibles,0.0,3.0,0.0,7.33
skaf's let's play thunder bay,0.0,3.0,0.0,7.33
table top renaissance,0.0,3.0,0.0,7.33
d&m sports cards,0.0,3.0,0.0,7.67
ea collectibles london,0.0,3.0,0.0,7.67
elsewhere new minas,0.0,3.0,0.0,7.67
game breakers,0.0,3.0,0.0,7.67
georges ii sherwood park,0.0,3.0,0.0,7.67
hobby sport iles de la madeleine,0.0,3.0,0.0,7.67
l'imaginaire laval,0.0,3.0,0.0,7.67
level up games near me,0.0,3.0,0.0,7.67
light the lamp sports cards,0.0,3.0,0.0,7.67
new rave tcg & hobbies oshawa,0.0,3.0,0.0,7.67
onyx cards and games reviews,0.0,3.0,0.0,7.67
pokemon shops near me,0.0,3.0,0.0,7.67
stakk qc,0.0,3.0,0.0,7.67
waynes cards,0.0,3.0,0.0,7.67
card store lachine,0.0,3.0,0.0,8.0
env collectible reviews,0.0,3.0,0.0,8.0
football cards near me,0.0,3.0,0.0,8.0
prairie canucks weyburn,0.0,3.0,0.0,8.0
rainbow end wolfville,0.0,3.0,0.0,8.0
sportsworld regina,0.0,3.0,0.0,8.0
spoutnik chandler,0.0,3.0,0.0,8.0
the trading card store lindsay reviews,0.0,3.0,0.0,8.0
total sport cards,0.0,3.0,0.0,8.0
warp zone gaming mississauga,0.0,3.0,0.0,8.0
chonky collectibles reviews,0.0,3.0,0.0,8.33
empire trading tcg,0.0,3.0,0.0,8.33
mypops.ca markham toys funko tcg reviews,0.0,3.0,0.0,8.33
sports cards markham,0.0,3.0,0.0,8.33
babs gaming and sports cards inc photos,0.0,3.0,0.0,8.67
card authentication near me,0.0,3.0,0.0,8.67
card rack fredericton,0.0,3.0,0.0,8.67
card store vaudreuil,0.0,3.0,0.0,8.67
cards coins and collectibles,0.0,3.0,0.0,8.67
colossal cards & collectables reviews,0.0,3.0,0.0,8.67
eastridge sports cards & games,0.0,3.0,0.0,8.67
first row collectibles,0.0,3.0,0.0,8.67
flawless victory prince albert,0.0,3.0,0.0,8.67
heroes and legends hamilton,0.0,3.0,0.0,8.67
hockey card shops near me,0.0,3.0,0.0,8.67
paradise games and customs,0.0,3.0,0.0,8.67
players choice kelowna,0.0,3.0,0.0,8.67
sportsworld collectibles regina,0.0,3.0,0.0,8.67
the merchant,0.0,3.0,0.0,8.67
west sports cards,0.0,3.0,0.0,8.67
basketball cards in store near me,0.0,3.0,0.0,9.0
card shops calgary,0.0,3.0,0.0,9.0
carte cachée,0.0,3.0,0.0,9.0
docs hobby shop sudbury,0.0,3.0,0.0,9.0
psa grading near me,0.0,3.0,0.0,9.0
sports card store near me now,0.0,3.0,0.0,9.0
henry hut,0.0,3.0,0.0,9.33
ksks sports collectibles,0.0,3.0,0.0,9.33
pokemon card store near me,0.0,3.0,0.0,9.33
card corner,0.0,3.0,0.0,9.67
fort games,0.0,3.0,0.0,9.67
homestead cards red deer,0.0,3.0,0.0,9.67
m and l sports cards,0.0,3.0,0.0,9.67
sell cards near me,0.0,3.0,0.0,9.67
boreal gaming and cards reviews,0.0,3.0,0.0,10.0
card near me,0.0,3.0,0.0,10.0
card store lindsay,0.0,3.0,0.0,10.0
pokemon card shop,0.0,3.0,0.0,10.0
"red dragon comics, cards, games",0.0,3.0,0.0,10.0
relics cards,0.0,3.0,0.0,10.0
where to buy pokemon cards around me,0.0,3.0,0.0,10.0
babs lloydminster,0.0,3.0,0.0,10.33
dolly's sports cards,0.0,3.0,0.0,10.33
georges sherwood park,0.0,3.0,0.0,10.33
psa canada receiving centre reviews,0.0,3.0,0.0,10.33
taps games reviews,0.0,3.0,0.0,10.33
the mana lounge reviews,0.0,3.0,0.0,10.33
gamers emporium,0.0,3.0,0.0,11.0
hallmark sault ste marie,0.0,3.0,0.0,11.0
mintink trading cards,0.0,3.0,0.0,11.0
psa office mississauga,0.0,3.0,0.0,11.0
north bay card shop,0.0,3.0,0.0,11.33
snap airdrie,0.0,3.0,0.0,11.33
waterloo card shop,0.0,3.0,0.0,11.33
pokemon cards saint john,0.0,3.0,0.0,11.67
acheton vendon rdl,0.0,3.0,0.0,12.0
heavy j sarnia,0.0,3.0,0.0,12.0
807 cards thunder bay,0.0,3.0,0.0,12.67
hockey cards sherwood park,0.0,3.0,0.0,13.0
omar's vernon,0.0,3.0,0.0,13.0
doe's cards,0.0,3.0,0.0,13.33
hockey cards red deer,0.0,3.0,0.0,15.0
topdeck boucherville,0.0,3.0,0.0,15.0
london card shop,0.0,3.0,0.0,15.33
psa mississauga,0.0,3.0,0.0,16.0
aj sports toronto,0.0,3.0,0.0,17.67
card break nl,0.0,3.0,0.0,19.0
trading card stores near me,0.0,3.0,0.0,19.67
psa toronto office,0.0,3.0,0.0,20.0
canada psa grading,0.0,3.0,0.0,23.0
where to sell hockey cards near me,0.0,3.0,0.0,24.0
5560 explorer drive mississauga,0.0,3.0,0.0,24.33
cards and coasters,0.0,3.0,0.0,24.33
card shows near me,0.0,3.0,0.0,28.33
wayne's sports cards edmonton,0.0,3.0,0.0,29.67
psa grading canada,0.0,3.0,0.0,30.0
obsidian games vernon,0.0,3.0,0.0,31.67
games galore,0.0,3.0,0.0,32.0
richmond card shops,0.0,3.0,0.0,32.33
card shops vaughan,0.0,3.0,0.0,34.0
hobby store sudbury,0.0,3.0,0.0,34.67
cartes de hockey sherbrooke,0.0,3.0,0.0,37.0
card traders near me,0.0,3.0,0.0,40.33
card grading,0.0,3.0,0.0,43.67
seven sisters london,0.0,3.0,0.0,44.67
soccer cards near me,0.0,3.0,0.0,50.33
game stores in windsor ontario,0.0,3.0,0.0,56.0
toronto sports card stores,0.0,3.0,0.0,56.33
game shop windsor,0.0,3.0,0.0,61.33
pokemon cards vernon,0.0,3.0,0.0,67.33
sports card dealers toronto,0.0,3.0,0.0,70.33
card store,0.0,2.0,0.0,1.0
tcg card stores near me,0.0,2.0,0.0,1.0
beckett card grading,0.0,2.0,0.0,2.0
house of cards near me,0.0,2.0,0.0,3.0
hockey card store near me,0.0,2.0,0.0,3.5
armadillo games,0.0,2.0,0.0,4.0
cardify hobby cards & collectibles sports/tcgs toronto reviews,0.0,2.0,0.0,4.0
pokemon card shops,0.0,2.0,0.0,4.0
the cardboard casket reviews,0.0,2.0,0.0,5.0
"8888 keele st, unit 23b concord on, l4k 2n2",0.0,2.0,0.0,5.5
aces north bay,0.0,2.0,0.0,5.5
cardify hobby,0.0,2.0,0.0,5.5
hope club shop,0.0,2.0,0.0,5.5
wonderland games,0.0,2.0,0.0,5.5
cards shop near me,0.0,2.0,0.0,6.0
kaboom hobby windsor,0.0,2.0,0.0,6.0
level up games maple,0.0,2.0,0.0,6.0
quantum comics,0.0,2.0,0.0,6.0
sports cards north bay,0.0,2.0,0.0,6.0
tw chicoutimi,0.0,2.0,0.0,6.0
all in sports cards,0.0,2.0,0.0,6.5
andy's card shop,0.0,2.0,0.0,6.5
cangeek games and collectibles,0.0,2.0,0.0,6.5
card rack hours,0.0,2.0,0.0,6.5
card shop in the mall,0.0,2.0,0.0,6.5
cardbreaknl,0.0,2.0,0.0,6.5
cardify hobby cards & collectibles sports/tcgs,0.0,2.0,0.0,6.5
cards and collectibles near me,0.0,2.0,0.0,6.5
carte sportive rive sud mcmasterville,0.0,2.0,0.0,6.5
relikks sports cards,0.0,2.0,0.0,6.5
wayne's cards,0.0,2.0,0.0,6.5
